Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
AccP_EveRst_AcqPosn|F|();|SCH.1|ACCPACQPOS|1|PTS_DOC_6601121||||0|0|0|0|Fonction d'accroche à l'evenement AccP_EveRst_AcqPosn
AccP_SdlFast_AcqPosn|G|();|SCH.2|ACCPACQPOS|1|PTS_DOC_6601121||||0|0|0|0|Fonction d'accroche à l'evenement AccP_SdlFast_AcqPosn
ACCPACQPOS_vidDiagElecPiste1|A|();|FCT1.4|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Production des variables bMponRun des diag elec qui sont conditionnés exclusivement par le FRM FRM_bInhAccPElDiag et des bDgo qui sont levés en cas de valeur hors plage de l’acquisition pédale.
ACCPACQPOS_vidDiagElecPiste2|A|();|FCT1.6|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Production des variables bMponRun des diag elec qui sont conditionnés exclusivement par le FRM FRM_bInhAccPElDiag et des bDgo qui sont levés en cas de valeur hors plage de l’acquisition pédale.
ACCPACQPOS_vidDiagnosticCoh|G|();|FCT2.2|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Fonction permettant de vérifier la cohérence électrique des deux signaux, en les comparant. La comparaison est effectuée avec la valeur absolue filtrée de la différence entre les deux mesures.
ACCPACQPOS_vidDoubleFaultAccP|B|();|FCT1.8|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Le comptage des pannes découle si le booléen d’inhibition est positionné à 0.
ACCPACQPOS_vidElectCoherence|F|();|FCT2.1|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|En cas de défaut sur la batterie, la détection de défaut est inhibée ; dans le cas d'un  défaut sur les alimentations capteurs, la détection de défaut est inhibée sur le groupe de capteurs alimenté par l'alimentation en défaut.
ACCPACQPOS_vidInit|A|();|FCT1.1|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Lors d’un Reset soft, AccP_rAccPSens1 et AccP_rAccPSens2 sont sauvegardées en RAM non volatile. Lors de l’initialisation du calculateur, ces 2 variables sont  initialisées à 0.
ACCPACQPOS_vidInitOutput|G|();|FCT2.3|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Fonction d'initialisation
ACCPACQPOS_vidLinearFilterPiste1|A|();|FCT1.9|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|La tension pédale est linéarisée en un ratio (via la carto AccP1_LinPos_Map) puis filtrée par un par un filtre du premier ordre
ACCPACQPOS_vidLinearFilterPiste2|A|();|FCT1.10|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|La tension pédale est linéarisée en un ratio (via la carto AccP2_LinPos_Map) puis filtrée par un par un filtre du premier ordre
ACCPACQPOS_vidPanne1Measurement|F|();|FCT1.5|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Le capteur 1 est déclaré en CC à la tension Batterie si la tension à la sortie du convertisseur A/N est supérieure à un seuil ; en circuit ouvert ou en CC à la masse si cette mesure est inférieure à un second seuil. Le comptage des pannes en découle.
ACCPACQPOS_vidPanne2Measurement|F|();|FCT1.7|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Le test est effectué si le booléen d’inhibition est positionné à 0. Le capteur 2 est déclaré en CC à la tension batterie si la tension à la sortie du conv A/N est sup à un seuil;en circuit ouvert ou en CC à la masse si la tension est inf à un second seuil
ACCPACQPOS_vidPosPedalAcquisition|G|();|FCT1.3|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Fonction permettant l'acquisition des positions pédale qui se fait en plusieurs étapes à savoir la linéarisation et le filtrage des tensions d’acquisitions des 2 capteurs et le diagnostic électrique sur ces tensions.
ACCPACQPOS_vidRstSw|A|();|FCT1.2|ACCPACQPOS|0|PTS_DOC_6601121||||0|0|0|0|Initialisation des variables AccP_rAccPSens1 et AccP_rAccPSens2
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|1|HEADER|1|NONE||||0|0|0|0|Fonction de production de variables FRM
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|1|HEADER|1|NONE||||0|0|0|0|Fonction de diagnostic des pannes
