Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
AccP_EveRst_Clc|A|();|SCH.1|ACCPCALCRPOS|1|PTS_DOC_7293537||||0|0|0|0|Evènement de reset
AccP_SdlFast_Clc|C|();|SCH.2|ACCPCALCRPOS|1|PTS_DOC_7293537||||0|0|0|0|Fonction d'accroche à l'evenement AccP_SdlFast_Clc
ACCPCALCRPOS_vidAcquisitionDVApp|B|();|FCT1.3|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Acquisition de la position pedale
ACCPCALCRPOS_vidApsPedPos|B|();|FCT1.4|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Calcul de la position pédale finale bornee par la position pédale RVV et la position pédale LVV
ACCPCALCRPOS_vidDetection_aps|A|();|FCT1.6|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|L’information position pédale relative permet de détecter le pied levé et le pied à fond pédale, cette détection est  basée dans les deux cas sur un seuil avec hystérésis.
ACCPCALCRPOS_vidDVApp|B|();|FCT1.2|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Cette fonction calcule la position pedale relative a partir des  positions pied à fond et pied leve
ACCPCALCRPOS_vidEtat_pos_aps|A|();|FCT1.5|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Ce bloc décrit l’état de la pédale accélérateur à partir de l’information volonté conducteur.
ACCPCALCRPOS_vidFinal_Detection|A|();|FCT1.8|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|L’information position pédale relative permet de détecter le pied levé, cette détection est  basée dans les deux cas sur un seuil avec hystérésis.
ACCPCALCRPOS_vidFinal_state_Pos|A|();|FCT1.7|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Prise en compte de l’issue VEMS V02 ECU#056991 : Ajout de la variable Dv_detection_pied_leve_final qui prend en compte le régulateur de vitesse.
ACCPCALCRPOS_vidInit|A|();|FCT1.1|ACCPCALCRPOS|0|PTS_DOC_7293537||||0|0|0|0|Cette fonction initialise les variables produites par le module ACCPCALCRPOS
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0|API GDGAR_bGetFRM
