Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
AccP_bCycPosPedClc_C|boolean|ACCPEM|1|0|0|AccP_bCycPosPedClc_C|0|0|Phys|bool|2|0||Divers|Divers||AccP_bCycPosPedClc_C||2|||||||PTS_DOC_5021748|1|1||||1|0|0|Booléen pour activer le calcul de la position pédale sur les 3 dernières valeurs|0|0|1|0|1|0
AccP_bDftElAccP|boolean|ACCPEM|1|0|0|AccP_bDftElAccP|0|0|Phys|bool|2|0||Divers|Divers||AccP_bDftElAccP||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bDgoCoh_rAccP|boolean|ACCPEM|0|0|0|AccP_bDgoCoh_rAccP|0|0|Phys|bool|2|0||Divers|Divers||AccP_bDgoCoh_rAccP||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bInhDiagCoh_C|boolean|ACCPEM|1|0|0|AccP_bInhDiagCoh_C|0|0|Phys|bool|2|0||Divers|Divers||AccP_bInhDiagCoh_C||2|||||||PTS_DOC_5021748|1|1||||1|0|0|Booléen d'inhibition de la prise en compte du diagnostic de cohérence dans l'élaboration de Uborné pour Easy Move|0|0|1|0|1|0
AccP_bMonRunCoh_rAccP|boolean|ACCPEM|0|0|0|AccP_bMonRunCoh_rAccP|0|0|Phys|bool|2|0||Divers|Divers||AccP_bMonRunCoh_rAccP||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_rAccP|uint16|HEADER|1|0|0|AccP_rAccP|0|0|Phys|%|1|1/128|0|Divers|Divers||AccP_rAccP||1||||||||0|1||||1|0|0||0|0|12800|0|100|0
AccP_rAccPFinal|uint16|ACCPEM|0|0|0|AccP_rAccPFinal|0|0|Phys|%|1|1/128|0|Divers|Divers||AccP_rAccPFinal||1||||||||0|1||||1|0|0||0|0|12800|0|100|0
AccP_rAccPLim|uint16|ACCPEM|0|0|0|AccP_rAccPLim|0|0|Phys|%|1|1/128|0|Divers|Divers||AccP_rAccPLim||1||||||||0|1||||1|0|0||0|0|12800|0|100|0
AccP_rAccPRobust|uint16|ACCPEM|0|0|0|AccP_rAccPRobust|0|0|Phys|%|1|1/128|0|Divers|Divers||AccP_rAccPRobust||1||||||||0|1||||1|0|0||0|0|12800|0|100|0
AccP_rAccPSens1|uint16|HEADER|1|0|0|AccP_rAccPSens1|0|0|Phys|%|1|100/1024|0|Divers|Divers||AccP_rAccPSens1||1||||||||0|1||||1|0|0||0|0|1024|0|100|0
AccP_rAccPSens2|uint16|HEADER|1|0|0|AccP_rAccPSens2|0|0|Phys|%|1|100/1024|0|Divers|Divers||AccP_rAccPSens2||1||||||||0|1||||1|0|0||0|0|1024|0|100|0
