Name|Type|Requirement
AccP_rAccP|0|PTS_R_7317422_001.01
AccP_rAccPFctMon|0|PTS_R_7317422_001.01
AccP_rGrdAccP|0|PTS_R_7317422_001.01
AccP_stAccPSec|0|PTS_R_7317422_001.01
AccP_stAccPVld|0|PTS_R_7317422_001.01
Ssm_precise_pedal_position|0|PTS_R_7317422_001.01
AccP_stDegMode_SC|0|PTS_R_7317422_001.01
AccP_stDegPctlMode_SC|0|PTS_R_7317422_001.01
AccP_stDegSen1Mode_SC|0|PTS_R_7317422_001.01
AccP_stDegSen2Mode_SC|0|PTS_R_7317422_001.01
AccP_stNomDegMode_SC|0|PTS_R_7317422_001.01
AccP_stNomMode_SC|0|PTS_R_7317422_001.01
AccP_stStuckMode_SC|0|PTS_R_7317422_001.01
AccP_stSubstMode_SC|0|PTS_R_7317422_001.01
AccP_stVldDegMode_SC|0|PTS_R_7317422_001.01
AccP_stVldNomMode_SC|0|PTS_R_7317422_001.01
AccP_stVldStuckMode_SC|0|PTS_R_7317422_001.01
AccP_stVldSubstMode_SC|0|PTS_R_7317422_001.01
AccP_bAccPCohDegMod_C|0|PTS_R_7317422_001.01
AccP_rAccPMaxDec_C|0|PTS_R_7317422_001.01
AccP_rAccPMaxInc_C|0|PTS_R_7317422_001.01
AccP_rAccPRampFault_C|0|PTS_R_7317422_001.01
AccP_EveRst_AccPMngModSec|1|PTS_R_7317422_001.01
AccP_SdlFast_AccPMngModSec|1|PTS_R_7317422_001.01
