Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
AccP_bDgoCohAccPSwt|boolean|ACCPSWTACQDIAG|0|0|0|AccP_bDgoCohAccPSwt|0|0|Phys|bool|2|0||AccP|AccP||AccP_bDgoCohAccPSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bDgoScgAccPSwt|boolean|ACCPSWTACQDIAG|0|0|0|AccP_bDgoScgAccPSwt|0|0|Phys|bool|2|0||AccP|AccP||AccP_bDgoScgAccPSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bDgoScpAccPSwt|boolean|ACCPSWTACQDIAG|0|0|0|AccP_bDgoScpAccPSwt|0|0|Phys|bool|2|0||AccP|AccP||AccP_bDgoScpAccPSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bDgoStuckAccPSwt|boolean|ACCPSWTACQDIAG|0|0|0|AccP_bDgoStuckAccPSwt|0|0|Phys|bool|2|0||AccP|AccP||AccP_bDgoStuckAccPSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bHdPtSen|boolean|HEADER|1|0|0|AccP_bHdPtSen|0|0|Phys|bool|2|0||AccP|AccP||AccP_bHdPtSen||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bMonRunCohAccPSwt|boolean|ACCPSWTACQDIAG|0|0|0|AccP_bMonRunCohAccPSwt|0|0|Phys|bool|2|0||AccP|AccP||AccP_bMonRunCohAccPSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bMonRunScgAccPSwt|boolean|ACCPSWTACQDIAG|0|0|0|AccP_bMonRunScgAccPSwt|0|0|Phys|bool|2|0||AccP|AccP||AccP_bMonRunScgAccPSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bMonRunScpAccPSwt|boolean|ACCPSWTACQDIAG|0|0|0|AccP_bMonRunScpAccPSwt|0|0|Phys|bool|2|0||AccP|AccP||AccP_bMonRunScpAccPSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_bMonRunStuckAccPSwt|boolean|ACCPSWTACQDIAG|0|0|0|AccP_bMonRunStuckAccPSwt|0|0|Phys|bool|2|0||AccP|AccP||AccP_bMonRunStuckAccPSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
AccP_point_dur_thd_C|uint16|ACCPSWTACQDIAG|1|0|0|AccP_point_dur_thd_C|0|0|Phys|%|1|1/128|0|AccP|AccP||AccP_point_dur_thd_C||2|||||||PTS_DOC_6606841|1|1||||1|0|0|Seuil de position pédale relative à partir duquel on détecte le point dur.|0|0|12800|0|100|0
