Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Acq_tension_capt_temp_air|uint16|HEADER|1|0|0|Acq_tension_capt_temp_air|0|0|Phys|V|1|5/4096|0|divers|divers||Acq_tension_capt_temp_air||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0|
ACQAIRT_bExtbDgoOctAirMesPrev|boolean|ACQAIRT|0|0|0|ACQAIRT_bExtbDgoOctAirMesPrev|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||ACQAIRT_bExtbDgoOctAirMesPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ACQAIRT_bExtbDgoScgtAirMesPrev|boolean|ACQAIRT|0|0|0|ACQAIRT_bExtbDgoScgtAirMesPrev|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||ACQAIRT_bExtbDgoScgtAirMesPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ACQAIRT_bExtbDgoScptAirMesPrev|boolean|ACQAIRT|0|0|0|ACQAIRT_bExtbDgoScptAirMesPrev|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||ACQAIRT_bExtbDgoScptAirMesPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ACQAIRT_u8Inhib|uint8|ACQAIRT|0|0|0|ACQAIRT_u8Inhib|0|0|Hexa|-||||divers|divers||ACQAIRT_u8Inhib||2|||||||PTS_DOC_6535285|1|1||||1|0|0|variable d'inhibition|0|0|255|0|255|0|
AirT_SampleTiMid_SC|uint8|ACQAIRT|1|0|0|AirT_SampleTiMid_SC|0|0||-|||||||AirT_SampleTiMid_SC||3||||||||0|1|||100|0|0|0||0|||||0|
Autorise_diag_grad_air|boolean|ACQAIRT|0|0|0|Autorise_diag_grad_air|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Autorise_diag_grad_air||1||||||||0|1||||0|0|0||0|0|1|0|1|0|
CH_ADC_TIA_V|uint8|HEADER|1|0|0|CH_ADC_TIA_V|0|0||-|||||||CH_ADC_TIA_V||3||||||||0|1|||29|0|0|0||0|||||0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Ext_bDgoGrd_tAirMes|boolean|ACQAIRT|0|0|0|Ext_bDgoGrd_tAirMes|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||Ext_bDgoGrd_tAirMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
