Name|Type|Requirement
Ext_tCoMesFineResl2|0|VEMS_R_08_03873_002.01
Crank_to_run_water_temp|0|VEMS_R_08_03873_002.01
Cts_raw_range_temp|0|VEMS_R_08_03873_002.01
Ext_tCoMes|0|VEMS_R_08_03873_002.01
Ext_tCoMesFineResl|0|VEMS_R_08_03873_002.01
Ext_tCoStrtMes|0|VEMS_R_08_03873_002.01
Temperature_eau|0|VEMS_R_08_03873_002.01
Temperature_eau_a_stall|0|VEMS_R_08_03873_002.01
Temperature_eau_mesuree|0|VEMS_R_08_03873_002.01
Temperature_eau_mode_defaut|0|VEMS_R_08_03873_002.01
Ext_tCoMesPwrl|0|VEMS_R_08_02741_183.01
ACQCOT_u8Inhib|0|VEMS_R_08_03873_002.01
Cts_default_coolant_temp|0|VEMS_R_08_03873_002.01
Cts_global_failure_default_temp|0|VEMS_R_08_03873_002.01
Cts_oc_failure_thresh|0|VEMS_R_08_03873_002.01
Cts_range_conv_map|0|VEMS_R_08_03873_002.01
Cts_sc1_failure_thresh|0|VEMS_R_08_03873_002.01
Ext_tCoMesPwrl_C|0|VEMS_R_08_03873_002.01
Temp_eau_diag_grad_delay|0|VEMS_R_08_03873_002.01
Temperature_eau_bkpt_map|0|VEMS_R_08_03873_002.01
Temp_eau_grad_thresh|0|VEMS_R_08_03873_002.01
Temperature_eau_mode_defaut_step|0|VEMS_R_08_03873_002.01
Cts_range_conv_bkpt_map|0|VEMS_R_08_03873_002.01
Cts_sc0_failure_thresh|0|VEMS_R_08_03873_002.01
CoT_SdlMid_AcqCoT|1|VEMS_R_08_03873_002.01
CoT_EveCrTR_AcqCoT|1|VEMS_R_08_03873_002.01
CoT_EvePwrl_AcqCoT|1|VEMS_R_08_03873_002.01
CoT_EveStTR_AcqCoT|1|VEMS_R_08_03873_002.01
ACQCOT_vidInitialization|1|VEMS_R_08_03873_001.01
ACQCOT_vidWaterFailure|1|VEMS_R_08_03873_003.01
ACQCOT_vidWaterTempTreatment|1|VEMS_R_08_03873_002.01
CoT_EveRst_AcqCoT|1|VEMS_R_08_03873_002.01
ACQCOT_vidWaterTempAcquisition|1|VEMS_R_08_03873_007.01
ACQCOT_vidWaterTempAcquisition|1|VEMS_R_08_03873_004.01
ACQCOT_vidElecFailureDetection|1|VEMS_R_08_03873_005.01
Cts_range_voltage|0|VEMS_R_08_03873_002.01
ACQCOT_vidGradientTest|1|VEMS_R_08_03873_006.01
CoT_SdlSlow_AcqCoT|1|VEMS_R_08_03873_002.01
