Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
ACTRTSTFARSP_vidFarSpUsActrTst|D|();|FCT1.2|ACTRTSTFARSP|0|PTS_DOC_5066987||||0|0|0|0|Ce test est activé par les outils de diagnostic constructeur en fin de chaîne, en après-vente ou pour des besoins de formation. Le test s’interrompt si au moins une des conditions d’activation du test n’est pas vérifiée.|
ACTRTSTFARSP_vidFarSpUsLeanTst|D|();|FCT1.4|ACTRTSTFARSP|0|PTS_DOC_5066987||||0|0|0|0|Cette fonction permet la détection de la sonde bloquée pauvre.|
ACTRTSTFARSP_vidFarSpUsMainTst|D|();|FCT1.3|ACTRTSTFARSP|0|PTS_DOC_5066987||||0|0|0|0|Automate de la stratégie d'apprentissage des défauts.|
ACTRTSTFARSP_vidFarSpUsRichTst|D|();|FCT1.5|ACTRTSTFARSP|0|PTS_DOC_5066987||||0|0|0|0|Cette fonction permet la détection de la sonde bloquée riche|
ACTRTSTFARSP_vidInitOutput|D|();|FCT1.1|ACTRTSTFARSP|0|PTS_DOC_5066987||||0|0|0|0|initialisation des sorties.|
ACTRTSTFARSP_vidTransition_END|D|();|FCT1.7|ACTRTSTFARSP|0|PTS_DOC_5066987||||0|0|0|0|cette fonction decrit le comportement du systeme lors de l'entrée à la transition FARSP_ACTRTST_END|
ACTRTSTFARSP_vidTransition_IDLE|D|();|FCT1.6|ACTRTSTFARSP|0|PTS_DOC_5066987||||0|0|0|0|cette fonction decrit le comportement du systeme lors de l'entrée à la transition FARSP_ACTRTST_IDLE|
FarSp_EveRst_ActrTstFarSp|D|();|SCH.1|ACTRTSTFARSP|1|PTS_DOC_5066987||||0|0|0|0|Evenement reset du calculateur|
FarSp_SdlFast_ActrTstFarSp|D|();|SCH.2|ACTRTSTFARSP|1|PTS_DOC_5066987||||0|0|0|0|Moniteur rapide de la fonction objectif de richesse pour le test actionneur|
GDGAR_bGetFRM|C|func_GDGAR_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
SWFAIL_vidSoftwareErrorHook|C|();|2|HEADER|1|NONE||||0|0|0|0||
