Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
AC_EveRst_AdHeatCmd|B|();|SCH.1|ADHEATCMD|1|PTS_DOC_6851368||||0|0|0|0|Reset event for additional heating command|
AC_SdlSlow_AdHeatCmd|B|();|SCH.2|ADHEATCMD|1|PTS_DOC_6851368||||0|0|0|0|Slow monitoring for additional heating command function|
ADHEATCMD_vidAdHeatCmdCalc|B|();|FCT1.2|ADHEATCMD|0|PTS_DOC_6851368||||0|0|0|0|According to the different values of the CAN parameter CoReqVeh_stAdHeat the activation request flags are set to 1 or not.|
ADHEATCMD_vidCmdCTP1|B|();|FCT1.3|ADHEATCMD|0|PTS_DOC_6851368||||0|0|0|0|The activation command of the CTP1 additional heater is sent to the BSW using a DIOHAL API.|
ADHEATCMD_vidCmdCTP2|B|();|FCT1.4|ADHEATCMD|0|PTS_DOC_6851368||||0|0|0|0|The activation command of the CTP2 additional heater is sent to the BSW using a DIOHAL API.|
ADHEATCMD_vidDiagCTP1|B|();|FCT1.5|ADHEATCMD|0|PTS_DOC_6851368||||0|0|0|0|This bloc manages with the electrical diagnoses of the CTP1. The diagnoses are activated only if there is no inhibition requested.|
ADHEATCMD_vidDiagCTP2|B|();|FCT1.6|ADHEATCMD|0|PTS_DOC_6851368||||0|0|0|0|This bloc manages with the electrical diagnoses of the CTP2. The diagnoses are activated only if there is no inhibition requested.|
ADHEATCMD_vidInit|B|();|FCT1.1|ADHEATCMD|0|PTS_DOC_6851368||||0|0|0|0|The outputs variables are initialized on reset event.|
GDGAR_bGetFRM|A|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
GDGAR_vidGdu|A|(uint16 u16IdxDft, boolean bDgo, boolean bMonRun, boolean Ns_bMonWait);|2|HEADER|1|NONE||||0|0|0|0|Gets the value of the GDU states|
