Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Dtc_crank_delay_pond_flex|uint16|HEADER|1|0|0|Dtc_crank_delay_pond_flex|0|0|Phys|-|1|1/256|0|divers|divers||Dtc_crank_delay_pond_flex||1||||||||0|1||||1|0|0||0|0|256|0|1|0|
Dtc_crank_offset_pond_flex|uint16|HEADER|1|0|0|Dtc_crank_offset_pond_flex|0|0|Phys|-|1|1/256|0|divers|divers||Dtc_crank_offset_pond_flex||1||||||||0|1||||1|0|0||0|0|256|0|1|0|
Dtc_deboucle_config_toil|boolean|AIRTHRARCRKSP|1|0|0|Dtc_deboucle_config_toil|0|0|Phys|bool|2|0||CrkMng|CrkMng||Dtc_deboucle_config_toil||2|||||||PTS_DOC_5074571|1|1||||1|0|0|Booléen de prise en compte de la température d'huile dans le calcul de la section débouclée.|0|0|1|0|1||
Dtc_dv_surf_deboucle_map|uint16|AIRTHRARCRKSP|1|16|16|Dtc_dv_surf_deboucle_map|0|0|Phys|mm2|1|1000000/16777216|0|CrkMng|CrkMng||Dtc_dv_surf_deboucle_map||2|Regime_moteur|Dv_position_pedale_relative|F8|F1_b|Regime_moteur_bkpt_map|Dv_surf_pos_ped_bkpt_map|PTS_DOC_5074571|1|1||||1|0|0|Table de conversion position pédale surface effective papillon|0|0|65535|0|3906.19039535522|0|
Dtc_dv_surf_STT_map|uint16|AIRTHRARCRKSP|1|16|16|Dtc_dv_surf_STT_map|0|0|Phys|mm2|1|1000000/16777216|0|divers|divers||Dtc_dv_surf_STT_map||2|Regime_moteur|Dv_position_pedale_relative|F8|F1_b|Regime_moteur_bkpt_map|Dv_surf_pos_ped_bkpt_map|PTS_DOC_5074571|1|1||||1|0|0|Table de conversion position pédale surface effective papillon lors d'un redemarrage STT|0|0|65535|0|3906.19039535522|0|
Dtc_facTranRStrtAuth_C|uint8|AIRTHRARCRKSP|1|0|0|Dtc_facTranRStrtAuth_C|0|0|Phys|-|1|1/256|0|CrkMng|CrkMng||Dtc_facTranRStrtAuth_C||2|||||||PTS_DOC_5074571|1|1||||1|0|0|Pente maximale du facteur de transition entre les consigne de section papillon en redémarrage autonome possible et impossible|0|0|255|0|0.99609375|0|
Dtc_first_crank_decay_flex|uint16|HEADER|1|0|0|Dtc_first_crank_decay_flex|0|0|Phys|mm2|1|1000000/16777216|0|divers|divers||Dtc_first_crank_decay_flex||1||||||||0|1||||1|0|0||0|0|65535|0|3906.19039535522|0|
Air_density_gain|uint16|AIRTHRARCRKSP|0|0|0|Air_density_gain|0|0|Phys|-|1|1/256|0.5|CrkMng|CrkMng||Air_density_gain||1||||||||0|1||||1|0|0||0|0|448|0.5|2.25|0|
Air_density_gain_crk_pond_flex|uint16|HEADER|1|0|0|Air_density_gain_crk_pond_flex|0|0|Phys|-|1|1/256|0|divers|divers||Air_density_gain_crk_pond_flex||1||||||||0|1||||1|0|0||0|0|256|0|1|0|
Air_density_gain_pres_crk_flex|uint8|HEADER|1|0|0|Air_density_gain_pres_crk_flex|0|0|Phys|%|1|100/256|50|divers|divers||Air_density_gain_pres_crk_flex||1||||||||0|1||||1|0|0||0|0|255|50|149.609375|0|
Air_density_gain_pres_map|uint8|AIRTHRARCRKSP|1|1|17|Air_density_gain_pres_map|0|0|Phys|%|1|100/256|50|CrkMng|CrkMng||Air_density_gain_pres_map||2||UsThrM_pUsThrCor||F1_b||Air_density_gain_pres_map_bkpt|PTS_DOC_5074571|1|1||||1|0|0|Correction de la densité de l'air en fct de la p atmo|0|0|255|50|149.609375|0|
Air_density_gain_pres_map_bkpt|uint16|AIRTHRARCRKSP|1|1|17|Air_density_gain_pres_map_bkpt|0|0|Phys|Pa|1|8|0|CrkMng|CrkMng||Air_density_gain_pres_map_bkpt||2||UsThrM_pUsThrCor||F1||Air_density_gain_pres_map_bkpt|PTS_DOC_5074571|1|1||||1|0|0|Table de points d'appui sur la P atmo.|0|0|65535|0|524280|0|
Air_density_gain_temp_map|uint8|AIRTHRARCRKSP|1|1|17|Air_density_gain_temp_map|0|0|Phys|%|1|100/256|50|CrkMng|CrkMng||Air_density_gain_temp_map||2||Temperature_air||F1_b||Air_density_gain_temp_map_bkpt|PTS_DOC_5074571|1|1||||1|0|0|Correction de la densité de l'air en fct de la Tair|0|0|255|50|149.609375|0|
Air_density_gain_temp_map_bkpt|uint8|AIRTHRARCRKSP|1|1|17|Air_density_gain_temp_map_bkpt|0|0|Phys|°C|1|0.625|-40|CrkMng|CrkMng||Air_density_gain_temp_map_bkpt||2||Temperature_air||F1_b||Air_density_gain_temp_map_bkpt|PTS_DOC_5074571|1|1||||1|0|0|Table de points d'appui sur la Tair|0|0|255|-40|119.375|0|
AIRTHRARCRKSP_u8Inhib|uint8|AIRTHRARCRKSP|0|0|0|AIRTHRARCRKSP_u8Inhib|0|0|Hexa|-||||CrkMng|CrkMng||AIRTHRARCRKSP_u8Inhib||2|||||||PTS_DOC_5074571|1|1||||1|0|0|Calibration d'inhibition du module AIRTHRARCRKSP|0|0|255|0|255|0|
AIRTHRARCRKSP_u8SlewRateOutput|uint8|AIRTHRARCRKSP|0|0|0|AIRTHRARCRKSP_u8SlewRateOutput|0|0|Phys|-|1|0.01|0|CrkMng|CrkMng||AIRTHRARCRKSP_u8SlewRateOutput||1||||||||0|1||||1|0|0||0|0|100|0|1|0|
Cf_bInhFlex|boolean|HEADER|1|0|0|Cf_bInhFlex|0|0|Phys|bool|2|0||divers|divers||Cf_bInhFlex||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Clef_de_contact|boolean|HEADER|1|0|0|Clef_de_contact|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Clef_de_contact||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvThrSysSTTEs|boolean|HEADER|1|0|0|CoEs_bAcvThrSysSTTEs|0|0|Phys|bool|2|0||divers|divers||CoEs_bAcvThrSysSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPTSt_bRStrtSTT|boolean|HEADER|1|0|0|CoPTSt_bRStrtSTT|0|0|Phys|bool|2|0||Divers|Divers||CoPTSt_bRStrtSTT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CrkMgt_bInhCkEngLoss_C|boolean|AIRTHRARCRKSP|1|0|0|CrkMgt_bInhCkEngLoss_C|0|0|Phys|bool|2|0||CrkMng|CrkMng||CrkMgt_bInhCkEngLoss_C||2|||||||PTS_DOC_5074571|1|1||||1|0|0|Booléen d'inhibition de la prise en compte des pertes moteur sans les accessoires|0|0|1|0|1|0|
CrkMgt_SampleTiMid_SC|uint8|HEADER|1|0|0|CrkMgt_SampleTiMid_SC|0|0||-|||||||CrkMgt_SampleTiMid_SC||3||||||||0|1|||20|0|0|0||0|||||0|
CrkMgt_tqLoss_ThrArCrkAdp|sint16|AIRTHRARCRKSP|0|0|0|CrkMgt_tqLoss_ThrArCrkAdp|0|0|Phys|Nm|1|1/16|0|CrkMng|CrkMng||CrkMgt_tqLoss_ThrArCrkAdp||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CrkMng_bAcvThrClsEngStop_C|boolean|AIRTHRARCRKSP|1|0|0|CrkMng_bAcvThrClsEngStop_C|0|0|Phys|bool|2|0||CrkMng|CrkMng||CrkMng_bAcvThrClsEngStop_C||2|||||||PTS_DOC_5074571|1|1||||1|0|0|Booléen d'activation de la consigne de section efficace papillon lors d'une séquence d'arrêt moteur par la clé de contact|0|0|1|0|1|0|
