Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
AirSys_pInMnfReq|uint16|HEADER|1|0|0|AirSys_pInMnfReq|0|0|Phys|pa|1|2^3|0|IFRTE|IFRTE||AirSys_pInMnfReq||1||||||||0|1||||1|0|0||0|0|65535|0|524280|0
AIRTQSTRUCTMNGT_u8Inhib|uint8|AIRTQSTRUCTMNGT|0|0|0|AIRTQSTRUCTMNGT_u8Inhib|0|0|Hexa|-||||CrkMng|CrkMng||AIRTQSTRUCTMNGT_u8Inhib||2|||||||PTS DOC 5015877|1|1||||1|0|0|Variable d'inhibation de mise à jour des variables produites.|0|0|255|0|255|0
Clef_de_contact|boolean|HEADER|1|0|0|Clef_de_contact|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Clef_de_contact||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoCha_bTqReq|boolean|HEADER|1|0|0|CoCha_bTqReq|0|0|Phys|bool|2|0||Divers|Divers||CoCha_bTqReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Coef_de_transition_air|uint8|AIRTQSTRUCTMNGT|1|0|0|Coef_de_transition_air|0|0|Phys|%|1|100/256|0|CrkMng|CrkMng||Coef_de_transition_air||1||||||||0|1||||1|0|0||0|0|255|0|99.609375|0
CoEs_bAcvThrSysSTTEs|boolean|HEADER|1|0|0|CoEs_bAcvThrSysSTTEs|0|0|Phys|bool|2|0||Divers|Divers||CoEs_bAcvThrSysSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoEs_bIntrSTTEsHiEngSpd|boolean|HEADER|1|0|0|CoEs_bIntrSTTEsHiEngSpd|0|0|Phys|bool|2|0||Divers|Divers||CoEs_bIntrSTTEsHiEngSpd||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoEs_bIntrSTTEsLoEngSpd|boolean|HEADER|1|0|0|CoEs_bIntrSTTEsLoEngSpd|0|0|Phys|bool|2|0||NOPROD|NOPROD||CoEs_bIntrSTTEsLoEngSpd||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoPt_bSIP|boolean|HEADER|1|0|0|CoPt_bSIP|0|0|Phys|bool|2|0||divers|divers||CoPt_bSIP||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoPTSt_bRStrtSTT|boolean|HEADER|1|0|0|CoPTSt_bRStrtSTT|0|0|Phys|bool|2|0||Divers|Divers||CoPTSt_bRStrtSTT||1||||||||0|1||||1|0|0||0|0|1|0|1|0
