Name|Type|Requirement
MonMisf_facEWMA10DCCyl_C|0|VEMS_R_11_05583_003.01
MonMisf_facEWMA10DCCyl_C|0|VEMS_R_11_05583_004.01
Misf_EvePwrl_AvrMisfCnt|1|VEMS_R_11_05583_001.01
Misf_EvePwrl_AvrMisfCnt|1|VEMS_R_11_05583_002.01
Misf_EvePwrl_AvrMisfCnt|1|VEMS_R_11_05583_003.01
Misf_EvePwrl_AvrMisfCnt|1|VEMS_R_11_05583_004.01
MonMisf_ctOccurMfAvg10DCCyl1|0|VEMS_R_11_05583_001.01
MonMisf_ctOccurMfAvg10DCCyl1|0|VEMS_R_11_05583_002.01
MonMisf_ctOccurMfAvg10DCCyl1|0|VEMS_R_11_05583_003.01
MonMisf_ctOccurMfAvg10DCCyl1|0|VEMS_R_11_05583_004.01
MonMisf_ctOccurMfAvg10DCCyl2|0|VEMS_R_11_05583_001.01
MonMisf_ctOccurMfAvg10DCCyl2|0|VEMS_R_11_05583_002.01
MonMisf_ctOccurMfAvg10DCCyl2|0|VEMS_R_11_05583_003.01
MonMisf_ctOccurMfAvg10DCCyl2|0|VEMS_R_11_05583_004.01
MonMisf_ctOccurMfAvg10DCCyl3|0|VEMS_R_11_05583_001.01
MonMisf_ctOccurMfAvg10DCCyl3|0|VEMS_R_11_05583_002.01
MonMisf_ctOccurMfAvg10DCCyl3|0|VEMS_R_11_05583_003.01
MonMisf_ctOccurMfAvg10DCCyl3|0|VEMS_R_11_05583_004.01
MonMisf_ctOccurMfAvg10DCCyl4|0|VEMS_R_11_05583_001.01
MonMisf_ctOccurMfAvg10DCCyl4|0|VEMS_R_11_05583_002.01
MonMisf_ctOccurMfAvg10DCCyl4|0|VEMS_R_11_05583_003.01
MonMisf_ctOccurMfAvg10DCCyl4|0|VEMS_R_11_05583_004.01
Misf_EveKOf_AvrMisfCnt|1|VEMS_R_11_05583_001.01
Misf_EveKOf_AvrMisfCnt|1|VEMS_R_11_05583_002.01
Misf_EveKOf_AvrMisfCnt|1|VEMS_R_11_05583_003.01
Misf_EveKOf_AvrMisfCnt|1|VEMS_R_11_05583_004.01
Misf_EveMisf_AvrMisfCnt|1|VEMS_R_11_05583_001.01
Misf_EveMisf_AvrMisfCnt|1|VEMS_R_11_05583_002.01
Misf_EveMisf_AvrMisfCnt|1|VEMS_R_11_05583_003.01
Misf_EveMisf_AvrMisfCnt|1|VEMS_R_11_05583_004.01
Misf_EveRst_AvrMisfCnt|1|VEMS_R_11_05583_001.01
Misf_EveRst_AvrMisfCnt|1|VEMS_R_11_05583_002.01
Misf_EveRst_AvrMisfCnt|1|VEMS_R_11_05583_003.01
Misf_EveRst_AvrMisfCnt|1|VEMS_R_11_05583_004.01
MonMisf_ctOccurMfDCCyl1|0|VEMS_R_11_05583_001.01
MonMisf_ctOccurMfDCCyl1|0|VEMS_R_11_05583_002.01
MonMisf_ctOccurMfDCCyl1|0|VEMS_R_11_05583_003.01
MonMisf_ctOccurMfDCCyl1|0|VEMS_R_11_05583_004.01
MonMisf_ctOccurMfDCCyl2|0|VEMS_R_11_05583_001.01
MonMisf_ctOccurMfDCCyl2|0|VEMS_R_11_05583_002.01
MonMisf_ctOccurMfDCCyl2|0|VEMS_R_11_05583_003.01
MonMisf_ctOccurMfDCCyl2|0|VEMS_R_11_05583_004.01
MonMisf_ctOccurMfDCCyl3|0|VEMS_R_11_05583_001.01
MonMisf_ctOccurMfDCCyl3|0|VEMS_R_11_05583_002.01
MonMisf_ctOccurMfDCCyl3|0|VEMS_R_11_05583_003.01
MonMisf_ctOccurMfDCCyl3|0|VEMS_R_11_05583_004.01
MonMisf_ctOccurMfDCCyl4|0|VEMS_R_11_05583_001.01
MonMisf_ctOccurMfDCCyl4|0|VEMS_R_11_05583_002.01
MonMisf_ctOccurMfDCCyl4|0|VEMS_R_11_05583_003.01
MonMisf_ctOccurMfDCCyl4|0|VEMS_R_11_05583_004.01
MonMisf_facEWMA10DCCyl_C|0|VEMS_R_11_05583_001.01
MonMisf_facEWMA10DCCyl_C|0|VEMS_R_11_05583_002.01
MonMisf_facEWMACyl_C|0|VEMS_R_11_05583_001.01
MonMisf_facEWMACyl_C|0|VEMS_R_11_05583_002.01
MonMisf_facEWMACyl_C|0|VEMS_R_11_05583_003.01
MonMisf_facEWMACyl_C|0|VEMS_R_11_05583_004.01
MonMisf_nEngMinAcvCtMfAvg_C|0|VEMS_R_11_05583_001.01
MonMisf_nEngMinAcvCtMfAvg_C|0|VEMS_R_11_05583_002.01
MonMisf_nEngMinAcvCtMfAvg_C|0|VEMS_R_11_05583_003.01
MonMisf_nEngMinAcvCtMfAvg_C|0|VEMS_R_11_05583_004.01
Misf_EveCrTR_AvrMisfCnt|1|VEMS_R_11_05583_001.01
Misf_EveCrTR_AvrMisfCnt|1|VEMS_R_11_05583_002.01
Misf_EveCrTR_AvrMisfCnt|1|VEMS_R_11_05583_003.01
Misf_EveCrTR_AvrMisfCnt|1|VEMS_R_11_05583_004.01
Misf_EveRstDftObd_AvrMisfCnt|1|VEMS_R_11_05583_001.01
Misf_EveRstDftObd_AvrMisfCnt|1|VEMS_R_11_05583_002.01
Misf_EveRstDftObd_AvrMisfCnt|1|VEMS_R_11_05583_003.01
Misf_EveRstDftObd_AvrMisfCnt|1|VEMS_R_11_05583_004.01
