Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Acquisition_tension_batterie|uint16|HEADER|1|0|0|Acquisition_tension_batterie|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquisition_tension_batterie||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
B_v_slew_variation|uint16|BATTVOLTACQ|1|0|0|B_v_slew_variation|0|0|Phys|V|1|24.15/1024|0|Acquisitions|Acquisitions||B_v_slew_variation||2|||||||PTS_DOC_6547150|1|1||||1|0|0|Variation de tension de batterie admissible entre 2 acquisitions|0|0|1024|0|24.15|0
BATTVOLTACQ_u32FiltPosErrorMem|uint32|BATTVOLTACQ|0|0|0|BATTVOLTACQ_u32FiltPosErrorMem|0|0|Déci|-||||Acquisitions|Acquisitions||BATTVOLTACQ_u32FiltPosErrorMem||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0
BATTVOLTACQ_u8Inhib|uint8|BATTVOLTACQ|0|0|0|BATTVOLTACQ_u8Inhib|0|0|Hexa|-||||Acquisitions|Acquisitions||BATTVOLTACQ_u8Inhib||2|||||||PTS_DOC_6547150|1|1||||1|0|0|Calibration d'inhibition du module BATTVOLTACQ|0|0|255|0|255|0
CH_ADC_BAT_RLY_V|uint8|HEADER|1|0|0|CH_ADC_BAT_RLY_V|0|0|Phys|-|||||||CH_ADC_BAT_RLY_V||3||||||||0|1|||23|0|0|0||0|||||0
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|0|0|0|0|0
Ext_bDgoHi_uBattMes|boolean|BATTVOLTACQ|0|0|0|Ext_bDgoHi_uBattMes|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Ext_bDgoHi_uBattMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_bDgoLo_uBattMes|boolean|BATTVOLTACQ|0|0|0|Ext_bDgoLo_uBattMes|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Ext_bDgoLo_uBattMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_bDgoLo_uBattSpc|boolean|BATTVOLTACQ|0|0|0|Ext_bDgoLo_uBattSpc|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Ext_bDgoLo_uBattSpc||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_bMonRunHi_uBattMes|boolean|BATTVOLTACQ|0|0|0|Ext_bMonRunHi_uBattMes|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Ext_bMonRunHi_uBattMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0
