Name|Type|Requirement
Ext_uBattMes|0|VEMS_R_08_07981_001.01
Ext_uBattMes|0|VEMS_R_08_07981_002.01
Ext_uBattMes|0|VEMS_R_08_07981_003.01
Tension_batterie|0|VEMS_R_08_07981_001.01
Tension_batterie|0|VEMS_R_08_07981_002.01
Tension_batterie|0|VEMS_R_08_07981_003.01
Tension_batterie_brute|0|VEMS_R_08_07981_001.01
Tension_batterie_brute|0|VEMS_R_08_07981_002.01
Tension_batterie_brute|0|VEMS_R_08_07981_003.01
Tension_batterie_filt|0|VEMS_R_08_07981_001.01
Tension_batterie_filt|0|VEMS_R_08_07981_002.01
Tension_batterie_filt|0|VEMS_R_08_07981_003.01
