Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
FRM_FRM_INHDIAG_BLOWBY1|uint16|HEADER|1|0|0|FRM_FRM_INHDIAG_BLOWBY1|0|0|Phys|bool|2|0||Divers|Divers||FRM_FRM_INHDIAG_BLOWBY1||3||||||||0|1|||0|0|0|0||0|0|1|0|1|0|
FRM_FRM_INHDIAG_BLOWBY2|uint16|HEADER|1|0|0|FRM_FRM_INHDIAG_BLOWBY2|0|0|Phys|bool|2|0||Divers|Divers||FRM_FRM_INHDIAG_BLOWBY2||3||||||||0|1|||1|0|0|0||0|0|1|0|1|0|
GD_DFT_OC_BLOWBY1|uint16|HEADER|1|0|0|GD_DFT_OC_BLOWBY1|0|0|Phys|-|||||||GD_DFT_OC_BLOWBY1||3||||||||0|1|||2|0|0|0||0|||||0|
GD_DFT_OC_BLOWBY2|uint16|HEADER|1|0|0|GD_DFT_OC_BLOWBY2|0|0|Phys|-|||||||GD_DFT_OC_BLOWBY2||3||||||||0|1|||3|0|0|0||0|||||0|
GD_DFT_SCG_BLOWBY1|uint16|HEADER|1|0|0|GD_DFT_SCG_BLOWBY1|0|0|Phys|-|||||||GD_DFT_SCG_BLOWBY1||3||||||||0|1|||4|0|0|0||0|||||0|
GD_DFT_SCG_BLOWBY2|uint16|HEADER|1|0|0|GD_DFT_SCG_BLOWBY2|0|0|Phys|-|||||||GD_DFT_SCG_BLOWBY2||3||||||||0|1|||6|0|0|0||0|||||0|
GD_DFT_SCP_BLOWBY1|uint16|HEADER|1|0|0|GD_DFT_SCP_BLOWBY1|0|0|Phys|-|||||||GD_DFT_SCP_BLOWBY1||3||||||||0|1|||5|0|0|0||0|||||0|
GD_DFT_SCP_BLOWBY2|uint16|HEADER|1|0|0|GD_DFT_SCP_BLOWBY2|0|0|Phys|-|||||||GD_DFT_SCP_BLOWBY2||3||||||||0|1|||7|0|0|0||0|||||0|
HEATER_ACTIF_MOTEUR_ARRETE|bool|BLOWBYCMD|0|0|0|BlowByHw_stCtl|0|2|Phys|bool|2|2||Divers|Divers||HEATER_ACTIF_MOTEUR_ARRETE||1||||||||0|1|||2|0|0|0||0|||||0|
HEATER_ACTIF_MOTEUR_TOURNANT|bool|BLOWBYCMD|0|0|0|BlowByHw_stCtl|0|3|Phys|bool|2|3||Divers|Divers||HEATER_ACTIF_MOTEUR_TOURNANT||1||||||||0|1|||3|0|0|0||0|||||0|
