Name|Type|Requirement
BlowByHw_bReq|0|VEMS_E_11_04583_001.01
BlowBy1Hw_bReq|0|VEMS_E_11_04583_001.01
BlowByHw_tAirExtLo_C|0|VEMS_E_11_04583_001.01
BlowByHw_tAirExtHi_C|0|VEMS_E_11_04583_001.01
BlowByHw_tiHeat_C|0|VEMS_E_11_04583_001.01
BlowByHw_uBattMesMin_C|0|VEMS_E_11_04583_001.01
Commande_rechauff_blowby1_tor|0|VEMS_E_11_04583_001.01
Commande_rechauff_blowby2_tor|0|VEMS_E_11_04583_001.01
BLOWBYCMD_vidBlowBy1Cmd|1|VEMS_E_11_04583_006.01
BLOWBYCMD_vidBlowBy2Cmd|1|VEMS_E_11_04583_007.01
BLOWBYCMD_vidDiagBlowBy1|1|VEMS_E_11_04583_004.01
BLOWBYCMD_vidDiagBlowBy2|1|VEMS_E_11_04583_005.01
BLOWBYCMD_vidHeaterCmd|1|VEMS_E_11_04583_003.01
BLOWBYCMD_vidInit|1|VEMS_E_11_04583_002.01
Oil_EveRst_BlowByCmd|1|VEMS_E_11_04583_001.01
Oil_SdlSlow_BlowByCmd|1|VEMS_E_11_04583_001.01
