Name|Type|Requirement
Ext_pBrkAsiMes|0|VEMS_E_11_05703_001.01
Ext_pBrkAsiMes|0|VEMS_E_11_05703_002.01
Ext_pBrkAsiMes|0|VEMS_E_11_05703_003.01
AirPres_bDftSftyScg_pBrkAsi|0|VEMS_E_11_05703_001.01
AirPres_bDftSftyScg_pBrkAsi|0|VEMS_E_11_05703_002.01
AirPres_bDftSftyScg_pBrkAsi|0|VEMS_E_11_05703_003.01
AirPres_bDftSftyScp_pBrkAsi|0|VEMS_E_11_05703_001.01
AirPres_bDftSftyScp_pBrkAsi|0|VEMS_E_11_05703_002.01
AirPres_bDftSftyScp_pBrkAsi|0|VEMS_E_11_05703_003.01
Ext_rBrkAsi|0|VEMS_E_11_05703_001.01
Ext_rBrkAsi|0|VEMS_E_11_05703_002.01
Ext_rBrkAsi|0|VEMS_E_11_05703_003.01
Ext_uBrkAsi|0|VEMS_E_11_05703_001.01
Ext_uBrkAsi|0|VEMS_E_11_05703_002.01
Ext_uBrkAsi|0|VEMS_E_11_05703_003.01
AirPres_nInitCptConf_ScpBrkAsi_C|0|VEMS_E_11_05703_001.01
AirPres_nInitCptConf_ScpBrkAsi_C|0|VEMS_E_11_05703_002.01
AirPres_nInitCptConf_ScpBrkAsi_C|0|VEMS_E_11_05703_003.01
AirPres_nUpTranThd_ScgBrkAsi_C|0|VEMS_E_11_05703_001.01
AirPres_nUpTranThd_ScgBrkAsi_C|0|VEMS_E_11_05703_002.01
AirPres_nUpTranThd_ScgBrkAsi_C|0|VEMS_E_11_05703_003.01
AirPres_nUpTranThd_ScpBrkAsi_C|0|VEMS_E_11_05703_001.01
AirPres_nUpTranThd_ScpBrkAsi_C|0|VEMS_E_11_05703_002.01
AirPres_nUpTranThd_ScpBrkAsi_C|0|VEMS_E_11_05703_003.01
Ext_pBrkAsiFault_C|0|VEMS_E_11_05703_001.01
Ext_pBrkAsiFault_C|0|VEMS_E_11_05703_002.01
Ext_pBrkAsiFault_C|0|VEMS_E_11_05703_003.01
Ext_pBrkAsiGain_C|0|VEMS_E_11_05703_001.01
Ext_pBrkAsiGain_C|0|VEMS_E_11_05703_002.01
Ext_pBrkAsiGain_C|0|VEMS_E_11_05703_003.01
AirPres_EveRst_BrkAsiAcq|1|VEMS_E_11_05703_001.01
AirPres_EveRst_BrkAsiAcq|1|VEMS_E_11_05703_002.01
AirPres_EveRst_BrkAsiAcq|1|VEMS_E_11_05703_003.01
AirPres_SdlFast_BrkAsiAcq|1|VEMS_E_11_05703_001.01
AirPres_SdlFast_BrkAsiAcq|1|VEMS_E_11_05703_002.01
Ext_pBrkAsiInit_C|0|VEMS_E_11_05703_001.01
Ext_pBrkAsiInit_C|0|VEMS_E_11_05703_002.01
Ext_pBrkAsiInit_C|0|VEMS_E_11_05703_003.01
Ext_pBrkAsiMaxSat_C|0|VEMS_E_11_05703_001.01
Ext_pBrkAsiMaxSat_C|0|VEMS_E_11_05703_002.01
Ext_pBrkAsiMaxSat_C|0|VEMS_E_11_05703_003.01
Ext_pBrkAsiMinSat_C|0|VEMS_E_11_05703_001.01
Ext_pBrkAsiMinSat_C|0|VEMS_E_11_05703_002.01
Ext_pBrkAsiMinSat_C|0|VEMS_E_11_05703_003.01
Ext_rBrkAsiInit_C|0|VEMS_E_11_05703_001.01
Ext_rBrkAsiInit_C|0|VEMS_E_11_05703_002.01
Ext_rBrkAsiInit_C|0|VEMS_E_11_05703_003.01
Ext_rDgoGrd_pBrkAsi_C|0|VEMS_E_11_05703_001.01
Ext_rDgoGrd_pBrkAsi_C|0|VEMS_E_11_05703_002.01
Ext_rDgoGrd_pBrkAsi_C|0|VEMS_E_11_05703_003.01
Ext_rDgoScg_pBrkAsi_C|0|VEMS_E_11_05703_001.01
Ext_rDgoScg_pBrkAsi_C|0|VEMS_E_11_05703_002.01
Ext_rDgoScg_pBrkAsi_C|0|VEMS_E_11_05703_003.01
Ext_rDgoScp_pBrkAsi_C|0|VEMS_E_11_05703_001.01
Ext_rDgoScp_pBrkAsi_C|0|VEMS_E_11_05703_002.01
Ext_rDgoScp_pBrkAsi_C|0|VEMS_E_11_05703_003.01
Ext_tDlyDgoGrd_pBrkAsi_C|0|VEMS_E_11_05703_001.01
Ext_tDlyDgoGrd_pBrkAsi_C|0|VEMS_E_11_05703_002.01
Ext_tDlyDgoGrd_pBrkAsi_C|0|VEMS_E_11_05703_003.01
Ext_uBrkAsiInit_C|0|VEMS_E_11_05703_001.01
Ext_uBrkAsiInit_C|0|VEMS_E_11_05703_002.01
Ext_uBrkAsiInit_C|0|VEMS_E_11_05703_003.01
AirPres_SdlFast_BrkAsiAcq|1|VEMS_E_11_05703_003.01
AirPres_SdlSfty_BrkAsiAcq|1|VEMS_E_11_05703_001.01
AirPres_SdlSfty_BrkAsiAcq|1|VEMS_E_11_05703_002.01
AirPres_SdlSfty_BrkAsiAcq|1|VEMS_E_11_05703_003.01
BRKASIACQ_vidBrkAsiAcq|1|VEMS_R_09_04383_004.01
BRKASIACQ_vidBrkAsiAcq|1|VEMS_R_09_04383_005.01
BRKASIACQ_vidCallMng|1|VEMS_R_09_04383_001.01
BRKASIACQ_vidMstrVacSensorDiag|1|VEMS_R_09_04383_002.01
BRKASIACQ_vidScDiagnostic|1|VEMS_R_09_04383_003.01
Mvc_pressure_sensor_gain|0|VEMS_E_11_05703_001.01
Mvc_pressure_sensor_gain|0|VEMS_E_11_05703_002.01
Mvc_pressure_sensor_gain|0|VEMS_E_11_05703_003.01
Mvc_pressure_sensor_offset|0|VEMS_E_11_05703_001.01
Mvc_pressure_sensor_offset|0|VEMS_E_11_05703_002.01
Mvc_pressure_sensor_offset|0|VEMS_E_11_05703_003.01
AirPres_nDecCpt_ScgBrkAsi_C|0|VEMS_E_11_05703_001.01
AirPres_nDecCpt_ScgBrkAsi_C|0|VEMS_E_11_05703_002.01
AirPres_nDecCpt_ScgBrkAsi_C|0|VEMS_E_11_05703_003.01
AirPres_nDecCpt_ScpBrkAsi_C|0|VEMS_E_11_05703_001.01
AirPres_nDecCpt_ScpBrkAsi_C|0|VEMS_E_11_05703_002.01
AirPres_nDecCpt_ScpBrkAsi_C|0|VEMS_E_11_05703_003.01
AirPres_nDownTranThd_ScgBrkAsi_C|0|VEMS_E_11_05703_001.01
AirPres_nDownTranThd_ScgBrkAsi_C|0|VEMS_E_11_05703_002.01
AirPres_nDownTranThd_ScgBrkAsi_C|0|VEMS_E_11_05703_003.01
AirPres_nDownTranThd_ScpBrkAsi_C|0|VEMS_E_11_05703_001.01
AirPres_nDownTranThd_ScpBrkAsi_C|0|VEMS_E_11_05703_002.01
AirPres_nDownTranThd_ScpBrkAsi_C|0|VEMS_E_11_05703_003.01
AirPres_nInitCptConf_ScgBrkAsi_C|0|VEMS_E_11_05703_001.01
AirPres_nInitCptConf_ScgBrkAsi_C|0|VEMS_E_11_05703_002.01
AirPres_nInitCptConf_ScgBrkAsi_C|0|VEMS_E_11_05703_003.01
