Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AirPres_bDgoCoh_pBrkAsi|boolean|BRKASIFONCDIAG|0|0|0|AirPres_bDgoCoh_pBrkAsi|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirPres_bDgoCoh_pBrkAsi||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirPres_bMonRunCoh_pBrkAsi|boolean|BRKASIFONCDIAG|0|0|0|AirPres_bMonRunCoh_pBrkAsi|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirPres_bMonRunCoh_pBrkAsi||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirPres_pBrkAsiThdMax_C|uint16|BRKASIFONCDIAG|1|0|0|AirPres_pBrkAsiThdMax_C|0|0|Phys|mbar|1|1|0|Diagnostic|Diagnostic||AirPres_pBrkAsiThdMax_C||2|||||||V02 NT 09 04714|1|1||||1|0|0|Seuil maximum de pression du mastervac pour la détection d'un défaut de cohérence du capteur|0|20|1000|20|1000|0|
AirPres_pDsThrThdCohBrkAsi_C|uint16|BRKASIFONCDIAG|1|0|0|AirPres_pDsThrThdCohBrkAsi_C|0|0|Phys|kPa|1|8/1000|0|Diagnostic|Diagnostic||AirPres_pDsThrThdCohBrkAsi_C||2|||||||V02 NT 09 04714|1|1||||1|0|0|Seuil de pression collecteur maximum pour autoriser le diagnostic de cohérence du capteur de dépression mastervac|0|0|65535|0|524.28|0|
AirPres_SampleTiFast_SC|uint8|HEADER|1|0|0|AirPres_SampleTiFast_SC|0|0|Phys|-|||||||AirPres_SampleTiFast_SC||3||||||||0|1|||10|0|0|0||0|||||0|
AirPres_tiCohBrkAsi|uint16|BRKASIFONCDIAG|0|0|0|AirPres_tiCohBrkAsi|0|0|Phys|ms|1|AirPres_SampleTiFast_SC|0|Diagnostic|Diagnostic||AirPres_tiCohBrkAsi||1||||||||0|1||||1|0|0||0|0|1000|0|10000|0|
AirPres_tiDlyCohBrkAsi_C|uint16|BRKASIFONCDIAG|1|0|0|AirPres_tiDlyCohBrkAsi_C|0|0|Phys|ms|1|AirPres_SampleTiFast_SC|0|Diagnostic|Diagnostic||AirPres_tiDlyCohBrkAsi_C||2|||||||V02 NT 09 04714|1|1||||1|0|0|Durée minimum pour autoriser le diagnostic de cohérence du capteur de dépression mastervac|0|0|1000|0|10000|0|
BRKASIFONCDIAG_u8Inhib|uint8|BRKASIFONCDIAG|0|0|0|BRKASIFONCDIAG_u8Inhib|0|0|Hexa|-||||Diagnostic|Diagnostic||BRKASIFONCDIAG_u8Inhib||2|||||||V02 NT 09 04714|1|1||||1|0|0|Calibration d'inhibition du module BRKASIFONCDIAG|0|0|255|0|255|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Ext_bBrkPedPrss|boolean|HEADER|1|0|0|Ext_bBrkPedPrss|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||Ext_bBrkPedPrss||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_pBrkAsi|uint16|HEADER|1|0|0|Ext_pBrkAsi|0|0|Phys|mbar|1|1|0|Divers|Divers||Ext_pBrkAsi||1||||||||0|1||||1|0|0||0|20|1000|20|1000|0|
FRM_FRM_INHMONBRKASI|uint16|HEADER|1|0|0|FRM_FRM_INHMONBRKASI|0|0|Phys|-|||||||FRM_FRM_INHMONBRKASI||3||||||||0|1|||0|0|0|0||0|||||0|
GD_DFT_COH_PBRKASI|uint16|HEADER|1|0|0|GD_DFT_COH_PBRKASI|0|0|Phys|-|||||||GD_DFT_COH_PBRKASI||3||||||||0|1|||1|0|0|0||0|||||0|
Io_map_manifold_press_measured|uint16|HEADER|1|0|0|Io_map_manifold_press_measured|0|0|Phys|kPa|1|8/1000|0|Acquisitions|Acquisitions||Io_map_manifold_press_measured||1||||||||0|1||||1|0|0||0|0|65535|0|524.28|0|
Vehicle_active_state|st23|HEADER|1|0|0|Vehicle_active_state|0|0|Phys|etat|4|||Structure Couple|Structure Couple||Vehicle_active_state||1||||||||0|1||||1|0|0||0|||||0|
VS_RUNNING|bool|HEADER|1|0|0|Vehicle_active_state|0|32|Phys|etat|2|32||Structure Couple|Structure Couple||VS_RUNNING||1||||||||0|1||||0|0|0||0|||||0|
