Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Acceleration_vehicule|uint8|HEADER|1|0|0|Acceleration_vehicule|0|0|Phys|m/s2|1|0.08|-14|SPDVEH|SPDVEH||Acceleration_vehicule||1||||||||0|1||||1|0|0||0|0|255|-14|6.4|0|
Brk_aVehDiagAccelCohBVH2_C|uint8|BRKPEDBVH2P|1|0|0|Brk_aVehDiagAccelCohBVH2_C|0|0|Phys|m/s²|1|0.1|-14|divers|divers||Brk_aVehDiagAccelCohBVH2_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|diagnostic de cohérence en accélération BVH2Prime|0|0|203|-14|6.3|0|
Brk_aVehDiagDecelCohBVH2_C|uint8|BRKPEDBVH2P|1|0|0|Brk_aVehDiagDecelCohBVH2_C|0|0|Phys|m/s²|1|0.1|-14|divers|divers||Brk_aVehDiagDecelCohBVH2_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|diagnostic de cohérence en décélération BVH2Prime|0|0|203|-14|6.30|0|
Brk_nDecCpt_AccelCohBVH2p_C|uint8|BRKPEDBVH2P|1|0|0|Brk_nDecCpt_AccelCohBVH2p_C|0|0|Phys|-|1|1|0|divers|divers||Brk_nDecCpt_AccelCohBVH2p_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Decrement du compteur pour le diagnostic niveau 2 du frein secondaire en cas d'accélération|0|0|255|0|255|0|
Brk_nDecCpt_DecelCohBVH2p_C|uint8|BRKPEDBVH2P|1|0|0|Brk_nDecCpt_DecelCohBVH2p_C|0|0|Phys|-|1|1|0|divers|divers||Brk_nDecCpt_DecelCohBVH2p_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Decrement du compteur pour le diagnostic niveau 2 du frein secondaire en cas de décéleration|0|0|255|0|255|0|
Brk_nDownTranThd_AccelCohBVH2p_C|uint8|BRKPEDBVH2P|1|0|0|Brk_nDownTranThd_AccelCohBVH2p_C|0|0|Phys|-|1|1|0|divers|divers||Brk_nDownTranThd_AccelCohBVH2p_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Seuil de détections successives du défaut unitaire incohérence en accélération à l’état bas|0|0|255|0|255|0|
Brk_nDownTranThd_DecelCohBVH2p_C|uint8|BRKPEDBVH2P|1|0|0|Brk_nDownTranThd_DecelCohBVH2p_C|0|0|Phys|-|1|1|0|divers|divers||Brk_nDownTranThd_DecelCohBVH2p_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Seuil de détections successives du défaut unitaire incohérence en décélération à l’état bas|0|0|255|0|255|0|
Brk_nInitCpt_AccelCohBVH2p_C|uint8|BRKPEDBVH2P|1|0|0|Brk_nInitCpt_AccelCohBVH2p_C|0|0|Phys|-|1|1|0|divers|divers||Brk_nInitCpt_AccelCohBVH2p_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Calibration d'initialisation du compteur pour le diagnostic niveau 2 du frein secondaire en cas d'accélération|0|0|255|0|255|0|
Brk_nInitCpt_DecelCohBVH2p_C|uint8|BRKPEDBVH2P|1|0|0|Brk_nInitCpt_DecelCohBVH2p_C|0|0|Phys|-|1|1|0|divers|divers||Brk_nInitCpt_DecelCohBVH2p_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Calibration d'initialisation du compteur pour le diagnostic niveau 2 du frein secondaire en cas de décéleration|0|0|255|0|255|0|
Brk_noThdDecPedBVH2pAccelCoh_C|uint16|BRKPEDBVH2P|1|0|0|Brk_noThdDecPedBVH2pAccelCoh_C|0|0|Phys|-|1|1|0|divers|divers||Brk_noThdDecPedBVH2pAccelCoh_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Delais avant decrémentation du bDgo lié au diagnostic BrkPedBVH2p en accélération|0|0|65534|0|65534|0|
Brk_noThdDecPedBVH2pDecelCoh_C|uint16|BRKPEDBVH2P|1|0|0|Brk_noThdDecPedBVH2pDecelCoh_C|0|0|Phys|-|1|1|0|divers|divers||Brk_noThdDecPedBVH2pDecelCoh_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Delais avant decrémentation du bDgo lié au diagnostic BrkPedBVH2p en décélération.|0|0|65534|0|65534|0|
Brk_noThdIncPedBVH2pAccelCoh_C|uint16|BRKPEDBVH2P|1|0|0|Brk_noThdIncPedBVH2pAccelCoh_C|0|0|Phys|-|1|1|0|divers|divers||Brk_noThdIncPedBVH2pAccelCoh_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Delais avant incrémentation du bDgo lié au diagnostic BrkPedBVH2p en accélération.|0|0|65534|0|65534|0|
Brk_noThdIncPedBVH2pDecelCoh_C|uint16|BRKPEDBVH2P|1|0|0|Brk_noThdIncPedBVH2pDecelCoh_C|0|0|Phys|-|1|1|0|divers|divers||Brk_noThdIncPedBVH2pDecelCoh_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Delais avant incrémentation du bDgo lié au diagnostic BrkPedBVH2p en décélération.|0|0|65534|0|65534|0|
Brk_nUpTranThd_AccelCohBVH2p_C|uint8|BRKPEDBVH2P|1|0|0|Brk_nUpTranThd_AccelCohBVH2p_C|0|0|Phys|-|1|1|0|divers|divers||Brk_nUpTranThd_AccelCohBVH2p_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Seuil de détections successives du défaut unitaire incohérence en accélération à l’état haut|0|0|255|0|255|0|
Brk_nUpTranThd_DecelCohBVH2p_C|uint8|BRKPEDBVH2P|1|0|0|Brk_nUpTranThd_DecelCohBVH2p_C|0|0|Phys|-|1|1|0|divers|divers||Brk_nUpTranThd_DecelCohBVH2p_C||2|||||||V02 NT 10 02615|1|1||||1|0|0|Seuil de détections successives du défaut unitaire incohérence en décélération à l’état haut|0|0|255|0|255|0|
Brk_SampleTiMid_SC|uint8|BRKPEDBVH2P|1|0|0|Brk_SampleTiMid_SC|0|0|Phys|-|||||||Brk_SampleTiMid_SC||3||||||||0|1|||10|0|0|0||0|||||0|
