Name|Type|Requirement
Brk_tiSIPCoh_C|0|VEMS_R_10_02615_001.01
BRKPEDBVH2P_vidEventGeneration|1|VEMS_R_10_02615_002.01
Brk_aVehDiagAccelCohBVH2_C|0|VEMS_R_10_02615_001.01
Brk_aVehDiagDecelCohBVH2_C|0|VEMS_R_10_02615_001.01
Brk_spdVehBrkCoh_C|0|VEMS_R_10_02615_001.01
Brk_tiCluPCoh_C|0|VEMS_R_10_02615_001.01
Ext_bDftSftyDecelCoh_BrkPedBVH2p|0|VEMS_R_10_02615_001.01
Ext_bDftSftyAccelCoh_BrkPedBVH2p|0|VEMS_R_10_02615_001.01
Brk_nDecCpt_DecelCohBVH2p_C|0|VEMS_R_10_02615_001.01
Brk_nDecCpt_AccelCohBVH2p_C|0|VEMS_R_10_02615_001.01
Brk_nDownTranThd_AccelCohBVH2p_C|0|VEMS_R_10_02615_001.01
Brk_nDownTranThd_DecelCohBVH2p_C|0|VEMS_R_10_02615_001.01
Brk_nInitCpt_AccelCohBVH2p_C|0|VEMS_R_10_02615_001.01
Brk_nInitCpt_DecelCohBVH2p_C|0|VEMS_R_10_02615_001.01
Brk_nUpTranThd_AccelCohBVH2p_C|0|VEMS_R_10_02615_001.01
Brk_nUpTranThd_DecelCohBVH2p_C|0|VEMS_R_10_02615_001.01
Brk_SdlSfty_BrkPedBVH2p|1|VEMS_R_10_02615_001.01
Brk_noThdDecPedBVH2pAccelCoh_C|0|VEMS_R_10_02615_001.01
Brk_noThdDecPedBVH2pDecelCoh_C|0|VEMS_R_10_02615_001.01
Brk_noThdIncPedBVH2pAccelCoh_C|0|VEMS_R_10_02615_001.01
Brk_noThdIncPedBVH2pDecelCoh_C|0|VEMS_R_10_02615_001.01
Brk_SdlMid_BrkPedBVH2p|1|VEMS_R_10_02615_001.01
BRKPEDBVH2P_vidCounter|1|VEMS_R_10_02615_003.01
BRKPEDBVH2P_vidCounter|1|VEMS_R_10_02615_008.01
BRKPEDBVH2P_vidDiagnostic|1|VEMS_R_10_02615_004.01
BRKPEDBVH2P_vidDiagnostic|1|VEMS_R_10_02615_005.01
BRKPEDBVH2P_vidDiagnostic|1|VEMS_R_10_02615_006.01
BRKPEDBVH2P_vidDiagnostic|1|VEMS_R_10_02615_007.01
BRKPEDBVH2P_vidEntryInit|1|VEMS_R_10_02615_001.01
