Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
CLCNFISAGAIN_u8inhib|uint8|CLCNFISAGAIN|0|0|0|CLCNFISAGAIN_u8inhib|0|0|Hexa|-||||FISA|FISA||CLCNFISAGAIN_u8inhib||2|||||||V02 NT 08 04650|1|1||||1|0|0|Calibration d'inhibition.|0|0|255|0|255|0
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Divers|Divers||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0
F1_p40|uint16|HEADER|1|0|0|F1_p40|0|0|Phys|-|1|1|40|Divers|Divers||F1_p40||4||||||||0|1||||1|0|0||0|0|65535|40|65575|0
FISA_bAuthSave|boolean|HEADER|1|0|0|FISA_bAuthSave|0|0|Phys|bool|2|0||Divers|Divers||FISA_bAuthSave||1||||||||0|1||||1|0|0||0|0|1|0|1|0
FISA_Enrich_facAdpY_A|uint8|CLCNFISAGAIN|1|1|5|FISA_Enrich_facAdpY_A|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_Enrich_facAdpY_A||2||FISA_facAdp||F1_b||FISA_Enrich_facAdpY_A|V02 NT 08 04650|1|1||||1|0|0|Points d’axe Y en facteur de qualité carburant des cartos d’enrichissement dû à l’adaptation carburant.|0|0|128|0|1|0
FISA_Enrich_tCoMesX_A|uint8|CLCNFISAGAIN|1|1|12|FISA_Enrich_tCoMesX_A|0|0|Phys|°C|1|1|-40|FISA|FISA||FISA_Enrich_tCoMesX_A||2||Ext_tCoMes||F1_p40||FISA_Enrich_tCoMesX_A|V02 NT 08 04650|1|1||||1|0|0|Points d’axe X en Teau des cartos d’enrichissement dû à l’adaptation carburant.|0|0|254|-40|214|0
FISA_facAdp|uint8|HEADER|1|0|0|FISA_facAdp|0|0|Phys|-|1|1/128|0|IFRTE|IFRTE||FISA_facAdp||1||||||||0|1||||1|0|0||0|0|128|0|1|0
FISA_facAstAdp|uint16|CLCNFISAGAIN|1|0|0|FISA_facAstAdp|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facAstAdp||1||||||||0|1||||1|0|0||0|0|1280|0|10|0
FISA_facAstAdp_M|uint16|CLCNFISAGAIN|1|12|5|FISA_facAstAdp_M|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facAstAdp_M||2|Ext_tCoMes|FISA_facAdp|F1_p40|F1_b|FISA_Enrich_tCoMesX_A|FISA_Enrich_facAdpY_A|V02 NT 08 04650|1|1||||1|0|0|Carto de correction des quantités injectées en après-démarrage fonction de la qualité carburant.|0|0|1280|0|10|0
FISA_facOld|uint8|CLCNFISAGAIN|1|0|0|FISA_facOld|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facOld||1||||||||0|1||||1|0|0||0|0|128|0|1|0
FISA_facOld_nvm|uint8|HEADER|1|0|0|FISA_facOld_nvm|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facOld_nvm||1||||||||0|1||||1|0|0||0|0|128|0|1|0
FISA_facStrtAdp|uint16|CLCNFISAGAIN|1|0|0|FISA_facStrtAdp|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facStrtAdp||1||||||||0|1||||1|0|0||0|0|1280|0|10|0
FISA_facStrtAdp_M|uint16|CLCNFISAGAIN|1|12|5|FISA_facStrtAdp_M|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facStrtAdp_M||2|Ext_tCoMes|FISA_facAdp|F1_p40|F1_b|FISA_Enrich_tCoMesX_A|FISA_Enrich_facAdpY_A|V02 NT 08 04650|1|1||||1|0|0|Carto de correction des quantités injectées au démarrage fonction de la qualité carburant.|0|0|1280|0|10|0
FISA_facTranAdp|uint8|CLCNFISAGAIN|1|0|0|FISA_facTranAdp|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facTranAdp||1||||||||0|1||||1|0|0||0|0|128|0|1|0
FISA_facTranAdp_M|uint8|CLCNFISAGAIN|1|12|5|FISA_facTranAdp_M|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facTranAdp_M||2|Ext_tCoMes|FISA_facAdp|F1_p40|F1_b|FISA_Enrich_tCoMesX_A|FISA_Enrich_facAdpY_A|V02 NT 08 04650|1|1||||1|0|0|Carto de correction pour le calcul du débit carburant en transitoire en fonction de la qualité carburant.|0|0|128|0|1|0
FISA_facWupAdp|uint16|CLCNFISAGAIN|1|0|0|FISA_facWupAdp|0|0|Phys|-|1|1/128|0|FISA|FISA||FISA_facWupAdp||1||||||||0|1||||1|0|0||0|0|1280|0|10|0
