Name|Type|Requirement
CLCNFISAGAIN_vidAllowedWrite|1|VEMS_R_08_00000_005.01
CLCNFISAGAIN_vidCalculCoeff|1|VEMS_R_08_04650_003.01
CLCNFISAGAIN_vidCalculCoeff|1|VEMS_R_08_04650_004.01
CLCNFISAGAIN_vidInitOutput|1|VEMS_R_08_04650_001.01
FISA_Enrich_facAdpY_A|0|VEMS_R_08_04650_001.01
FISA_Enrich_facAdpY_A|0|VEMS_R_08_04650_002.01
FISA_Enrich_tCoMesX_A|0|VEMS_R_08_04650_001.01
FISA_Enrich_tCoMesX_A|0|VEMS_R_08_04650_002.01
Fisa_EvePwrl_ClcnFisaGain|1|VEMS_R_08_00000_005.01
Fisa_EvePwrl_ClcnFisaGain|1|VEMS_R_08_04650_001.01
Fisa_EvePwrl_ClcnFisaGain|1|VEMS_R_08_04650_002.01
Fisa_EveStTR_ClcnFisaGain|1|VEMS_R_08_04650_001.01
Fisa_EveStTR_ClcnFisaGain|1|VEMS_R_08_04650_002.01
Fisa_EveTDC_ClcnFisaGain|1|VEMS_R_08_04650_001.01
Fisa_EveTDC_ClcnFisaGain|1|VEMS_R_08_04650_002.01
FISA_facAstAdp|0|VEMS_R_08_04650_001.01
FISA_facAstAdp|0|VEMS_R_08_04650_002.01
FISA_facAstAdp_M|0|VEMS_R_08_04650_001.01
FISA_facAstAdp_M|0|VEMS_R_08_04650_002.01
FISA_facOld|0|VEMS_R_08_04650_001.01
FISA_facOld|0|VEMS_R_08_04650_002.01
FISA_facStrtAdp|0|VEMS_R_08_04650_001.01
FISA_facStrtAdp|0|VEMS_R_08_04650_002.01
FISA_facStrtAdp_M|0|VEMS_R_08_04650_001.01
FISA_facStrtAdp_M|0|VEMS_R_08_04650_002.01
FISA_facTranAdp|0|VEMS_R_08_04650_001.01
FISA_facTranAdp|0|VEMS_R_08_04650_002.01
FISA_facTranAdp_M|0|VEMS_R_08_04650_001.01
FISA_facTranAdp_M|0|VEMS_R_08_04650_002.01
FISA_facWupAdp|0|VEMS_R_08_04650_001.01
FISA_facWupAdp|0|VEMS_R_08_04650_002.01
FISA_facWupAdp_M|0|VEMS_R_08_04650_001.01
FISA_facWupAdp_M|0|VEMS_R_08_04650_002.01
