Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Acqui_pedale_embrayage_pwd_per|uint32|HEADER|1|0|0|Acqui_pedale_embrayage_pwd_per|0|0|Phys|ns|1|100|0|Divers|Divers||Acqui_pedale_embrayage_pwd_per||1||||||||0|1||||1|0|0||0|0|2500001|0|250000100|0
Acqui_pedale_embrayage_pwd_rco|uint16|HEADER|1|0|0|Acqui_pedale_embrayage_pwd_rco|0|0|Phys|%|1|100/32768|0|Divers|Divers||Acqui_pedale_embrayage_pwd_rco||1||||||||0|1||||1|0|0||0|0|32768|0|100|0
Clu_FEmbFreq_Max_C|uint16|CLUPEDFREQACQ|1|0|0|Clu_FEmbFreq_Max_C|0|0|Phys|Hz|1|1|0|Diagnostic|Diagnostic||Clu_FEmbFreq_Max_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Fréquence maximum admissible du capteur embrayage proportionnel|0|0|65535|0|65535|0
Clu_FEmbFreq_Min_C|uint16|CLUPEDFREQACQ|1|0|0|Clu_FEmbFreq_Min_C|0|0|Phys|Hz|1|1|0|Diagnostic|Diagnostic||Clu_FEmbFreq_Min_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Fréquence minimum admissible du capteur embrayage proportionnel|0|0|65535|0|65535|0
Clu_GradEmbFreqCrois_C|uint16|CLUPEDFREQACQ|1|0|0|Clu_GradEmbFreqCrois_C|0|0|Phys|%/s|1|1|0|Diagnostic|Diagnostic||Clu_GradEmbFreqCrois_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Gradient maximum admissible en croissant du capteur embrayage proportionnel|0|0|65535|0|65535|0
Clu_GradEmbFreqDecrois_C|uint16|CLUPEDFREQACQ|1|0|0|Clu_GradEmbFreqDecrois_C|0|0|Phys|%/s|1|1|0|Diagnostic|Diagnostic||Clu_GradEmbFreqDecrois_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Gradient maximum admissible en décroissant du capteur embrayage proportionnel|0|0|65535|0|65535|0
Clu_nDecCpt_ScgPrssMes_C|uint8|CLUPEDFREQACQ|1|0|0|Clu_nDecCpt_ScgPrssMes_C|0|0|Phys|-|1|1|0|Divers|Divers||Clu_nDecCpt_ScgPrssMes_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Decrement du compteur pour le diagnostic niveau 2 du court circuit à la masse du capteur embrayage proportionnel|0|0|255|0|255|0
Clu_nDecCpt_ScpPrssMes_C|uint8|CLUPEDFREQACQ|1|0|0|Clu_nDecCpt_ScpPrssMes_C|0|0|Phys|-|1|1|0|Divers|Divers||Clu_nDecCpt_ScpPrssMes_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Decrement du compteur pour le diagnostic niveau 2 du court circuit au plus du capteur embrayage proportionnel|0|0|255|0|255|0
Clu_nDownTranThd_ScgPrssMes_C|uint8|CLUPEDFREQACQ|1|0|0|Clu_nDownTranThd_ScgPrssMes_C|0|0|Phys|-|1|1|0|Divers|Divers||Clu_nDownTranThd_ScgPrssMes_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Seuil de détections successives du défaut unitaire court circuit  à la masse du capteur embrayage proportionnel à l’état bas|0|0|255|0|255|0
Clu_nDownTranThd_ScpPrssMes_C|uint8|CLUPEDFREQACQ|1|0|0|Clu_nDownTranThd_ScpPrssMes_C|0|0|Phys|-|1|1|0|Divers|Divers||Clu_nDownTranThd_ScpPrssMes_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Seuil de détections successives du défaut unitaire court circuit au plus du capteur embrayage proportionnel à l’état bas|0|0|255|0|255|0
Clu_nInitCpt_ScgPrssMes_C|uint8|CLUPEDFREQACQ|1|0|0|Clu_nInitCpt_ScgPrssMes_C|0|0|Phys|-|1|1|0|Divers|Divers||Clu_nInitCpt_ScgPrssMes_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Calibration d'initialisation du compteur pour le diagnostic niveau 2 court circuit à la masse du capteur embrayage proportionnel|0|0|255|0|255|0
Clu_nInitCpt_ScpPrssMes_C|uint8|CLUPEDFREQACQ|1|0|0|Clu_nInitCpt_ScpPrssMes_C|0|0|Phys|-|1|1|0|Divers|Divers||Clu_nInitCpt_ScpPrssMes_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Calibration d'initialisation du compteur pour le diagnostic niveau 2 court circuit au plus du capteur embrayage proportionnel|0|0|255|0|255|0
Clu_nUpTranThd_ScgPrssMes_C|uint8|CLUPEDFREQACQ|1|0|0|Clu_nUpTranThd_ScgPrssMes_C|0|0|Phys|-|1|1|0|Divers|Divers||Clu_nUpTranThd_ScgPrssMes_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Seuil de détections successives du défaut unitaire court circuit à la masse du capteur embrayage proportionnel à l’état haut|0|0|255|0|255|0
Clu_nUpTranThd_ScpPrssMes_C|uint8|CLUPEDFREQACQ|1|0|0|Clu_nUpTranThd_ScpPrssMes_C|0|0|Phys|-|1|1|0|Divers|Divers||Clu_nUpTranThd_ScpPrssMes_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Seuil de détections successives du défaut unitaire court circuitau plus du capteur embrayage proportionnel à l’état haut|0|0|255|0|255|0
Clu_perRateCluPedPrssMes|uint16|CLUPEDFREQACQ|0|0|0|Clu_perRateCluPedPrssMes|0|0|Phys|ms|1|0.01|0|Diagnostic|Diagnostic||Clu_perRateCluPedPrssMes||1||||||||0|1||||1|0|0||0|0|65535|0|655.35|0
Clu_PosPed_Map|uint16|CLUPEDFREQACQ|1|1|2|Clu_PosPed_Map|0|0|Phys|%|1|100/1024|0|Divers|Divers||Clu_PosPed_Map||2||Ext_rCluPedPrssBrutMes||F1||Clu_Rco_Bkpt|PTS_DOC_6562175|1|1||||1|0|0|Table de linéarisation du signal du capteur d'embrayage proportionnel|0|0|1024|0|100|0
Clu_rCluPedPrssLnrMes|uint16|CLUPEDFREQACQ|0|0|0|Clu_rCluPedPrssLnrMes|0|0|Phys|%|1|100/1024|0|Diagnostic|Diagnostic||Clu_rCluPedPrssLnrMes||1||||||||0|1||||1|0|0||0|0|1024|0|100|0
Clu_rCluPedPrssLnrMesPrev|uint16|CLUPEDFREQACQ|0|0|0|Clu_rCluPedPrssLnrMesPrev|0|0|Phys|%|1|100/1024|0|Diagnostic|Diagnostic||Clu_rCluPedPrssLnrMesPrev||1||||||||0|1||||1|0|0||0|0|1024|0|100|0
Clu_rCluPedPrssMem|uint16|CLUPEDFREQACQ|0|0|0|Clu_rCluPedPrssMem|0|0|Phys|%|1|100/1024|0|Diagnostic|Diagnostic||Clu_rCluPedPrssMem||1||||||||0|1||||1|0|0||0|0|1024|0|100|0
Clu_rCluPedPrssMesFault_C|uint16|CLUPEDFREQACQ|1|0|0|Clu_rCluPedPrssMesFault_C|0|0|Phys|%|1|0.1|0|Diagnostic|Diagnostic||Clu_rCluPedPrssMesFault_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|Valeur de remplacement de la position d'embrayage|0|0|1000|0|100|0
Clu_Rco_Bkpt|uint16|CLUPEDFREQACQ|1|1|2|Clu_Rco_Bkpt|0|0|Phys|%|1|0.1|0|Diagnostic|Diagnostic||Clu_Rco_Bkpt||2||Ext_rCluPedPrssBrutMes||F1||Clu_Rco_Bkpt|PTS_DOC_6562175|1|1||||1|0|0|point d'appui du RCO capteur embrayage proportionnel|0|0|1000|0|100|0
Clu_RcoEmbFreq_Max_C|uint16|CLUPEDFREQACQ|1|0|0|Clu_RcoEmbFreq_Max_C|0|0|Phys|%|1|0.1|0|Diagnostic|Diagnostic||Clu_RcoEmbFreq_Max_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|RCO maximum admissible du capteur embrayage proportionnel|0|0|65535|0|6553.5|0
Clu_RcoEmbFreq_Min_C|uint16|CLUPEDFREQACQ|1|0|0|Clu_RcoEmbFreq_Min_C|0|0|Phys|%|1|0.1|0|Diagnostic|Diagnostic||Clu_RcoEmbFreq_Min_C||2|||||||PTS_DOC_6562175|1|1||||1|0|0|RCO minimum admissible du capteur embrayage proportionnel|0|0|65535|0|6553.5|0
Clu_SampleTiFast_SC|uint16|HEADER|1|0|0|Clu_SampleTiFast_SC|0|0|Phys|-|||||||Clu_SampleTiFast_SC||3||||||||0|1|||10|0|0|0||0|||||0
CLUPEDFREQACQ_bFilSig_1|boolean|CLUPEDFREQACQ|0|0|0|CLUPEDFREQACQ_bFilSig_1|0|0|Phys|bool|2|0||Divers|Divers||CLUPEDFREQACQ_bFilSig_1||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CLUPEDFREQACQ_bFilSig_2|boolean|CLUPEDFREQACQ|0|0|0|CLUPEDFREQACQ_bFilSig_2|0|0|Phys|bool|2|0||Divers|Divers||CLUPEDFREQACQ_bFilSig_2||1||||||||0|1||||1|0|0||0|0|1|0|1|0
