Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
AccP_bHdPtSen|boolean|HEADER|1|0|0|AccP_bHdPtSen|0|0|Phys|bool|2|0||Divers|Divers||AccP_bHdPtSen||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_tension_capt_temp_air|uint16|ACQADC|1|0|0|Acq_tension_capt_temp_air|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acq_tension_capt_temp_air||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acq_tension_capt_temp_eau|uint16|ACQADC|1|0|0|Acq_tension_capt_temp_eau|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acq_tension_capt_temp_eau||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acq_tension_sonde_o2_am|uint16|ACQADC|1|0|0|Acq_tension_sonde_o2_am|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acq_tension_sonde_o2_am||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acq_tension_sonde_o2_av|uint16|ACQADC|1|0|0|Acq_tension_sonde_o2_av|0|0|Phys|V|1|5/4096|0|divers|divers||Acq_tension_sonde_o2_av||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
ACQADC_u8Inhib|uint8|ACQADC|0|0|0|ACQADC_u8Inhib|0|0|Hexa|-||||Divers|Divers||ACQADC_u8Inhib||2|||||||PTS_DOC_6669203|1|1||||1|0|0|Calibration d'inhibition du module ACQADC.|0|0|255|0|255|0
Acqui_position_pedale_1|uint16|ACQADC|1|0|0|Acqui_position_pedale_1|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acqui_position_pedale_1||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acqui_position_pedale_2|uint16|ACQADC|1|0|0|Acqui_position_pedale_2|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acqui_position_pedale_2||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acqui_tension_contacteur_pt_dur|uint16|ACQADC|1|0|0|Acqui_tension_contacteur_pt_dur|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acqui_tension_contacteur_pt_dur||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquis_tension_press_refri|uint16|ACQADC|1|0|0|Acquis_tension_press_refri|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquis_tension_press_refri||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquisition_position_bpm_cpt1|uint16|ACQADC|1|0|0|Acquisition_position_bpm_cpt1|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquisition_position_bpm_cpt1||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquisition_position_bpm_cpt2|uint16|ACQADC|1|0|0|Acquisition_position_bpm_cpt2|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquisition_position_bpm_cpt2||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquisition_press_airext|uint16|ACQADC|1|0|0|Acquisition_press_airext|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquisition_press_airext||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquisition_press_coll|uint16|ACQADC|1|0|0|Acquisition_press_coll|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquisition_press_coll||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquisition_press_mast_abs|uint16|ACQADC|1|0|0|Acquisition_press_mast_abs|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquisition_press_mast_abs||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquisition_press_mast_rel|uint16|ACQADC|1|0|0|Acquisition_press_mast_rel|0|0|Phys|V|1|5/4096|0|divers|divers||Acquisition_press_mast_rel||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquisition_tension_batterie|uint16|ACQADC|1|0|0|Acquisition_tension_batterie|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquisition_tension_batterie||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Acquisition_tension_etat_bicd|uint16|ACQADC|1|0|0|Acquisition_tension_etat_bicd|0|0|Phys|V|1|5/4096|0|Divers|Divers||Acquisition_tension_etat_bicd||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
ADCHAL_INT_ATMO_PRS_P0|uint8|HEADER|1|0|0|ADCHAL_INT_ATMO_PRS_P0|0|0|Phys|-|||||||ADCHAL_INT_ATMO_PRS_P0||3||||||||0|1|||7|0|0|0||0|||||0
AirPres_bAcvBrkAsiAcq|boolean|HEADER|1|0|0|AirPres_bAcvBrkAsiAcq|0|0|Phys|bool|2|0||Divers|Divers||AirPres_bAcvBrkAsiAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CH_ADC_AC_PRS_V|uint8|HEADER|1|0|0|CH_ADC_AC_PRS_V|0|0|Phys|-|||||||CH_ADC_AC_PRS_V||3||||||||0|1|||16|0|0|0||0|||||0
CH_ADC_BAT_RLY_V|uint8|HEADER|1|0|0|CH_ADC_BAT_RLY_V|0|0|Phys|-|||||||CH_ADC_BAT_RLY_V||3||||||||0|1|||5|0|0|0||0|||||0
CH_ADC_BICD|uint8|HEADER|1|0|0|CH_ADC_BICD|0|0|Phys|-|||||||CH_ADC_BICD||3||||||||0|1|||9|0|0|0||0|||||0
CH_ADC_HT_DW_O2_CUR|uint8|HEADER|1|0|0|CH_ADC_HT_DW_O2_CUR|0|0|Phys|-|||||||CH_ADC_HT_DW_O2_CUR||3||||||||0|1|||10|0|0|0||0|||||0
