Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
ACQDGOHAL_u8Inhib|uint8|ACQDGOHAL|0|0|0|ACQDGOHAL_u8Inhib|0|0|Hexa|-||||Divers|Divers||ACQDGOHAL_u8Inhib||2|||||||PTS_DOC_6669624|1|1||||1|0|0|calibration d'inhibation du module ACQDGOHAL|0|0|255|0|255|0
Ctrl_bAcv_ECTReq|boolean|HEADER|1|0|0|Ctrl_bAcv_ECTReq|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAcv_ECTReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ctrl_bAcv_FuTnkPmp|boolean|HEADER|1|0|0|Ctrl_bAcv_FuTnkPmp|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAcv_FuTnkPmp||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ctrl_bAvc_BlowBy1|boolean|HEADER|1|0|0|Ctrl_bAvc_BlowBy1|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAvc_BlowBy1||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ctrl_bAvc_BlowBy2|boolean|HEADER|1|0|0|Ctrl_bAvc_BlowBy2|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAvc_BlowBy2||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ctrl_bEngRunr|boolean|HEADER|1|0|0|Ctrl_bEngRunr|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bEngRunr||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_composant_bpm|boolean|ACQDGOHAL|1|0|0|Dena_composant_bpm|0|0|Phys|bool|2|0||Divers|Divers||Dena_composant_bpm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_cmd_dmtr|boolean|ACQDGOHAL|1|0|0|Dena_oc_cmd_dmtr|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_cmd_dmtr||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_cmdautoredemstt|boolean|ACQDGOHAL|1|0|0|Dena_oc_cmdautoredemstt|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_cmdautoredemstt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_cstrdrv|boolean|ACQDGOHAL|1|0|0|Dena_oc_cstrdrv|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_cstrdrv||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_driver_GMV1|boolean|ACQDGOHAL|1|0|0|Dena_oc_driver_GMV1|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_driver_GMV1||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_driver_GMV2|boolean|ACQDGOHAL|1|0|0|Dena_oc_driver_GMV2|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_driver_GMV2||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_driver_vvt_adm|boolean|ACQDGOHAL|1|0|0|Dena_oc_driver_vvt_adm|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_driver_vvt_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_driver_vvt_ech|boolean|ACQDGOHAL|1|0|0|Dena_oc_driver_vvt_ech|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_driver_vvt_ech||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_drvrseno2ds|boolean|ACQDGOHAL|1|0|0|Dena_oc_drvrseno2ds|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_drvrseno2ds||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_drvrseno2us|boolean|ACQDGOHAL|1|0|0|Dena_oc_drvrseno2us|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_drvrseno2us||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_infomoteurtournant|boolean|ACQDGOHAL|1|0|0|Dena_oc_infomoteurtournant|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_infomoteurtournant||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_pompe_ess_pwm|boolean|ACQDGOHAL|1|0|0|Dena_oc_pompe_ess_pwm|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_pompe_ess_pwm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_rechauffeurblowby1|boolean|ACQDGOHAL|1|0|0|Dena_oc_rechauffeurblowby1|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_rechauffeurblowby1||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_rechauffeurblowby2|boolean|ACQDGOHAL|1|0|0|Dena_oc_rechauffeurblowby2|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_rechauffeurblowby2||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_relais_puissance|boolean|ACQDGOHAL|1|0|0|Dena_oc_relais_puissance|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_relais_puissance||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_sortielogiquedml|boolean|ACQDGOHAL|1|0|0|Dena_oc_sortielogiquedml|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_sortielogiquedml||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_cmd_dmtr|boolean|ACQDGOHAL|1|0|0|Dena_scg_cmd_dmtr|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_cmd_dmtr||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_cmdautoredemst|boolean|ACQDGOHAL|1|0|0|Dena_scg_cmdautoredemst|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_cmdautoredemst||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_cmdautoredemstt|boolean|ACQDGOHAL|1|0|0|Dena_scg_cmdautoredemstt|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_cmdautoredemstt||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_cstrdrv|boolean|ACQDGOHAL|1|0|0|Dena_scg_cstrdrv|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_cstrdrv||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_driver_GMV1|boolean|ACQDGOHAL|1|0|0|Dena_scg_driver_GMV1|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_driver_GMV1||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_driver_GMV2|boolean|ACQDGOHAL|1|0|0|Dena_scg_driver_GMV2|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_driver_GMV2||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_driver_vvt_adm|boolean|ACQDGOHAL|1|0|0|Dena_scg_driver_vvt_adm|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_driver_vvt_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_driver_vvt_ech|boolean|ACQDGOHAL|1|0|0|Dena_scg_driver_vvt_ech|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_driver_vvt_ech||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_drvrseno2ds|boolean|ACQDGOHAL|1|0|0|Dena_scg_drvrseno2ds|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_drvrseno2ds||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_drvrseno2us|boolean|ACQDGOHAL|1|0|0|Dena_scg_drvrseno2us|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_drvrseno2us||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_infomoteurtournant|boolean|ACQDGOHAL|1|0|0|Dena_scg_infomoteurtournant|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_infomoteurtournant||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_pompe_ess_pwm|boolean|ACQDGOHAL|1|0|0|Dena_scg_pompe_ess_pwm|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_pompe_ess_pwm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
