Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
ACQDGOHAL_DT_u8Inhib|uint8|ACQDGOHAL_DT|0|0|0|ACQDGOHAL_DT_u8Inhib|0|0|Hexa|-||||Divers|Divers||ACQDGOHAL_DT_u8Inhib||2|||||||PTS_DOC_6854092|1|1||||1|0|0|Calibration d'inhibition du module ACQDGOHAL_DT|0|0|255|0|255|0|
Ctrl_bAcv_HpPmp|boolean|HEADER|1|0|0|Ctrl_bAcv_HpPmp|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAcv_HpPmp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bAcv_TrbCoWaPmp|boolean|HEADER|1|0|0|Ctrl_bAcv_TrbCoWaPmp|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAcv_TrbCoWaPmp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bAcv_uEngOilLvl|boolean|HEADER|1|0|0|Ctrl_bAcv_uEngOilLvl|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAcv_uEngOilLvl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bOilPmpCmd|boolean|HEADER|1|0|0|Ctrl_bOilPmpCmd|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bOilPmpCmd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bTrbAct_rCtl|boolean|HEADER|1|0|0|Ctrl_bTrbAct_rCtl|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bTrbAct_rCtl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bTreatAdHeatRly|boolean|HEADER|1|0|0|Ctrl_bTreatAdHeatRly|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bTreatAdHeatRly||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_ComSpi_ASICGDI|boolean|ACQDGOHAL_DT|1|0|0|Dena_ComSpi_ASICGDI|0|0|Phys|bool|2|0||Divers|Divers||Dena_ComSpi_ASICGDI||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_CtlPmpReq|boolean|ACQDGOHAL_DT|1|0|0|Dena_oc_CtlPmpReq|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_CtlPmpReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_CTP1|boolean|ACQDGOHAL_DT|1|0|0|Dena_oc_CTP1|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_CTP1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_CTP2|boolean|ACQDGOHAL_DT|1|0|0|Dena_oc_CTP2|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_CTP2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_DmpVlvCmd|boolean|ACQDGOHAL_DT|1|0|0|Dena_oc_DmpVlvCmd|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_DmpVlvCmd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
