Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
ACQPWD_u8Inhib|uint8|ACQPWD|0|0|0|ACQPWD_u8Inhib|0|0|Hexa|-||||divers|divers||ACQPWD_u8Inhib||2|||||||PTS_DOC_6717056|1|1||||1|0|0|Calibration d'inhibition du module AcqPWD|0|0|255|0|255|0
Acqui_diag_pompe_ess_pwd_per|uint32|ACQPWD|1|0|0|Acqui_diag_pompe_ess_pwd_per|0|0|Phys|ns|1|100|0|divers|divers||Acqui_diag_pompe_ess_pwd_per||1||||||||0|1||||1|0|0||0|0|2500001|0|250000100|0
Acqui_diag_pompe_ess_pwd_rco|uint16|ACQPWD|1|0|0|Acqui_diag_pompe_ess_pwd_rco|0|0|Phys|%|1|100/32768|0|divers|divers||Acqui_diag_pompe_ess_pwd_rco||1||||||||0|1||||1|0|0||0|0|32768|0|100|0
Acqui_pedale_embrayage_pwd_per|uint32|ACQPWD|1|0|0|Acqui_pedale_embrayage_pwd_per|0|0|Phys|ns|1|100|0|divers|divers||Acqui_pedale_embrayage_pwd_per||1||||||||0|1||||1|0|0||0|0|2500001|0|250000100|0
Acqui_pedale_embrayage_pwd_rco|uint16|ACQPWD|1|0|0|Acqui_pedale_embrayage_pwd_rco|0|0|Phys|%|1|100/32768|0|divers|divers||Acqui_pedale_embrayage_pwd_rco||1||||||||0|1||||1|0|0||0|0|32768|0|100|0
Acquis_point_mort_periode|uint16|ACQPWD|1|0|0|Acquis_point_mort_periode|0|0|Phys|ms|1|0.1|0|divers|divers||Acquis_point_mort_periode||1||||||||0|1||||1|0|0||0|0|65535|0|6553.5|0
Acquis_point_mort_rco|uint16|ACQPWD|1|0|0|Acquis_point_mort_rco|0|0|Phys|%|1|100/32768|0|divers|divers||Acquis_point_mort_rco||1||||||||0|1||||1|0|0||0|0|32768|0|100|0
Acquisition_etat_gmvC|uint16|ACQPWD|1|0|0|Acquisition_etat_gmvC|0|0|Phys|%|1|100/32768|0|divers|divers||Acquisition_etat_gmvC||1||||||||0|1||||1|0|0||0|0|32768|0|100|0
Cf_cooling_fan_equipment|uint8|HEADER|1|0|0|Cf_cooling_fan_equipment|0|0|Phys|etat|4|||Cf|Cf||Cf_cooling_fan_equipment||1||||||||0|1||||1|0|0||0|||||0
CH_PFC_GMV_1|uint8|HEADER|1|0|0|CH_PFC_GMV_1|0|0|Phys|-|||||||CH_PFC_GMV_1||3||||||||0|1|||20|0|0|0||0|||||0
CH_PWD_CAPTEUR_NEUTRE|uint8|HEADER|1|0|0|CH_PWD_CAPTEUR_NEUTRE|0|0|Phys|-|||||||CH_PWD_CAPTEUR_NEUTRE||3||||||||0|1|||1|0|0|0||0|||||0
