Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AcquiState_stHPPmpActCmd|uint8|HPPMPACTCMDACQ_DT|1|0|0|AcquiState_stHPPmpActCmd|0|0|Phys|-|0|||HPPMPACTCMDACQ_DT|HPPMPACTCMDACQ_DT||AcquiState_stHPPmpActCmd||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ctrl_bAcv_HpPmp|boolean|HEADER|1|0|0|Ctrl_bAcv_HpPmp|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAcv_HpPmp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
HPPMPACTCMDACQ_DT_u8Inhib|uint8|HPPMPACTCMDACQ_DT|0|0|0|HPPMPACTCMDACQ_DT_u8Inhib|0|0|Hexa|-||||HPPMPACTCMDACQ_DT|HPPMPACTCMDACQ_DT||HPPMPACTCMDACQ_DT_u8Inhib||2|||||||PTS_DOC_6882935|1|1||||1|0|0|Inhibition Flag|0|0|255|0|255|0|
L9781_u8IDX_PROF_01_PMP||HEADER|1|0|0|L9781_u8IDX_PROF_01_PMP|0|0|Phys|-|||||||L9781_u8IDX_PROF_01_PMP||3||||||||0|1|||0x01|0|0|0||0|||||0|
L9781_u8IDX_PROF_02_PMP||HEADER|1|0|0|L9781_u8IDX_PROF_02_PMP|0|0|Phys|-|||||||L9781_u8IDX_PROF_02_PMP||3||||||||0|1|||0x02|0|0|0||0|||||0|
L9781_u8IDX_PROF_03_PMP||HEADER|1|0|0|L9781_u8IDX_PROF_03_PMP|0|0|Phys|-|||||||L9781_u8IDX_PROF_03_PMP||3||||||||0|1|||0x03|0|0|0||0|||||0|
L9781_u8IDX_PROF_04_PMP||HEADER|1|0|0|L9781_u8IDX_PROF_04_PMP|0|0|Phys|-|||||||L9781_u8IDX_PROF_04_PMP||3||||||||0|1|||0x04|0|0|0||0|||||0|
L9781_u8IDX_PROF_05_PMP||HEADER|1|0|0|L9781_u8IDX_PROF_05_PMP|0|0|Phys|-|||||||L9781_u8IDX_PROF_05_PMP||3||||||||0|1|||0x05|0|0|0||0|||||0|
L9781_u8IDX_PROF_06_PMP||HEADER|1|0|0|L9781_u8IDX_PROF_06_PMP|0|0|Phys|-|||||||L9781_u8IDX_PROF_06_PMP||3||||||||0|1|||0x06|0|0|0||0|||||0|
L9781_u8IDX_PROF_07_PMP||HEADER|1|0|0|L9781_u8IDX_PROF_07_PMP|0|0|Phys|-|||||||L9781_u8IDX_PROF_07_PMP||3||||||||0|1|||0x07|0|0|0||0|||||0|
