Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
ACTION_EN_COURS|bool|HEADER|1|0|0|Srv_stActrTstStatus|0|2|Phys|-|2|2||HEADER|HEADER||ACTION_EN_COURS||1||||||||0|1||||1|0|0||0|||||0|
Clef_de_contact|boolean|HEADER|1|0|0|Clef_de_contact|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Clef_de_contact||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Code_test_action|uint8|HEADER|1|0|0|Code_test_action|0|0|Phys|-|1|1|0|HEADER|HEADER||Code_test_action||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
CODE_TEST_BOBINE_1|uint8|HEADER|1|0|0|CODE_TEST_BOBINE_1|0|0|Phys|-|||||||CODE_TEST_BOBINE_1||3||||||||0|1|||223|0|0|0||0|||||0|
CODE_TEST_BOBINE_2|uint8|HEADER|1|0|0|CODE_TEST_BOBINE_2|0|0|Phys|-|||||||CODE_TEST_BOBINE_2||3||||||||0|1|||207|0|0|0||0|||||0|
CODE_TEST_BOBINE_3|uint8|HEADER|1|0|0|CODE_TEST_BOBINE_3|0|0|Phys|-|||||||CODE_TEST_BOBINE_3||3||||||||0|1|||191|0|0|0||0|||||0|
CODE_TEST_BOBINE_4|uint8|HEADER|1|0|0|CODE_TEST_BOBINE_4|0|0|Phys|-|||||||CODE_TEST_BOBINE_4||3||||||||0|1|||175|0|0|0||0|||||0|
Dena_oc_bobine1|boolean|IGCOILMNG|1|0|0|Dena_oc_bobine1|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_bobine1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_bobine2|boolean|IGCOILMNG|1|0|0|Dena_oc_bobine2|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_bobine2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_bobine3|boolean|IGCOILMNG|1|0|0|Dena_oc_bobine3|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_bobine3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_bobine4|boolean|IGCOILMNG|1|0|0|Dena_oc_bobine4|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_bobine4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scg_bobine1|boolean|IGCOILMNG|1|0|0|Dena_scg_bobine1|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_bobine1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scg_bobine2|boolean|IGCOILMNG|1|0|0|Dena_scg_bobine2|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_bobine2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scg_bobine3|boolean|IGCOILMNG|1|0|0|Dena_scg_bobine3|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_bobine3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scg_bobine4|boolean|IGCOILMNG|1|0|0|Dena_scg_bobine4|0|0|Phys|bool|2|0||Divers|Divers||Dena_scg_bobine4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scp_bobine1|boolean|IGCOILMNG|1|0|0|Dena_scp_bobine1|0|0|Phys|bool|2|0||Divers|Divers||Dena_scp_bobine1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scp_bobine2|boolean|IGCOILMNG|1|0|0|Dena_scp_bobine2|0|0|Phys|bool|2|0||Divers|Divers||Dena_scp_bobine2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scp_bobine3|boolean|IGCOILMNG|1|0|0|Dena_scp_bobine3|0|0|Phys|bool|2|0||Divers|Divers||Dena_scp_bobine3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scp_bobine4|boolean|IGCOILMNG|1|0|0|Dena_scp_bobine4|0|0|Phys|bool|2|0||Divers|Divers||Dena_scp_bobine4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_oc_bobine1|boolean|IGCOILMNG|1|0|0|Dft_oc_bobine1|0|0|Phys|bool|2|0||Divers|Divers||Dft_oc_bobine1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_oc_bobine2|boolean|IGCOILMNG|1|0|0|Dft_oc_bobine2|0|0|Phys|bool|2|0||Divers|Divers||Dft_oc_bobine2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_oc_bobine3|boolean|IGCOILMNG|1|0|0|Dft_oc_bobine3|0|0|Phys|bool|2|0||Divers|Divers||Dft_oc_bobine3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_oc_bobine4|boolean|IGCOILMNG|1|0|0|Dft_oc_bobine4|0|0|Phys|bool|2|0||Divers|Divers||Dft_oc_bobine4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scg_bobine1|boolean|IGCOILMNG|1|0|0|Dft_scg_bobine1|0|0|Phys|bool|2|0||Divers|Divers||Dft_scg_bobine1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scg_bobine2|boolean|IGCOILMNG|1|0|0|Dft_scg_bobine2|0|0|Phys|bool|2|0||Divers|Divers||Dft_scg_bobine2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scg_bobine3|boolean|IGCOILMNG|1|0|0|Dft_scg_bobine3|0|0|Phys|bool|2|0||Divers|Divers||Dft_scg_bobine3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scg_bobine4|boolean|IGCOILMNG|1|0|0|Dft_scg_bobine4|0|0|Phys|bool|2|0||Divers|Divers||Dft_scg_bobine4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scp_bobine1|boolean|IGCOILMNG|1|0|0|Dft_scp_bobine1|0|0|Phys|bool|2|0||Divers|Divers||Dft_scp_bobine1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scp_bobine2|boolean|IGCOILMNG|1|0|0|Dft_scp_bobine2|0|0|Phys|bool|2|0||Divers|Divers||Dft_scp_bobine2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scp_bobine3|boolean|IGCOILMNG|1|0|0|Dft_scp_bobine3|0|0|Phys|bool|2|0||Divers|Divers||Dft_scp_bobine3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scp_bobine4|boolean|IGCOILMNG|1|0|0|Dft_scp_bobine4|0|0|Phys|bool|2|0||Divers|Divers||Dft_scp_bobine4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DGO_COIL_CYLINDER_1|uint8|HEADER|1|0|0|DGO_COIL_CYLINDER_1|0|0|Phys|-|||||||DGO_COIL_CYLINDER_1||3||||||||0|1|||46|0|0|0||0|||||0|
DGO_COIL_CYLINDER_2|uint8|HEADER|1|0|0|DGO_COIL_CYLINDER_2|0|0|Phys|-|||||||DGO_COIL_CYLINDER_2||3||||||||0|1|||24|0|0|0||0|||||0|
DGO_COIL_CYLINDER_3|uint8|HEADER|1|0|0|DGO_COIL_CYLINDER_3|0|0|Phys|-|||||||DGO_COIL_CYLINDER_3||3||||||||0|1|||25|0|0|0||0|||||0|
DGO_COIL_CYLINDER_4|uint8|HEADER|1|0|0|DGO_COIL_CYLINDER_4|0|0|Phys|-|||||||DGO_COIL_CYLINDER_4||3||||||||0|1|||26|0|0|0||0|||||0|
DGOHAL_bfFAULT_GROUND||HEADER|1|0|0|DGOHAL_bfFAULT_GROUND|0|0|Phys|-|||||||DGOHAL_bfFAULT_GROUND||3||||||||0|1|||0x08|0|0|0||0|||||0|
