Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
DGOHAL_bfRead|B|func_DGOHAL_bfRead|1|HEADER|1|NONE||||0|0|0|0|API DGOHAL_bfRead|
IgCmd_EveCkSnOf_IgCoilMng|C|();|SCH.7|IGCOILMNG|1|PTS_DOC_6668934||||0|0|0|0|Evènement synchronisation perdue|
IgCmd_EveICD_IgCoilMng|B|();|SCH.4|IGCOILMNG|1|PTS_DOC_6668934||||0|0|0|0|Evénement de commande du driver des bobines d'allumage|
IgCmd_EveRst_IgCoilMng|B|();|SCH.1|IGCOILMNG|1|PTS_DOC_6668934||||0|0|0|0|Evénement reset du calculateur|
IgCmd_EveStTR_IgCoilMng|B|();|SCH.5|IGCOILMNG|1|PTS_DOC_6668934||||0|0|0|0|Evénement correspondant au passage à 1 de la variable Moteur_tournant.|
IgCmd_EveSyncAccu_IgCoilMng|C|();|SCH.6|IGCOILMNG|1|PTS_DOC_6668934||||0|0|0|0|Evénement indiquant le passage en synchronisation précise du moteur|
IgCmd_SdlFast_IgCoilMng|B|();|SCH.3|IGCOILMNG|1|PTS_DOC_6668934||||0|0|0|0|Moniteur rapide de la fonction IgCmd|
IgCmd_SdlSlow_IgCoilMng|B|();|SCH.2|IGCOILMNG|1|PTS_DOC_6668934||||0|0|0|0|Moniteur lent de la fonction IgCmd|
IGCOILMNG_vidAgIgMng|B|();|FCT1.10|IGCOILMNG|0|PTS_DOC_6668934||||0|0|0|0|Ce bloc gère l’envoi de l’avance finale à appliquer et l’avance finale suivante et la demande d’inhibition de l’allumage pour les besoins de la stratégie Misfire.|
IGCOILMNG_vidCalcDwellTime|C|();|FCT1.7|IGCOILMNG|0|PTS_DOC_6668934||||0|0|0|0|Calcul du seuil temporel du diagnostic du circuit ouvert c’est à dire du temps de Dwell|
IGCOILMNG_vidCalcIcdRatioEnergy|C|();|FCT1.5|IGCOILMNG|0|PTS_DOC_6668934||||0|0|0|0|Le rapport « Icd_ratio_energy » est géré entre l’énergie souhaitée et nominale  (cf. déterminé en fonction de caractéristiques hardware) de la commande des bobines, Deux cas peuvent se présenter:  cas où le moteur est froid/cas où le moteur est chaud|
IGCOILMNG_vidCalcIcdState|C|();|FCT1.4|IGCOILMNG|0|PTS_DOC_6668934||||0|0|0|0|Cet automate détermine le mode de fonctionnement des bobines: Phase de démarrage ou normale où l’énergie d’allumage nommée Icd_max_current_coils bénéficiera de l’adaptation via le ratio nommé Icd_ratio_energy. Initialement, l’énergie d’allumage sera fixe.|
IGCOILMNG_vidCallDiagICD|B|();|FCT3.1|IGCOILMNG|0|PTS_DOC_6668934||||0|0|0|0|Il est inutile de prendre en compte la condition sur Code_test_action ni celle Srv_stActrTstStatus puisque les tests actionneurs n’ont lieu que lorsque le moteur est arrêté (pas de PMB).|
IGCOILMNG_vidCallDiagSdlFast|B|();|FCT3.2|IGCOILMNG|0|PTS_DOC_6668934||||0|0|0|0|call the diagnosis function depending on IgCmd_bCallDiagTyp_C, Srv_stActrTstStatus and Code_test_action.|
