Name|Type|Requirement
Icd_ratio_energy|0|VEMS_R_08_05995_001.01
Icd_state|0|VEMS_R_08_05995_001.01
Icd_energy_ratio_nom|0|VEMS_R_08_05995_001.01
Icd_max_current_coils|0|VEMS_R_08_05995_001.01
Icd_ratio_energy_map|0|VEMS_R_08_05995_001.01
Icd_water_temp_thresh|0|VEMS_R_08_05995_001.01
Table_dwell_dem|0|VEMS_R_08_05995_001.01
Manu_coupure_bob_1|0|VEMS_R_08_05995_001.01
Manu_coupure_bob_2|0|VEMS_R_08_05995_001.01
Manu_coupure_bob_3|0|VEMS_R_08_05995_001.01
Regime_dwell_demarrage_hyst_bas|0|VEMS_R_08_05995_001.01
Regime_dwell_demarrage_hyst_haut|0|VEMS_R_08_05995_001.01
Regime_moteur_bkpt_bobine|0|VEMS_R_08_05995_001.01
Tension_batterie_bkpt_bobine|0|VEMS_R_08_05995_001.01
Temperature_eau_2_bkpt_map|0|VEMS_R_08_05995_001.01
Manu_coupure_bob_4|0|VEMS_R_08_05995_001.01
IgCmd_bCallDiagTyp_C|0|VEMS_R_08_05995_001.01
Tension_batterie_bkpt_16pts|0|VEMS_R_08_05995_001.01
Icd_ratio_energy_map_RegLd|0|VEMS_R_08_05995_001.01
Engine_load_bkpt_bobine|0|VEMS_R_08_05995_001.01
Regime_moteur_bkpt_2_bobine|0|VEMS_R_08_05995_001.01
Dena_oc_bobine1|0|VEMS_R_08_05995_001.01
Dena_oc_bobine2|0|VEMS_R_08_05995_001.01
Dena_oc_bobine3|0|VEMS_R_08_05995_001.01
Dena_oc_bobine4|0|VEMS_R_08_05995_001.01
Dena_scg_bobine1|0|VEMS_R_08_05995_001.01
Dena_scg_bobine2|0|VEMS_R_08_05995_001.01
Dena_scg_bobine3|0|VEMS_R_08_05995_001.01
Dena_scg_bobine4|0|VEMS_R_08_05995_001.01
Dena_scp_bobine1|0|VEMS_R_08_05995_001.01
Dena_scp_bobine2|0|VEMS_R_08_05995_001.01
Dena_scp_bobine3|0|VEMS_R_08_05995_001.01
Dena_scp_bobine4|0|VEMS_R_08_05995_001.01
Dft_oc_bobine1|0|VEMS_R_08_05995_001.01
Dft_oc_bobine2|0|VEMS_R_08_05995_001.01
Dft_oc_bobine3|0|VEMS_R_08_05995_001.01
Dft_oc_bobine4|0|VEMS_R_08_05995_001.01
Dft_scg_bobine1|0|VEMS_R_08_05995_001.01
Dft_scg_bobine2|0|VEMS_R_08_05995_001.01
Dft_scg_bobine3|0|VEMS_R_08_05995_001.01
Dft_scg_bobine4|0|VEMS_R_08_05995_001.01
Dft_scp_bobine1|0|VEMS_R_08_05995_001.01
Dft_scp_bobine2|0|VEMS_R_08_05995_001.01
Dft_scp_bobine3|0|VEMS_R_08_05995_001.01
Dft_scp_bobine4|0|VEMS_R_08_05995_001.01
IgCmd_EveCkSnOf_IgCoilMng|1|VEMS_R_08_05995_001.01
IgCmd_EveICD_IgCoilMng|1|VEMS_R_08_05995_001.01
IgCmd_EveRst_IgCoilMng|1|VEMS_R_08_05995_001.01
IgCmd_EveStTR_IgCoilMng|1|VEMS_R_08_05995_001.01
IgCmd_EveSyncAccu_IgCoilMng|1|VEMS_R_08_05995_001.01
IgCmd_SdlFast_IgCoilMng|1|VEMS_R_08_05995_001.01
IgCmd_SdlSlow_IgCoilMng|1|VEMS_R_08_05995_001.01
IGCOILMNG_vidEnable|1|VEMS_R_11_03142_001.01
IgSys_EveCkSnOn_IgCoilMng|1|VEMS_R_08_05995_001.01
Icd_ratio_energy_map_2|0|VEMS_R_08_05995_001.01
SenAct_tIGBTAcqHyst_C|0|VEMS_R_08_05995_001.01
SenAct_tIGBTAcqMax_C|0|VEMS_R_08_05995_001.01
IGCOILMNG_vidIcdRatioEnergy|1|PTS_R_6668934_002.01
