Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CH_INJ_1_GDI||HEADER|1|0|0|CH_INJ_1_GDI|0|0|Phys|-||||Divers|Divers||CH_INJ_1_GDI||3||||||||0|1|||0|0|0|0||0|||||0|
CH_INJ_2_GDI||HEADER|1|0|0|CH_INJ_2_GDI|0|0|Phys|-||||Divers|Divers||CH_INJ_2_GDI||3||||||||0|1|||1|0|0|0||0|||||0|
CH_INJ_3_GDI||HEADER|1|0|0|CH_INJ_3_GDI|0|0|Phys|-||||Divers|Divers||CH_INJ_3_GDI||3||||||||0|1|||2|0|0|0||0|||||0|
CH_INJ_4_GDI|uint8|HEADER|1|0|0|CH_INJ_4_GDI|0|0|Phys|-|||||||CH_INJ_4_GDI||3||||||||0|1|||3|0|0|0||0|||||0|
Coupure_inj_ess_1|boolean|HEADER|1|0|0|Coupure_inj_ess_1||0|Phys|bool|2|0||Injection|Injection||Coupure_inj_ess_1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coupure_inj_ess_2|boolean|HEADER|1|0|0|Coupure_inj_ess_2||0|Phys|bool|2|0||Injection|Injection||Coupure_inj_ess_2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coupure_inj_ess_3|boolean|HEADER|1|0|0|Coupure_inj_ess_3||0|Phys|bool|2|0||Injection|Injection||Coupure_inj_ess_3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coupure_inj_ess_4|boolean|HEADER|1|0|0|Coupure_inj_ess_4|0|0|Phys|bool|2|0||Injection|Injection||Coupure_inj_ess_4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coupure_inj_ess_appl|uint8|INJCMD|0|0|0|Coupure_inj_ess_appl|0|0|Phys|-|1|1|0|Injection|Injection||Coupure_inj_ess_appl||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Dena_oc_Inj1Cmd|boolean|INJCMD|1|0|0|Dena_oc_Inj1Cmd|0|0|Phys|bool|2|0||Injection|Injection||Dena_oc_Inj1Cmd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
