Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
DGOHAL_bfRead|C|(argin uint8 u8Channel)DGOHAL_tbfStatus;|1|HEADER|1|NONE||||0|0|0|0|Return the bfStatus of the udtChannel|
Inj_EveCkOff_InjCmd|B|();|SCH.2|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Evènement de sortie de cranking|
Inj_EveCkSnOf_InjCmd|D|();|SCH.3|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Evénement  d'appel  de  tâche  "synchro  perdue"  du  CMM  (à  la  perte  de  synchro  et  au  calage)|
Inj_EveCrTR_InjCmd|E|();|SCH.6|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Evénement CRANKING vers RUNNING|
Inj_EveInj_InjCmd|C|();|SCH.8|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Tâche INJ pour la commande injection|
Inj_EveKOf_InjCmd|D|();|SCH.5|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Evènement associé au passage de clef ON à clef OFF|
Inj_EveRst_InjCmd|D|();|SCH.1|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Evénement reset du calculateur|
Inj_EveSpl_InjCmd|C|();|SCH.10|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Evénement "Spill"|
Inj_EveStTCr_InjCmd|F|();|SCH.7|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Evénement correspondant au passage à 1 de la variable Moteur_tournant|
Inj_EveSyncNotAccu_InjCmd|C|();|SCH.4|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Evénement indiquant le passage en synchronisation non précise du moteur|
Inj_SdlFast_InjCmd|F|();|SCH.9|INJCMD|1|PTS_DOC_6886136||||0|0|0|0|Moniteur rapide pour la commande des injecteurs|
INJCMD_vidDiagnosticInjecteur1|E|();|FCT2.2|INJCMD|0|PTS_DOC_6886136||||0|0|0|0|Diagnostique du premier injecteur|
INJCMD_vidDiagnosticInjecteur2|E|();|FCT2.3|INJCMD|0|PTS_DOC_6886136||||0|0|0|0|Diagnostique du deuxième injecteur|
INJCMD_vidDiagnosticInjecteur3|E|();|FCT2.4|INJCMD|0|PTS_DOC_6886136||||0|0|0|0|Diagnostique du troisième injecteur|
INJCMD_vidDiagnosticInjecteur4|D|();|FCT2.5|INJCMD|0|PTS_DOC_6886136||||0|0|0|0|Diagnostique du quatrième injecteur|
INJCMD_vidDisableDriver|C|();|FCT3.3|INJCMD|0|PTS_DOC_6886136||||0|0|0|0|Cela permettra sa réactivation au redépart suivant,  l’autorisation étant faite sur le passage des états véhicule de VS_STALL à VS_CRANKING.|
