Name|Type|Requirement
Inj_bInhInjr1|1|VEMS_E_10_01613_002.01
Inj_bInhInjr1|1|VEMS_E_10_01613_003.01
Inj_bInhInjr1|1|VEMS_E_10_01613_004.01
Inj_bInhInjr2|1|VEMS_E_10_01613_002.01
Inj_bInhInjr2|1|VEMS_E_10_01613_003.01
Inj_bInhInjr3|1|VEMS_E_10_01613_004.01
Inj_bInhInjr2|0|VEMS_E_10_01613_004.01
Inj_bInhInjr3|0|VEMS_E_10_01613_002.01
Inj_bInhInjr3|0|VEMS_E_10_01613_003.01
Inj_bInhInjr4|1|VEMS_E_10_01613_002.01
Inj_bInhInjr4|1|VEMS_E_10_01613_003.01
Inj_bInhInjr4|1|VEMS_E_10_01613_004.01
Inhibe_reactualisation_t_inj|1|VEMS_E_10_01613_002.01
Inhibe_reactualisation_t_inj|1|VEMS_E_10_01613_003.01
Inhibe_reactualisation_t_inj|1|VEMS_E_10_01613_004.01
InjSys_ModeInjection_C|1|VEMS_E_10_01613_002.01
InjSys_ModeInjection_C|1|VEMS_E_10_01613_003.01
InjSys_ModeInjection_C|1|VEMS_E_10_01613_004.01
InjSys_nInjPhaOfs_C|1|VEMS_E_10_01613_002.01
InjSys_nInjPhaOfs_C|1|VEMS_E_10_01613_003.01
InjSys_nInjPhaOfs_C|1|VEMS_E_10_01613_004.01
Manu_coupure_inj_1|1|VEMS_E_10_01613_002.01
Manu_coupure_inj_1|1|VEMS_E_10_01613_003.01
Manu_coupure_inj_1|1|VEMS_E_10_01613_004.01
Manu_coupure_inj_2|1|VEMS_E_10_01613_002.01
Manu_coupure_inj_2|1|VEMS_E_10_01613_003.01
Manu_coupure_inj_2|1|VEMS_E_10_01613_004.01
Manu_coupure_inj_3|1|VEMS_E_10_01613_002.01
Manu_coupure_inj_3|1|VEMS_E_10_01613_003.01
Manu_coupure_inj_3|1|VEMS_E_10_01613_004.01
Manu_coupure_inj_4|1|VEMS_E_10_01613_002.01
Manu_coupure_inj_4|1|VEMS_E_10_01613_003.01
Inj_EveCkOff_InjCmd|1|VEMS_E_10_01613_002.01
Inj_EveCkOff_InjCmd|1|VEMS_E_10_01613_003.01
Inj_EveCkOff_InjCmd|1|VEMS_E_10_01613_004.01
Inj_EveCkSnOf_InjCmd|1|VEMS_E_10_01613_002.01
Inj_EveCkSnOf_InjCmd|1|VEMS_E_10_01613_003.01
Inj_EveCkSnOf_InjCmd|1|VEMS_E_10_01613_004.01
Inj_EveRTSt_InjCmd|1|VEMS_E_10_01613_002.01
Inj_EveRTSt_InjCmd|1|VEMS_E_10_01613_003.01
Inj_EveRTSt_InjCmd|1|VEMS_E_10_01613_004.01
Manu_coupure_inj_4|1|VEMS_E_10_01613_004.01
Dena_oc_Inj1Cmd|0|VEMS_E_10_01613_002.01
Dena_oc_Inj1Cmd|0|VEMS_E_10_01613_003.01
Dena_oc_Inj1Cmd|0|VEMS_E_10_01613_004.01
Dena_oc_Inj2Cmd|0|VEMS_E_10_01613_002.01
Dena_oc_Inj2Cmd|0|VEMS_E_10_01613_003.01
Dena_oc_Inj2Cmd|0|VEMS_E_10_01613_004.01
Dena_oc_Inj3Cmd|0|VEMS_E_10_01613_002.01
Dena_oc_Inj3Cmd|0|VEMS_E_10_01613_003.01
Dena_oc_Inj3Cmd|0|VEMS_E_10_01613_004.01
Dena_oc_Inj4Cmd|0|VEMS_E_10_01613_002.01
Inj_EveCrTR_InjCmd|1|VEMS_E_10_01613_002.01
Inj_EveCrTR_InjCmd|1|VEMS_E_10_01613_003.01
Inj_EveCrTR_InjCmd|1|VEMS_E_10_01613_004.01
Inj_EveInj_InjCmd|1|VEMS_E_10_01613_002.01
