Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Acq_angle_arret_moteur|uint16|LAYERSYNC|1|0|0|Acq_angle_arret_moteur|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acq_angle_arret_moteur||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_angle_arret_moteur_redem|uint16|LAYERSYNC|1|0|0|Acq_angle_arret_moteur_redem|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acq_angle_arret_moteur_redem||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_angle_moteur|uint16|LAYERSYNC|1|0|0|Acq_angle_moteur|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acq_angle_moteur||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_av_dernie_tps_int_dent_vileb|uint32|LAYERSYNC|1|0|0|Acq_av_dernie_tps_int_dent_vileb|0|0|Phys|s|1|1/10000000|0|Divers|Divers||Acq_av_dernie_tps_int_dent_vileb||1||||||||0|1||||1|0|0||0|0|4294967295|0|429.4967295|0
Acq_dernier_tps_inter_dent_vileb|uint32|LAYERSYNC|1|0|0|Acq_dernier_tps_inter_dent_vileb|0|0|Phys|s|1|1/10000000|0|Divers|Divers||Acq_dernier_tps_inter_dent_vileb||1||||||||0|1||||1|0|0||0|0|4294967295|0|429.4967295|0
Acq_excam_sync_status_upvb0|boolean|LAYERSYNC|1|0|0|Acq_excam_sync_status_upvb0|0|0|Phys|bool|2|0||Divers|Divers||Acq_excam_sync_status_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_excam_sync_upvb0|boolean|LAYERSYNC|1|0|0|Acq_excam_sync_upvb0|0|0|Phys|bool|2|0||Divers|Divers||Acq_excam_sync_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_excam_tooth_det_upvb0|boolean|LAYERSYNC|1|0|0|Acq_excam_tooth_det_upvb0|0|0|Phys|bool|2|0||Divers|Divers||Acq_excam_tooth_det_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_excam_tooth_det_vld_upvb0|boolean|LAYERSYNC|1|0|0|Acq_excam_tooth_det_vld_upvb0|0|0|Phys|bool|2|0||Divers|Divers||Acq_excam_tooth_det_vld_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_incam_sync_status_upvb0|boolean|LAYERSYNC|1|0|0|Acq_incam_sync_status_upvb0|0|0|Phys|bool|2|0||Divers|Divers||Acq_incam_sync_status_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_incam_sync_upvb0|boolean|LAYERSYNC|1|0|0|Acq_incam_sync_upvb0|0|0|Phys|bool|2|0||Divers|Divers||Acq_incam_sync_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_incam_tooth_det_upvb0|boolean|LAYERSYNC|1|0|0|Acq_incam_tooth_det_upvb0|0|0|Phys|bool|2|0||Divers|Divers||Acq_incam_tooth_det_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_incam_tooth_det_vld_upvb0|boolean|LAYERSYNC|1|0|0|Acq_incam_tooth_det_vld_upvb0|0|0|Phys|bool|2|0||Divers|Divers||Acq_incam_tooth_det_vld_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_pos_ang_lors_synchro|uint16|LAYERSYNC|1|0|0|Acq_pos_ang_lors_synchro|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acq_pos_ang_lors_synchro||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_pos_ang_moteur_front_aac_adm|uint16|LAYERSYNC|1|0|0|Acq_pos_ang_moteur_front_aac_adm|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acq_pos_ang_moteur_front_aac_adm||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_pos_ang_moteur_front_aac_ech|uint16|LAYERSYNC|1|0|0|Acq_pos_ang_moteur_front_aac_ech|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acq_pos_ang_moteur_front_aac_ech||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_pos_ang_red_mot_frnt_aac_ech|uint16|LAYERSYNC|1|0|0|Acq_pos_ang_red_mot_frnt_aac_ech|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acq_pos_ang_red_mot_frnt_aac_ech||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_pos_ang_red_mot_frt_aac_adm|uint16|LAYERSYNC|1|0|0|Acq_pos_ang_red_mot_frt_aac_adm|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acq_pos_ang_red_mot_frt_aac_adm||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acq_position_anglaire_moteur|boolean|LAYERSYNC|1|0|0|Acq_position_anglaire_moteur|0|0|Phys|bool|2|0||Divers|Divers||Acq_position_anglaire_moteur||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_sens_rotation_moteur|boolean|LAYERSYNC|1|0|0|Acq_sens_rotation_moteur|0|0|Phys|bool|2|0||Divers|Divers||Acq_sens_rotation_moteur||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_statut_pos_angulaire_moteur|boolean|LAYERSYNC|1|0|0|Acq_statut_pos_angulaire_moteur|0|0|Phys|bool|2|0||Divers|Divers||Acq_statut_pos_angulaire_moteur||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acq_tooth_compteur|uint8|LAYERSYNC|1|0|0|Acq_tooth_compteur|0|0|Phys|s.u.|1|1|0|Divers|Divers||Acq_tooth_compteur||1||||||||0|1||||1|0|0||0|0|255|0|255|0
Acqui_angle_crankshaft|uint16|LAYERSYNC|1|0|0|Acqui_angle_crankshaft|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acqui_angle_crankshaft||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acqui_compteur_de_pmh|uint8|LAYERSYNC|1|0|0|Acqui_compteur_de_pmh|0|0|Phys|PMH|1|1|0|Divers|Divers||Acqui_compteur_de_pmh||1||||||||0|1||||1|0|0||0|0|3|0|3|0
Acqui_duree_dent|uint32|LAYERSYNC|1|0|0|Acqui_duree_dent|0|0|Phys|ms|1|0.0001|0|Divers|Divers||Acqui_duree_dent||1||||||||0|1||||1|0|0||0|0|4294967295|0|429496.7295|0
Acqui_periode_moteur|uint32|LAYERSYNC|1|0|0|Acqui_periode_moteur|0|0|Phys|ms|1|0.0002|0|Divers|Divers||Acqui_periode_moteur||1||||||||0|1||||1|0|0||0|0|4294967295|0|858993.459|0
Acquisition_angle_vilb_aac_adm|uint16|LAYERSYNC|1|0|0|Acquisition_angle_vilb_aac_adm|0|0|Phys|°Crk|1|1/64|0|Divers|Divers||Acquisition_angle_vilb_aac_adm||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acquisition_angle_vilb_aac_ech|uint16|LAYERSYNC|1|0|0|Acquisition_angle_vilb_aac_ech|0|0|Phys|°Vil|1|1/64|0|Divers|Divers||Acquisition_angle_vilb_aac_ech||1||||||||0|1||||1|0|0||0|0|46079|0|719.984375|0
Acquisition_etat_aac_adm|boolean|LAYERSYNC|1|0|0|Acquisition_etat_aac_adm|0|0|Phys|bool|2|0||Divers|Divers||Acquisition_etat_aac_adm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acquisition_etat_aac_ech|boolean|LAYERSYNC|1|0|0|Acquisition_etat_aac_ech|0|0|Phys|bool|2|0||Divers|Divers||Acquisition_etat_aac_ech||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Acquisition_temps_dents_aac_adm|uint32|LAYERSYNC|1|0|0|Acquisition_temps_dents_aac_adm|0|0|Phys|ns|1|200|0|Divers|Divers||Acquisition_temps_dents_aac_adm||1||||||||0|1||||1|0|0||0|0|4294967295|0|858993459000|0
Acquisition_temps_dents_aac_ech|uint32|LAYERSYNC|1|0|0|Acquisition_temps_dents_aac_ech|0|0|Phys|ns|1|200|0|Divers|Divers||Acquisition_temps_dents_aac_ech||1||||||||0|1||||1|0|0||0|0|4294967295|0|858993459000|0
