Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
ACCmd_bInhAntiStall|boolean|IFRTE|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_3490.value|0|0|Phys|-|1|1|0|IFRTE|IFRTE||ACCmd_bInhAntiStall||1||||||||0|1||||1|0|0||0|0|1|||0
ACCmd_nAntiStall|uint16|IFRTE|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_1941.value|0|0|Phys|-|1|0.25|0.0|IFRTE|IFRTE||ACCmd_nAntiStall||1||||||||0|1||||1|0|0||0|0|65535|0|8000|0
ACCmd_stReq|uint8|IFRTE|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_948.value|0|0|Phys|-|1|1|0|IFRTE|IFRTE||ACCmd_stReq||1||||||||0|1||||1|0|0||0|0|255|1|4|0
AC_bACClu|boolean|HEADER|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_3782.value|0|0|Phys|-|1|1|0|HEADER|HEADER||AC_bACClu||1||||||||0|1||||1|0|0||0|0|1|||0
AC_bOpFSFReq|boolean|HEADER|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_3651.value|0|0|Phys|-|1|1|0|HEADER|HEADER||AC_bOpFSFReq||1||||||||0|1||||1|0|0||0|0|1|||0
AC_pwrAC|uint8|HEADER|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_3783.value|0|0|Phys|-|1|25.0|0.0|HEADER|HEADER||AC_pwrAC||1||||||||0|1||||1|0|0||0|0|255|0|6350|0
AC_rSpdFanReq|uint8|HEADER|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_3652.value|0|0|Phys|-|1|1.0|0.0|HEADER|HEADER||AC_rSpdFanReq||1||||||||0|1||||1|0|0||0|0|255|0|110|0
AFAMgt_bAcvAdpRstDiag|boolean|IFRTE|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_409.value|0|0|Phys|-|1|1.0|0.0|IFRTE|IFRTE||AFAMgt_bAcvAdpRstDiag||1||||||||0|1||||1|0|0||0|0|1|||0
AFAMgt_bAdpClcRstReq|boolean|IFRTE|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_2133.value|0|0|Phys|-|1|1.0|0.0|IFRTE|IFRTE||AFAMgt_bAdpClcRstReq||1||||||||0|1||||1|0|0||0|0|1|||0
AFAMgt_bAdpEfcReq|boolean|IFRTE|1|1|1|Rte_SwcBDS_Application_Core1.Rte_ReceiveBuffer_2134.value|0|0|Phys|-|1|1.0|0.0|IFRTE|IFRTE||AFAMgt_bAdpEfcReq||1||||||||0|1||||1|0|0||0|0|1|||0
