Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Cf_cooling_fan_equipment|st45|HEADER|1|0|0|Cf_cooling_fan_equipment|0|0|Phys|etat|4|||Cf|Cf||Cf_cooling_fan_equipment||1||||||||0|1||||1|0|0||0|||||0
Code_test_action|uint8|HEADER|1|0|0|Code_test_action|0|0|Phys|-|1|1|0|CoFan|CoFan||Code_test_action||1||||||||0|1||||1|0|0||0|0|255|0|255|0
CODE_TEST_B1FAN|uint8|COFANACTEST|1|0|0|CODE_TEST_B1FAN|0|0|Phys|-|||||||CODE_TEST_B1FAN||3||||||||0|1|||87|0|0|0||0|||||0
CODE_TEST_B2FANHISPD|uint8|HEADER|1|0|0|CODE_TEST_B2FANHISPD|0|0|Phys|-|||||||CODE_TEST_B2FANHISPD||3||||||||0|1|||89|0|0|0||0|||||0
CODE_TEST_B2FANLOSPD|uint8|HEADER|1|0|0|CODE_TEST_B2FANLOSPD|0|0|Phys|-|||||||CODE_TEST_B2FANLOSPD||3||||||||0|1|||88|0|0|0||0|||||0
CODE_TEST_CFAN|uint8|COFANACTEST|1|0|0|CODE_TEST_CFAN|0|0|Phys|-|||||||CODE_TEST_CFAN||3||||||||0|1|||90|0|0|0||0|||||0
COFAN_BACTRTST_B1END|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|3|Phys|-|2|3||CoFan|CoFan||COFAN_BACTRTST_B1END||1||||||||0|1|||3|0|0|0||0|||||0
COFAN_BACTRTST_B1PRGS|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|2|Phys|-|2|2||CoFan|CoFan||COFAN_BACTRTST_B1PRGS||1||||||||0|1|||2|0|0|0||0|||||0
COFAN_BACTRTST_B2HISPD1PRGS|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|6|Phys|-|2|6||CoFan|CoFan||COFAN_BACTRTST_B2HISPD1PRGS||1||||||||0|1|||6|0|0|0||0|||||0
COFAN_BACTRTST_B2HISPD2PRGS|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|7|Phys|-|2|7||CoFan|CoFan||COFAN_BACTRTST_B2HISPD2PRGS||1||||||||0|1|||7|0|0|0||0|||||0
COFAN_BACTRTST_B2HISPD3PRGS|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|8|Phys|-|2|8||CoFan|CoFan||COFAN_BACTRTST_B2HISPD3PRGS||1||||||||0|1|||8|0|0|0||0|||||0
COFAN_BACTRTST_B2HISPDEND|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|9|Phys|-|2|9||CoFan|CoFan||COFAN_BACTRTST_B2HISPDEND||1||||||||0|1|||9|0|0|0||0|||||0
COFAN_BACTRTST_B2LOSPDEND|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|5|Phys|-|2|5||CoFan|CoFan||COFAN_BACTRTST_B2LOSPDEND||1||||||||0|1|||5|0|0|0||0|||||0
COFAN_BACTRTST_B2LOSPDPRGS|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|4|Phys|-|2|4||CoFan|CoFan||COFAN_BACTRTST_B2LOSPDPRGS||1||||||||0|1|||4|0|0|0||0|||||0
COFAN_BACTRTST_END|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|10|Phys|-|2|10||CoFan|CoFan||COFAN_BACTRTST_END||1||||||||0|1|||10|0|0|0||0|||||0
COFAN_BACTRTST_IDLE|bool|COFANACTEST|0|0|0|CoFan_stBActrTst|0|1|Phys|-|2|1||CoFan|CoFan||COFAN_BACTRTST_IDLE||1||||||||0|1|||1|0|0|0||0|||||0
CoFan_bActrTstFan1BCmd|boolean|COFANACTEST|1|0|0|CoFan_bActrTstFan1BCmd|0|0|Phys|bool|2|0||CoFan|CoFan||CoFan_bActrTstFan1BCmd||1||||||||0|1||||1|0|0||0|0|1|0|1|0
