Name|Type|Requirement
COFANACTEST_vidGMVTstB|1|VEMS_R_09_00440_058.0
COFANACTEST_vidGMVTstRun|1|VEMS_R_09_00440_001.0
COFANACTEST_vidGMVTstRun|1|VEMS_R_09_00440_002.0
COFANACTEST_vidGMVTstRun|1|VEMS_R_09_00440_027.0
CoFan_bActrTstFan1BCmd|0|VEMS_R_09_00440_001.0
CoFan_bActrTstFan1BCmd|0|VEMS_R_09_00440_002.0
CoFan_bActrTstFan1BCmd|0|VEMS_R_09_00440_027.0
CoFan_bActrTstFan2Cmd|0|VEMS_R_09_00440_001.0
CoFan_bActrTstFan2Cmd|0|VEMS_R_09_00440_002.0
CoFan_bActrTstFan2Cmd|0|VEMS_R_09_00440_027.0
CoFan_bActrTstInProgs|0|VEMS_R_09_00440_001.0
CoFan_bActrTstInProgs|0|VEMS_R_09_00440_002.0
CoFan_bActrTstInProgs|0|VEMS_R_09_00440_027.0
CoFan_bB1TstCmpl|0|VEMS_R_09_00440_001.0
CoFan_bB1TstCmpl|0|VEMS_R_09_00440_002.0
CoFan_bB1TstCmpl|0|VEMS_R_09_00440_027.0
CoFan_bB2HiSpdTstCmpl|0|VEMS_R_09_00440_001.0
CoFan_bB2HiSpdTstCmpl|0|VEMS_R_09_00440_002.0
CoFan_bB2HiSpdTstCmpl|0|VEMS_R_09_00440_027.0
CoFan_bB2LoSpdTstCmpl|0|VEMS_R_09_00440_001.0
CoFan_bB2LoSpdTstCmpl|0|VEMS_R_09_00440_002.0
CoFan_bB2LoSpdTstCmpl|0|VEMS_R_09_00440_027.0
CoFan_bCTstCmpl|0|VEMS_R_09_00440_001.0
CoFan_bCTstCmpl|0|VEMS_R_09_00440_002.0
CoFan_bCTstCmpl|0|VEMS_R_09_00440_027.0
CoFan_rActrTstFan1CCmd|0|VEMS_R_09_00440_001.0
CoFan_rActrTstFan1CCmd|0|VEMS_R_09_00440_002.0
CoFan_rActrTstFan1CCmd|0|VEMS_R_09_00440_027.0
CoFan_CFricMaxSpd_C|0|VEMS_R_09_00440_001.0
CoFan_CFricMaxSpd_C|0|VEMS_R_09_00440_002.0
CoFan_CFricMaxSpd_C|0|VEMS_R_09_00440_027.0
CoFan_CFricMinSpd_C|0|VEMS_R_09_00440_001.0
CoFan_CFricMinSpd_C|0|VEMS_R_09_00440_002.0
CoFan_CFricMinSpd_C|0|VEMS_R_09_00440_027.0
CoFan_LoStFan1_C|0|VEMS_R_09_00440_001.0
CoFan_LoStFan1_C|0|VEMS_R_09_00440_002.0
CoFan_LoStFan1_C|0|VEMS_R_09_00440_027.0
CoFan_TiStep1_C|0|VEMS_R_09_00440_001.0
CoFan_TiStep1_C|0|VEMS_R_09_00440_002.0
CoFan_TiStep1_C|0|VEMS_R_09_00440_027.0
CoFan_TiStep2_C|0|VEMS_R_09_00440_001.0
CoFan_TiStep2_C|0|VEMS_R_09_00440_002.0
CoFan_TiStep2_C|0|VEMS_R_09_00440_027.0
CoFan_TiStep3_C|0|VEMS_R_09_00440_001.0
CoFan_TiStep3_C|0|VEMS_R_09_00440_002.0
CoFan_TiStep3_C|0|VEMS_R_09_00440_027.0
CoFan_TiStep4_C|0|VEMS_R_09_00440_001.0
CoFan_TiStep4_C|0|VEMS_R_09_00440_002.0
CoFan_TiStep4_C|0|VEMS_R_09_00440_027.0
CoFan_TiTstB1_C|0|VEMS_R_09_00440_001.0
CoFan_TiTstB1_C|0|VEMS_R_09_00440_002.0
CoFan_TiTstB1_C|0|VEMS_R_09_00440_027.0
CoFan_TiTstB2HiSpd1_C|0|VEMS_R_09_00440_001.0
CoFan_TiTstB2HiSpd1_C|0|VEMS_R_09_00440_002.0
CoFan_TiTstB2HiSpd1_C|0|VEMS_R_09_00440_027.0
CoFan_TiTstB2HiSpd2_C|0|VEMS_R_09_00440_001.0
CoFan_TiTstB2HiSpd2_C|0|VEMS_R_09_00440_002.0
CoFan_TiTstB2HiSpd2_C|0|VEMS_R_09_00440_027.0
CoFan_TiTstB2HiSpd3_C|0|VEMS_R_09_00440_001.0
CoFan_TiTstB2HiSpd3_C|0|VEMS_R_09_00440_002.0
CoFan_TiTstB2HiSpd3_C|0|VEMS_R_09_00440_027.0
CoFan_TiTstB2LoSpd_C|0|VEMS_R_09_00440_001.0
CoFan_TiTstB2LoSpd_C|0|VEMS_R_09_00440_002.0
CoFan_TiTstB2LoSpd_C|0|VEMS_R_09_00440_027.0
CoFan_EveRst_ActrTstGMV|1|VEMS_R_09_00440_001.0
CoFan_EveRst_ActrTstGMV|1|VEMS_R_09_00440_002.0
CoFan_EveRst_ActrTstGMV|1|VEMS_R_09_00440_027.0
CoFan_SdlMid_ActrTstGMV|1|VEMS_R_09_00440_001.0
CoFan_SdlMid_ActrTstGMV|1|VEMS_R_09_00440_002.0
CoFan_SdlMid_ActrTstGMV|1|VEMS_R_09_00440_027.0
COFANACTEST_vidGMVTstC|1|VEMS_R_09_00440_059.0
COFANACTEST_vidGMVTstC|1|VEMS_R_09_00440_060.0
COFANACTEST_vidGMVTstB|1|VEMS_R_09_00440_052.0
COFANACTEST_vidGMVTstB|1|VEMS_R_09_00440_053.0
COFANACTEST_vidGMVTstB|1|VEMS_R_09_00440_055.0
COFANACTEST_vidGMVTstB|1|VEMS_R_09_00440_056.0
COFANACTEST_vidGMVTstB|1|VEMS_R_09_00440_057.0
CoFan_bCFricFan2End_C|0|VEMS_R_09_00440_001.0
CoFan_bCFricFan2End_C|0|VEMS_R_09_00440_002.0
CoFan_bCFricFan2End_C|0|VEMS_R_09_00440_027.0
CoFan_bCFricFan2Idle_C|0|VEMS_R_09_00440_001.0
CoFan_bCFricFan2Idle_C|0|VEMS_R_09_00440_002.0
CoFan_bCFricFan2Idle_C|0|VEMS_R_09_00440_027.0
CoFan_bCFricFan2Step1_C|0|VEMS_R_09_00440_001.0
