Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AC_bACClu|boolean|HEADER|1|0|0|AC_bACClu|0|0|Phys|bool|2|0||Can|Can||AC_bACClu||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AC_pwrAC|uint8|HEADER|1|0|0|AC_pwrAC|0|0|Phys|W|1|25|0|Can|Can||AC_pwrAC||1||||||||0|1||||1|0|0||0|0|254|0|6350|0|
COHCAN_bAC_bACClu_prev|boolean|COHCAN|0|0|0|COHCAN_bAC_bACClu_prev|0|0|Phys|bool|2|0||Communication|Communication||COHCAN_bAC_bACClu_prev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
COHCAN_bTimeOut|boolean|COHCAN|0|0|0|COHCAN_bTimeOut|0|0|Phys|bool|2|0||Communication|Communication||COHCAN_bTimeOut||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
COHCAN_bTimerInit_prev|boolean|COHCAN|0|0|0|COHCAN_bTimerInit_prev|0|0|Phys|bool|2|0||Communication|Communication||COHCAN_bTimerInit_prev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
COHCAN_u8Inhib|uint8|COHCAN|0|0|0|COHCAN_u8Inhib|0|0|Hexa|-||||Communication|Communication||COHCAN_u8Inhib||2|||||||V02 NT 12 00919|1|1||||1|0|0|Calibration d'inhibition du module COHCAN|0|0|255|0|255|0|
CoPTSt_stEng|uint8|HEADER|1|0|0|CoPTSt_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stEng||1||||||||0|1||||1|0|0||0|1|15|1|15|0|
CoRegVeh_stDftOBD|uint8|HEADER|1|0|0|CoRegVeh_stDftOBD|0|0|Phys|-|1|1|0|Can|Can||CoRegVeh_stDftOBD||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Engine_Running|uint8|HEADER|1|0|0|Engine_Running|0|0|Phys|-|||||||Engine_Running||3||||||||0|1|||5|0|0|0||0|||||0|
