Name|Type|Requirement
Can_EveRxn7F2_FHCanF7F2|1|VEMS_R_12_00919_006.01
Can_EveRxn7F2_FHCanF7F2|1|VEMS_R_12_00919_001.01
Can_EveRxn7F2_FHCanF7F2|1|VEMS_R_12_00919_002.01
Can_EveRxn7F2_FHCanF7F2|1|VEMS_R_12_00919_003.01
Can_EveRxn7F2_FHCanF7F2|1|VEMS_R_12_00919_004.01
Can_EveRxn7F2_FHCanF7F2|1|VEMS_R_12_00919_005.01
Can_EveRxn5B2_FHCanF5B2|1|VEMS_R_12_00919_006.01
Can_EveRxn5B2_FHCanF5B2|1|VEMS_R_12_00919_001.01
Can_EveRxn5B2_FHCanF5B2|1|VEMS_R_12_00919_002.01
Can_EveRxn5B2_FHCanF5B2|1|VEMS_R_12_00919_003.01
Can_EveRxn5B2_FHCanF5B2|1|VEMS_R_12_00919_004.01
Can_EveRxn5B2_FHCanF5B2|1|VEMS_R_12_00919_005.01
Can_EveRxn572_FHCanF572|1|VEMS_R_12_00919_006.01
Can_EveRxn572_FHCanF572|1|VEMS_R_12_00919_001.01
Can_EveRxn572_FHCanF572|1|VEMS_R_12_00919_002.01
Can_EveRxn572_FHCanF572|1|VEMS_R_12_00919_003.01
Can_EveRxn572_FHCanF572|1|VEMS_R_12_00919_004.01
Can_EveRxn572_FHCanF572|1|VEMS_R_12_00919_005.01
Can_EveRxn412_FHCanF412|1|VEMS_R_12_00919_006.01
Can_EveRxn412_FHCanF412|1|VEMS_R_12_00919_001.01
Can_EveRxn412_FHCanF412|1|VEMS_R_12_00919_002.01
Can_EveRxn412_FHCanF412|1|VEMS_R_12_00919_003.01
Can_EveRxn412_FHCanF412|1|VEMS_R_12_00919_004.01
Can_EveRxn412_FHCanF412|1|VEMS_R_12_00919_005.01
Can_EveRxn50E_FHCanF50E|1|VEMS_R_12_00919_006.01
Ext_tiACClu_C|0|VEMS_R_12_00919_006.01
Ext_tiACClu_C|0|VEMS_R_12_00919_002.01
Ext_tiACClu_C|0|VEMS_R_12_00919_004.01
Ext_tiACClu_C|0|VEMS_R_12_00919_005.01
Ext_tiACClu_C|0|VEMS_R_12_00919_001.02
Ext_tiACClu_C|0|VEMS_R_12_00919_003.02
Can_EveRxn412_CohCan|1|VEMS_R_12_00919_001.02
Can_EveRxn412_CohCan|1|VEMS_R_12_00919_002.01
Can_EveRxn412_CohCan|1|VEMS_R_12_00919_003.02
Can_EveRxn412_CohCan|1|VEMS_R_12_00919_004.01
Can_EveRxn412_CohCan|1|VEMS_R_12_00919_005.01
Can_EveRxn50E_FHCanF50E|1|VEMS_R_12_00919_001.01
Can_EveRxn50E_FHCanF50E|1|VEMS_R_12_00919_002.01
Can_EveRxn50E_FHCanF50E|1|VEMS_R_12_00919_003.01
Can_EveRxn50E_FHCanF50E|1|VEMS_R_12_00919_004.01
Can_EveRxn50E_FHCanF50E|1|VEMS_R_12_00919_005.01
Can_EveRxn412_CohCan|1|VEMS_R_12_00919_006.01
Can_EveRxn50E_CohCan|1|VEMS_R_12_00919_001.02
Can_EveRxn50E_CohCan|1|VEMS_R_12_00919_002.01
Can_EveRxn50E_CohCan|1|VEMS_R_12_00919_003.02
Can_EveRxn50E_CohCan|1|VEMS_R_12_00919_004.01
Can_EveRxn50E_CohCan|1|VEMS_R_12_00919_005.01
Can_EveRxn50E_CohCan|1|VEMS_R_12_00919_006.01
Can_EveRxn572_CohCan|1|VEMS_R_12_00919_001.02
Can_EveRxn572_CohCan|1|VEMS_R_12_00919_002.01
Can_EveRxn572_CohCan|1|VEMS_R_12_00919_003.02
Can_EveRxn572_CohCan|1|VEMS_R_12_00919_004.01
Can_EveRxn572_CohCan|1|VEMS_R_12_00919_005.01
Can_EveRxn572_CohCan|1|VEMS_R_12_00919_006.01
Can_EveRxn5B2_CohCan|1|VEMS_R_12_00919_001.02
Can_EveRxn5B2_CohCan|1|VEMS_R_12_00919_002.01
Can_EveRxn5B2_CohCan|1|VEMS_R_12_00919_003.02
Can_EveRxn5B2_CohCan|1|VEMS_R_12_00919_004.01
Can_EveRxn5B2_CohCan|1|VEMS_R_12_00919_005.01
Can_EveRxn5B2_CohCan|1|VEMS_R_12_00919_006.01
Can_EveRxn7F2_CohCan|1|VEMS_R_12_00919_001.02
Can_EveRxn7F2_CohCan|1|VEMS_R_12_00919_002.01
Can_EveRxn7F2_CohCan|1|VEMS_R_12_00919_003.02
Can_EveRxn7F2_CohCan|1|VEMS_R_12_00919_004.01
Can_EveRxn7F2_CohCan|1|VEMS_R_12_00919_005.01
Can_EveRxn7F2_CohCan|1|VEMS_R_12_00919_006.01
COHCAN_vidEntryInit|1|VEMS_R_12_00919_001.02
COHCAN_vidEntryInit|1|VEMS_R_12_00919_002.01
COHCAN_vidEntryInit|1|VEMS_R_12_00919_003.02
COHCAN_vidEntryInit|1|VEMS_R_12_00919_004.01
COHCAN_vidEntryInit|1|VEMS_R_12_00919_005.01
COHCAN_vidEntryInit|1|VEMS_R_12_00919_006.01
