Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Ctrl_ELECTRON_BSI_092|boolean|HEADER|1|0|0|Ctrl_ELECTRON_BSI_092|0|0|Phys|bool|2|0||FHCAN|FHCAN||Ctrl_ELECTRON_BSI_092||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ctrl_bElIntgDiag|boolean|HEADER|1|0|0|Ctrl_bElIntgDiag|0|0|Phys|bool|2|0||FHCAN|FHCAN||Ctrl_bElIntgDiag||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_bElIntgDiag|boolean|ISFHCAN|1|0|0|Ext_bElIntgDiag|0|0|Phys|bool|2|0||FHCAN|FHCAN||Ext_bElIntgDiag||1||||||||0|1||||1|0|0||0|0|1|0|1|0
ISCAN_bF092P895|boolean|ISFHCAN|0|0|0|ISCAN_bF092P895|0|0|Phys|bool|2|0||FHCAN|FHCAN||ISCAN_bF092P895||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ctrl_bElIntgDiagMod|boolean|HEADER|1|0|0|Ctrl_bElIntgDiagMod|0|0|Phys|bool|2|0||FHCAN|FHCAN||Ctrl_bElIntgDiagMod||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_bElIntgDiagMod|boolean|ISFHCAN|1|0|0|Ext_bElIntgDiagMod|0|0|Phys|bool|2|0||FHCAN|FHCAN||Ext_bElIntgDiagMod||1||||||||0|1||||1|0|0||0|0|1|0|1|0
ISCAN_bF092P928|boolean|ISFHCAN|0|0|0|ISCAN_bF092P928|0|0|Phys|bool|2|0||FHCAN|FHCAN||ISCAN_bF092P928||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ctrl_bDelDftReq|boolean|HEADER|1|0|0|Ctrl_bDelDftReq|0|0|Phys|bool|2|0||FHCAN|FHCAN||Ctrl_bDelDftReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_bDelDftReq|boolean|ISFHCAN|1|0|0|Ext_bDelDftReq|0|0|Phys|bool|2|0||FHCAN|FHCAN||Ext_bDelDftReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0
ISCAN_bF092P896|boolean|ISFHCAN|0|0|0|ISCAN_bF092P896|0|0|Phys|bool|2|0||FHCAN|FHCAN||ISCAN_bF092P896||1||||||||0|1||||1|0|0||0|0|1|0|1|0
