Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Cc_acc_regulation_type|boolean|CRSCTLBSITREAT|0|0|0|Cc_acc_regulation_type|0|0|Phys|bool|2|0||Divers|Divers||Cc_acc_regulation_type||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cc_acc_regulation_type_mux|boolean|HEADER|1|0|0|Cc_acc_regulation_type_mux|0|0|Phys|bool|2|0||Can|Can||Cc_acc_regulation_type_mux||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cc_coh_internal_checksum|uint8|CRSCTLBSITREAT|0|0|0|Cc_coh_internal_checksum|0|0|Phys|-|1|1|0|Divers|Divers||Cc_coh_internal_checksum||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Cc_limitation_speed_on|boolean|CRSCTLBSITREAT|0|0|0|Cc_limitation_speed_on|0|0|Phys|bool|2|0||Divers|Divers||Cc_limitation_speed_on||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cc_limitation_speed_on_mux|boolean|HEADER|1|0|0|Cc_limitation_speed_on_mux|0|0|Phys|bool|2|0||Can|Can||Cc_limitation_speed_on_mux||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cc_regulation_speed_on|boolean|CRSCTLBSITREAT|0|0|0|Cc_regulation_speed_on|0|0|Phys|bool|2|0||Divers|Divers||Cc_regulation_speed_on||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cc_regulation_speed_on_mux|boolean|HEADER|1|0|0|Cc_regulation_speed_on_mux|0|0|Phys|bool|2|0||Can|Can||Cc_regulation_speed_on_mux||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CrsCtl_ACC_activated|boolean|CRSCTLBSITREAT|0|0|0|CrsCtl_ACC_activated|0|0|Phys|bool|2|0||Divers|Divers||CrsCtl_ACC_activated||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CrsCtl_ACC_selected|boolean|CRSCTLBSITREAT|0|0|0|CrsCtl_ACC_selected|0|0|Phys|bool|2|0||Divers|Divers||CrsCtl_ACC_selected||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CrsCtl_LVV_activated|boolean|CRSCTLBSITREAT|0|0|0|CrsCtl_LVV_activated|0|0|Phys|bool|2|0||Divers|Divers||CrsCtl_LVV_activated||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CrsCtl_LVV_selected|boolean|CRSCTLBSITREAT|0|0|0|CrsCtl_LVV_selected|0|0|Phys|bool|2|0||Divers|Divers||CrsCtl_LVV_selected||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CrsCtl_Off|boolean|CRSCTLBSITREAT|0|0|0|CrsCtl_Off|0|0|Phys|bool|2|0||Divers|Divers||CrsCtl_Off||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CrsCtl_RVV_activated|boolean|CRSCTLBSITREAT|0|0|0|CrsCtl_RVV_activated|0|0|Phys|bool|2|0||Divers|Divers||CrsCtl_RVV_activated||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CrsCtl_RVV_selected|boolean|CRSCTLBSITREAT|0|0|0|CrsCtl_RVV_selected|0|0|Phys|bool|2|0||Divers|Divers||CrsCtl_RVV_selected||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CRSCTLBSITREAT_u8Inhib|uint8|CRSCTLBSITREAT|0|0|0|CRSCTLBSITREAT_u8Inhib|0|0|Hexa|-||||Divers|Divers||CRSCTLBSITREAT_u8Inhib||2|||||||PTS_DOC_5206188|1|1||||1|0|0|Calibration d'inhibation de la mise à jour des variables produites par la spec.|0|0|255|0|255|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Diag_on|boolean|HEADER|1|0|0|Diag_on|0|0|Phys|bool|2|0||Can|Can||Diag_on||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EcuSt_stTypRst|uint8|HEADER|1|0|0|EcuSt_stTypRst|0|0|Déci|-||||EcuSt|EcuSt||EcuSt_stTypRst||1||||||||0|1||||1|0|0||0|||||0|
Ext_bKeyOff|boolean|HEADER|1|0|0|Ext_bKeyOff|0|0|Phys|bool|2|0||EcuSt|EcuSt||Ext_bKeyOff||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bVSLimCf|boolean|HEADER|1|0|0|Ext_bVSLimCf|0|0|Phys|bool|2|0||Cf|Cf||Ext_bVSLimCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bVSLimReq|boolean|HEADER|1|0|0|Ext_bVSLimReq|0|0|Phys|bool|2|0||CAN|CAN||Ext_bVSLimReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bVSLimReq_2|boolean|CRSCTLBSITREAT|0|0|0|Ext_bVSLimReq_2|0|0|Phys|bool|2|0||Divers|Divers||Ext_bVSLimReq_2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bVSLimReqMem|boolean|CRSCTLBSITREAT|0|0|0|Ext_bVSLimReqMem|0|0|Phys|bool|2|0||Divers|Divers||Ext_bVSLimReqMem||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bVSRegCf|boolean|HEADER|1|0|0|Ext_bVSRegCf|0|0|Phys|bool|2|0||Cf|Cf||Ext_bVSRegCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bVSRegDVSRegReq|boolean|HEADER|1|0|0|Ext_bVSRegDVSRegReq|0|0|Phys|bool|2|0||Can|Can||Ext_bVSRegDVSRegReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bVSRegDVSRegReq_2|boolean|CRSCTLBSITREAT|0|0|0|Ext_bVSRegDVSRegReq_2|0|0|Phys|bool|2|0||Divers|Divers||Ext_bVSRegDVSRegReq_2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bVSRegDVSRegReqMem|boolean|CRSCTLBSITREAT|0|0|0|Ext_bVSRegDVSRegReqMem|0|0|Phys|bool|2|0||Divers|Divers||Ext_bVSRegDVSRegReqMem||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_ctBSIFrame|uint8|HEADER|1|0|0|Ext_ctBSIFrame|0|0|Phys|-|1|1|0|Can|Can||Ext_ctBSIFrame||1||||||||0|1||||1|0|0||0|0|15|0|15|0|
Ext_ctBSIFrameMem|uint8|CRSCTLBSITREAT|0|0|0|Ext_ctBSIFrameMem|0|0|Phys|-|1|1|0|Divers|Divers||Ext_ctBSIFrameMem||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_SpdVehBVVMax_C|uint8|HEADER|1|0|0|Ext_SpdVehBVVMax_C|0|0|Phys|Km/h|1|1|0|Divers|Divers||Ext_SpdVehBVVMax_C||2|||||||NONE|1|1||||1|0|0||0|0|255|0|255|0|
Ext_SpdVehBVVMin_C|uint8|HEADER|1|0|0|Ext_SpdVehBVVMin_C|0|0|Phys|Km/h|1|1|0|Divers|Divers||Ext_SpdVehBVVMin_C||2|||||||NONE|1|1||||1|0|0||0|0|255|0|255|0|
Ext_spdVehReqVSLimMem|uint8|CRSCTLBSITREAT|0|0|0|Ext_spdVehReqVSLimMem|0|0|Phys|Km/h|1|1|0|Divers|Divers||Ext_spdVehReqVSLimMem||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_spdVehReqVSRegMem|uint8|CRSCTLBSITREAT|0|0|0|Ext_spdVehReqVSRegMem|0|0|Phys|Km/h|1|1|0|Divers|Divers||Ext_spdVehReqVSRegMem||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_spdVehVSCtlReq|uint8|HEADER|1|0|0|Ext_spdVehVSCtlReq|0|0|Phys|Km/h|1|1|0|Can|Can||Ext_spdVehVSCtlReq||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_spdVehVSCtlReq_2|uint8|CRSCTLBSITREAT|0|0|0|Ext_spdVehVSCtlReq_2|0|0|Phys|Km/h|1|1|0|Divers|Divers||Ext_spdVehVSCtlReq_2||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_spdVehVSLimReq|uint8|CRSCTLBSITREAT|1|0|0|Ext_spdVehVSLimReq|0|0|Phys|Km/h|1|1|0|Divers|Divers||Ext_spdVehVSLimReq||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_spdVehVSMaxPrmaReq1|uint8|HEADER|1|0|0|Ext_spdVehVSMaxPrmaReq1|0|0|Phys|Km/h|1|1|0|Cf|Cf||Ext_spdVehVSMaxPrmaReq1||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_spdVehVSMaxPrmaReq2|uint8|HEADER|1|0|0|Ext_spdVehVSMaxPrmaReq2|0|0|Phys|Km/h|1|1|0|Cf|Cf||Ext_spdVehVSMaxPrmaReq2||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_spdVehVSRegReq|uint8|CRSCTLBSITREAT|1|0|0|Ext_spdVehVSRegReq|0|0|Phys|Km/h|1|1|0|Divers|Divers||Ext_spdVehVSRegReq||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ext_stAcvRegVSCtlReq|uint8|CRSCTLBSITREAT|1|0|0|Ext_stAcvRegVSCtlReq|0|0|Phys|-|1|1|0|Divers|Divers||Ext_stAcvRegVSCtlReq||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
Ext_stVSCtlReq|uint8|HEADER|1|0|0|Ext_stVSCtlReq|0|0|Phys|-|1|1|0|Can|Can||Ext_stVSCtlReq||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
Ext_stVSCtlReq_2|uint8|CRSCTLBSITREAT|0|0|0|Ext_stVSCtlReq_2|0|0|Phys|-|1|1|0|Divers|Divers||Ext_stVSCtlReq_2||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
