Name|Type|Requirement
Cc_rvv_lvv_compteur_nbr_inc_max|0|VEMS_R_09_03342_001.01
Cc_rvv_lvv_compteur_nbr_inc_min|0|VEMS_R_09_03342_001.01
CrsCtl_noDecBsiFraCntEv_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDecBsiFraCntZero_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDif1NegRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDif1PosRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDif2NegRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDif2PosRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDif3NegRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDif3PosRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDif4NegRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDif4PosRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDifNegLimSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noDifPosLimSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noIncBsiFraCntEv_C|0|VEMS_R_09_03342_001.01
CrsCtl_noIncBsiFraCntZero_C|0|VEMS_R_09_03342_001.01
CrsCtl_noThdBsiFraCntEv_C|0|VEMS_R_09_03342_001.01
CrsCtl_noThdBsiFraCntZero_C|0|VEMS_R_09_03342_001.01
CrsCtl_noThdMaxLimSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noThdMaxRegSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noThdMinLimSpdSp_C|0|VEMS_R_09_03342_001.01
CrsCtl_noThdMinRegSpdSp_C|0|VEMS_R_09_03342_001.01
CRSCTLBSITREAT_BsiFraCnt|1|VEMS_R_09_03342_003.01
CRSCTLBSITREAT_CksCoh|1|VEMS_R_09_03342_007.01
CRSCTLBSITREAT_DiagEna|1|VEMS_R_09_03342_002.01
CRSCTLBSITREAT_LimSpdSpCoh|1|VEMS_R_09_03342_005.01
