Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
ActrTstCstr_CumulTime|uint16|CSTRACTEST|0|0|0|ActrTstCstr_CumulTime|0|0|Phys|s|1|Cstr_SampleTiMid_SC/1000|0|Cstr|Cstr||ActrTstCstr_CumulTime||1||||||||0|1||||1|0|0||0|0|500|0|50|0
ActrTstCstr_IntTime|uint8|CSTRACTEST|0|0|0|ActrTstCstr_IntTime|0|0|Phys|s|1|Cstr_SampleTiMid_SC/1000|0|Cstr|Cstr||ActrTstCstr_IntTime||1||||||||0|1||||1|0|0||0|0|250|0|25|0
ActrTstCstr_OffTime|uint8|CSTRACTEST|1|0|0|ActrTstCstr_OffTime|0|0|Phys|s|1|Cstr_SampleTiMid_SC/1000|0|Cstr|Cstr||ActrTstCstr_OffTime||2|||||||V02 NT 09 00924|1|1||||1|0|0|Durée de consigne nulle pour le test actionneur|0|0|250|0|25|0
ActrTstCstr_OnTime|uint8|CSTRACTEST|1|0|0|ActrTstCstr_OnTime|0|0|Phys|s|1|Cstr_SampleTiMid_SC/1000|0|Cstr|Cstr||ActrTstCstr_OnTime||2|||||||V02 NT 09 00924|1|1||||1|0|0|Durée des implusions du test actionneur|0|0|250|0|25|0
ActrTstCstr_Tempo|uint16|CSTRACTEST|0|0|0|ActrTstCstr_Tempo|0|0|Phys|s|1|Cstr_SampleTiMid_SC/1000|0|Cstr|Cstr||ActrTstCstr_Tempo||1||||||||0|1||||1|0|0||0|0|500|0|50|0
ActrTstCstr_Tempo_C|uint16|CSTRACTEST|1|0|0|ActrTstCstr_Tempo_C|0|0|Phys|s|1|Cstr_SampleTiMid_SC/1000|0|Cstr|Cstr||ActrTstCstr_Tempo_C||2|||||||V02 NT 09 00924|1|1||||1|0|0|Valeur initiale de la temporisation qui retarde le passage à l'état Idle|0|0|500|0|50|0
ActrTstCstr_TotTime|uint16|CSTRACTEST|1|0|0|ActrTstCstr_TotTime|0|0|Phys|s|1|Cstr_SampleTiMid_SC/1000|0|Cstr|Cstr||ActrTstCstr_TotTime||2|||||||V02 NT 09 00924|1|1||||1|0|0|Durée totale du test actionneur|0|0|500|0|50|0
Code_test_action|uint8|HEADER|1|0|0|Code_test_action|0|0|Phys|-|1|1|0|Cstr|Cstr||Code_test_action||1||||||||0|1||||1|0|0||0|0|255|0|255|0
CODE_TEST_PURGE|uint8|HEADER|1|0|0|CODE_TEST_PURGE|0|0|Phys|-||||Cstr|Cstr||CODE_TEST_PURGE||3||||||||0|1|||97|0|0|0||0|||||0
CSTR_ACTRTEST_END|bool|CSTRACTEST|0|0|0|Cstr_stActrTst|0|1|Phys|-|2|1||Cstr|Cstr||CSTR_ACTRTEST_END||1||||||||0|1||||1|0|0||0|||||0
CSTR_ACTRTEST_IDLE|bool|CSTRACTEST|0|0|0|Cstr_stActrTst|0|2|Phys|-|2|2||Cstr|Cstr||CSTR_ACTRTEST_IDLE||1||||||||0|1||||1|0|0||0|||||0
CSTR_ACTRTEST_MAX|bool|CSTRACTEST|0|0|0|Cstr_stActrTst|0|3|Phys|-|2|3||Cstr|Cstr||CSTR_ACTRTEST_MAX||1||||||||0|1||||1|0|0||0|||||0
CSTR_ACTRTEST_MIN|bool|CSTRACTEST|0|0|0|Cstr_stActrTst|0|4|Phys|-|2|4||Cstr|Cstr||CSTR_ACTRTEST_MIN||1||||||||0|1||||1|0|0||0|||||0
Cstr_bPurgTstCmpl|boolean|CSTRACTEST|1|0|0|Cstr_bPurgTstCmpl|0|0|Phys|bool|2|0||Cstr|Cstr||Cstr_bPurgTstCmpl||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Cstr_bPwrRlyCmd|boolean|CSTRACTEST|1|0|0|Cstr_bPwrRlyCmd|0|0|Phys|bool|2|0||Cstr|Cstr||Cstr_bPwrRlyCmd||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Cstr_rSpPosnActrTst|uint8|CSTRACTEST|1|0|0|Cstr_rSpPosnActrTst|0|0|Phys|%|1|100/256|0|Cstr|Cstr||Cstr_rSpPosnActrTst||1||||||||0|1||||1|0|0||0|0|255|0|99.609375|0
Cstr_SampleTiMid_SC|uint8|CSTRACTEST|1|0|0|Cstr_SampleTiMid_SC|0|0|Phys|-|||||||Cstr_SampleTiMid_SC||3||||||||0|1|||100|0|0|0||0|||||0
Cstr_stActrTst|st54|CSTRACTEST|0|0|0|Cstr_stActrTst|0|0|Phys|etat|4|||Cstr|Cstr||Cstr_stActrTst||1||||||||0|1||||1|0|0||0|0|4|0|4|0
CSTRACTEST_u8Inhib|uint8|CSTRACTEST|1|0|0|CSTRACTEST_u8Inhib|0|0|Hexa|-||||Cstr|Cstr||CSTRACTEST_u8Inhib||2|||||||V02 NT 09 00924|1|1||||1|0|0|Calibration d'inhibition du module CSTRACTEST|0|0|255|0|255|0
Srv_bActrTstEna|boolean|HEADER|1|0|0|Srv_bActrTstEna|0|0|Phys|bool|2|0||Cstr|Cstr||Srv_bActrTstEna||1||||||||0|1||||1|0|0||0|0|1|0|1|0
