Name|Type|Requirement
Bsi_pwm_period_in_thresh_cpc|0|VEMS_R_08_02741_683.01
Bsi_pwm_period_in_thresh_cpc|0|VEMS_R_08_02741_685.01
Bsi_pwm_period_in_thresh_cpc|0|VEMS_R_08_02741_688.01
Bsi_pwm_period_out_thresh_cpc|0|VEMS_R_08_02741_683.01
Bsi_pwm_period_out_thresh_cpc|0|VEMS_R_08_02741_685.01
Bsi_pwm_period_out_thresh_cpc|0|VEMS_R_08_02741_688.01
CSTREVCMD_vidDiag|1|VEMS_R_09_01860_004.01
CSTREVCMD_vidDiag|1|VEMS_R_09_01860_005.01
CSTREVCMD_vidDiagCPValve|1|VEMS_R_09_01860_001.01
Bsi_pwm_frequency_hi_cpc|0|VEMS_R_09_01860_001.01
Bsi_pwm_frequency_hi_cpc|0|VEMS_R_09_01860_002.01
Bsi_pwm_frequency_hi_cpc|0|VEMS_R_09_01860_003.01
Bsi_pwm_frequency_lo_cpc|0|VEMS_R_09_01860_001.01
Bsi_pwm_frequency_lo_cpc|0|VEMS_R_09_01860_002.01
Bsi_pwm_frequency_lo_cpc|0|VEMS_R_09_01860_003.01
rco_second_frequency_max|0|VEMS_R_09_01860_001.01
rco_second_frequency_max|0|VEMS_R_09_01860_002.01
rco_second_frequency_max|0|VEMS_R_09_01860_003.01
rco_second_frequency_max_hys|0|VEMS_R_09_01860_001.01
rco_second_frequency_max_hys|0|VEMS_R_09_01860_002.01
rco_second_frequency_max_hys|0|VEMS_R_09_01860_003.01
rco_second_frequency_min|0|VEMS_R_09_01860_001.01
rco_second_frequency_min|0|VEMS_R_09_01860_002.01
rco_second_frequency_min|0|VEMS_R_09_01860_003.01
rco_second_frequency_min_hys|0|VEMS_R_09_01860_001.01
Cstr_EveRst_CstrCmd|1|VEMS_R_09_01860_001.01
Cstr_EveRst_CstrCmd|1|VEMS_R_09_01860_002.01
Cstr_EveRst_CstrCmd|1|VEMS_R_09_01860_003.01
Cstr_SdlFast_CstrCmd|1|VEMS_R_09_01860_001.01
Cstr_SdlFast_CstrCmd|1|VEMS_R_09_01860_002.01
Cstr_SdlFast_CstrCmd|1|VEMS_R_09_01860_003.01
Cstr_SdlMid_CstrCmd|1|VEMS_R_09_01860_001.01
Cstr_SdlMid_CstrCmd|1|VEMS_R_09_01860_002.01
Cstr_SdlMid_CstrCmd|1|VEMS_R_09_01860_003.01
CSTREVCMD_vidDiagCPValve|1|VEMS_R_09_01860_002.01
CSTREVCMD_vidDiagCPValve|1|VEMS_R_09_01860_003.01
CSTREVCMD_vidInitOutput|1|VEMS_R_09_01860_001.01
CSTREVCMD_vidInitOutput|1|VEMS_R_09_01860_002.01
CSTREVCMD_vidInitOutput|1|VEMS_R_09_01860_003.01
CSTRCMD_vidDiagCPValve|1|VEMS_R_09_01860_001.01
CSTRCMD_vidDiagCPValve|1|VEMS_R_09_01860_002.01
CSTRCMD_vidDiagCPValve|1|VEMS_R_09_01860_003.01
rco_second_frequency_min_hys|0|VEMS_R_09_01860_002.01
rco_second_frequency_min_hys|0|VEMS_R_09_01860_003.01
Cstr_CtlCstrReq_DrvMax_C|0|VEMS_R_09_01860_001.01
Cstr_CtlCstrReq_DrvMax_C|0|VEMS_R_09_01860_002.01
Cstr_CtlCstrReq_DrvMax_C|0|VEMS_R_09_01860_003.01
Cstr_CtlCstrReq_DrvMin_C|0|VEMS_R_09_01860_001.01
Cstr_CtlCstrReq_DrvMin_C|0|VEMS_R_09_01860_002.01
Cstr_CtlCstrReq_DrvMin_C|0|VEMS_R_09_01860_003.01
Ext_bAcv_Cnstr_rCtlBattCor_C|0|VEMS_R_09_01860_001.01
Ext_bAcv_Cnstr_rCtlBattCor_C|0|VEMS_R_09_01860_002.01
Ext_bAcv_Cnstr_rCtlBattCor_C|0|VEMS_R_09_01860_003.01
CSTRCMD_vidCmd|1|VEMS_E_09_01860_006.01
CSTRCMD_vidDiag|1|VEMS_R_09_01860_004.01
CSTRCMD_vidDiag|1|VEMS_R_09_01860_005.01
