Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Av_dr_ralenti_purge|uint8|CSTREFCRED|1|0|0|Av_dr_ralenti_purge|0|0|Phys|%|1|0.125|0|divers|divers||Av_dr_ralenti_purge||1||||||||0|1||||1|0|0||0|0|255|0|31.875|0
Av_dr_ralenti_purge_bkpt_map|uint8|CSTREFCRED|1|1|9|Av_dr_ralenti_purge_bkpt_map|0|0|Phys|%|1|100/256|0|divers|divers||Av_dr_ralenti_purge_bkpt_map||2||Cpc_fuel_vapour_conc_finale||D256||Av_dr_ralenti_purge_bkpt_map|V02 NT 09 01759|1|1||||1|0|0|Table d'appui en concentration de vapeurs d'essence dans le canister.|0|0|255|0|99.609375|0
Av_dr_ralenti_purge_inc_dec|uint16|CSTREFCRED|1|0|0|Av_dr_ralenti_purge_inc_dec|0|0|Phys|%|1|0.1|0|divers|divers||Av_dr_ralenti_purge_inc_dec||2|||||||V02 NT 09 01759|1|1||||1|0|0|Pente maximale de variation de la dégradation de rendement.|0|0|1000|0|100|0
Av_dr_ralenti_purge_map|uint16|CSTREFCRED|1|1|9|Av_dr_ralenti_purge_map|0|0|Phys|%|1|0.1|0|DIVERS|DIVERS||Av_dr_ralenti_purge_map||2||Cpc_fuel_vapour_conc_finale||D256||Av_dr_ralenti_purge_bkpt_map|V02 NT 09 01759|1|1||||1|0|0|Table de dégradation de rendement /concentration d'essence + erreur|0|0|1000|0|100|0
Av_dr_ralenti_purge_raw|uint16|CSTREFCRED|0|0|0|Av_dr_ralenti_purge_raw|0|0|Phys|%|1|0.1|0|divers|divers||Av_dr_ralenti_purge_raw||1||||||||0|1||||1|0|0||0|0|1000|0|100|0
Av_dr_ralenti_purge_sp|uint16|CSTREFCRED|0|0|0|Av_dr_ralenti_purge_sp|0|0|Phys|%|1|0.1|0|divers|divers||Av_dr_ralenti_purge_sp||1||||||||0|1||||1|0|0||0|0|1000|0|100|0
CanPurg_bEngStopAuth|boolean|CSTREFCRED|1|0|0|CanPurg_bEngStopAuth|0|0|Phys|bool|2|0|0|divers|divers||CanPurg_bEngStopAuth||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CanPurg_bEngStopInh|boolean|CSTREFCRED|0|0|0|CanPurg_bEngStopInh|0|0|Phys|bool|2|0|0|divers|divers||CanPurg_bEngStopInh||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CanPurg_bTarIdlCanPurg|boolean|CSTREFCRED|1|0|0|CanPurg_bTarIdlCanPurg|0|0|Phys|bool|2|0|0|divers|divers||CanPurg_bTarIdlCanPurg||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CanPurg_ConcHiCanLdEngStopAllw|uint16|CSTREFCRED|0|0|0|CanPurg_ConcHiCanLdEngStopAllw|0|0|Phys|%|1|100/65536|0|divers|divers||CanPurg_ConcHiCanLdEngStopAllw||1||||||||0|1||||1|0|0||0|0|65535|0|99.9984741210938|0
