Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Atmospheric_pressure|uint16|HEADER|1|0|0|Atmospheric_pressure|0|0|Phys|kPa|1|0.008|0|Cf|Cf||Atmospheric_pressure||1||||||||0|1||||1|0|0||0|0|65535|0|524.28|0|
Cal_reset_fuel_vapour_conc|boolean|CSTRFUCONCESTIM|1|0|0|Cal_reset_fuel_vapour_conc|0|0|Phys|bool|2|0||Divers|Divers||Cal_reset_fuel_vapour_conc||2|||||||PTS_DOC_5066966|1|1||||1|0|0|Initialisation manuelle à la valeur par défaut de la concentration  en vapeur d'essence dans le canister.|0|0|1|0|1|0|
Cal_reset_fuel_vapour_conc_err|boolean|CSTRFUCONCESTIM|1|0|0|Cal_reset_fuel_vapour_conc_err|0|0|Phys|bool|2|0||Divers|Divers||Cal_reset_fuel_vapour_conc_err||2|||||||PTS_DOC_5066966|1|1||||1|0|0|Initialisation manuelle à la valeur par défaut de l'erreur sur la  concentration en vapeur d'essence dans le canister.|0|0|1|0|1|0|
CanPurg_bAcvBypconcFuStmErr_C|boolean|CSTRFUCONCESTIM|1|0|0|CanPurg_bAcvBypconcFuStmErr_C|0|0|Phys|bool|2|0||Divers|Divers||CanPurg_bAcvBypconcFuStmErr_C||2|||||||PTS_DOC_5066966|1|1||||1|0|0|Booléen d'activation du Bypass sur l'erreur commise sur l'estimateur de concentration de vapeur d'essence dans le canister.|0|0|1|0|1|0|
CanPurg_concFuStmErr|uint16|CSTRFUCONCESTIM|1|0|0|CanPurg_concFuStmErr|0|0|Phys|-|1|1/65536|0|Divers|Divers||CanPurg_concFuStmErr||1||||||||0|1||||1|0|0||0|0|65535|0|0.999984741210938|0|
CanPurg_concFuStmErr_BypC|uint16|CSTRFUCONCESTIM|1|0|0|CanPurg_concFuStmErr_BypC|0|0|Phys|-|1|1/65536|0|Divers|Divers||CanPurg_concFuStmErr_BypC||2|||||||PTS_DOC_5066966|1|1||||1|0|0|Erreur commise sur l'estimateur de concentration de vapeur d'essence dans le canister|0|0|65535|0|0.999984741210938|0|
CanPurg_concFuStmEstim|uint16|CSTRFUCONCESTIM|1|0|0|CanPurg_concFuStmEstim|0|0|Phys|-|1|1/65536|0|Divers|Divers||CanPurg_concFuStmEstim||1||||||||0|1||||1|0|0||0|0|65535|0|0.999984741210938|0|
CanPurg_ldGasFuCan|uint16|CSTRFUCONCESTIM|1|0|0|CanPurg_ldGasFuCan|0|0|Phys|%|1|0.01|0|Divers|Divers||CanPurg_ldGasFuCan||1||||||||0|1||||1|0|0||0|0|10000|0|100|0|
CanPurg_mfFuStmEstim|uint16|CSTRFUCONCESTIM|1|0|0|CanPurg_mfFuStmEstim|0|0|Phys|kg/s|1|1/1048576|0|Divers|Divers||CanPurg_mfFuStmEstim||1||||||||0|1||||1|0|0||0|0|65535|0|0.0624990463256836|0|
CanPurg_mFuEstim|uint16|CSTRFUCONCESTIM|1|0|0|CanPurg_mFuEstim|0|0|Phys|Kg|1|0.000558/65536|0|Divers|Divers||CanPurg_mFuEstim||1||||||||0|1||||1|0|0||0|0|65535|0|5.57991485595703E-04|0|
CanPurg_rAirPresPurgVlv|uint16|CSTRFUCONCESTIM|0|0|0|CanPurg_rAirPresPurgVlv|0|0|Phys|-|1|1/256|0|Cstr|Cstr||CanPurg_rAirPresPurgVlv||1||||||||0|1||||1|0|0||0|0|65535|0|255.99609375|0|
Conditions_for_feedback|boolean|HEADER|1|0|0|Conditions_for_feedback|0|0|Phys|bool|2|0||Inj/InjCtl|Inj/InjCtl||Conditions_for_feedback||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CPC_CONC_100_PERC|uint16|CSTRFUCONCESTIM|1|0|0|CPC_CONC_100_PERC|0|0|Phys|-||||Divers|Divers||CPC_CONC_100_PERC||3||||||||0|1|||65535|0|0|0||0|||||0|
