Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
Cstr_EveCrTR_FuConcEstim|E|();|SCH.1|CSTRFUCONCESTIM|1|PTS_DOC_5066966||||0|0|0|0|Evénement CRANKING vers RUNNING|
Cstr_EveRst_FuConcEstim|E|();|SCH.2|CSTRFUCONCESTIM|1|PTS_DOC_5066966||||0|0|0|0|Evénement reset du calculateur|
Cstr_SdlFast_FuConcEstim|E|();|SCH.3|CSTRFUCONCESTIM|1|PTS_DOC_5066966||||0|0|0|0|Moniteur rapide|
Cstr_SdlSlow_FuConcEstim|E|();|SCH.4|CSTRFUCONCESTIM|1|PTS_DOC_5066966||||0|0|0|0|Moniteur lent|
CSTRFUCONCESTIM_NVMSRV_vidInit|B|();|FCT1.8|CSTRFUCONCESTIM|1|PTS_DOC_5066966||||0|0|0|0|Initialisation des variables Eeprom.|
CSTRFUCONCESTIM_vidCllConc|C|();|FCT2.1|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction d'estimation  de  la  proportion  de  vapeurs  d'essence  dans  le mélange  gazeux issu de la purge canister et de détermination du pas d’incrémentation  de la concentration.|
CSTRFUCONCESTIM_vidCllConcEstim|C|();|FCT2.2|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction de régultion de la richesse.|
CSTRFUCONCESTIM_vidConcFuErr|G|();|FCT2.3|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction de calcul de l'erreur commise sur l'estimateur de concentration de vapeur  d'essence dans le canister en boucle fermée.|
CSTRFUCONCESTIM_vidConcFuEstim|C|();|FCT2.4|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction d' estimation  de  la  proportion  de  vapeurs  d'essence  dans  le mélange  gazeux issu de la purge canister.|
CSTRFUCONCESTIM_vidCrk2RunIni|C|();|FCT1.3|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction d'affectation des valeurs du calculateur lors d'un calage.|
CSTRFUCONCESTIM_vidEstimMng|I|();|FCT1.4|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction de supervision du calcul de l'estimateur.|
CSTRFUCONCESTIM_vidFuEstim|D|();|FCT1.5|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction de calcul de la concentartion en vapeur d'essence et du débit courant issus de la purge.|
CSTRFUCONCESTIM_vidInitialization|E|();|FCT1.1|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction d'initialisation au reset.|
CSTRFUCONCESTIM_vidOplConc|C|();|FCT1.6|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction de réinitialisation des estimations de le concentration en vapeurs d'essence dans le canister et de l'erreur sur la concentration en vapeurs d'essence dans le canister.|
CSTRFUCONCESTIM_vidOplConcEstim|C|();|FCT1.7|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction d'incrémentation à un pas calibrable de l'estimateur lors de la fermeture de la purge ou au débouclage du lambda feedback.|
CSTRFUCONCESTIM_vidOutIf|E|();|FCT2.5|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction de centralisation des renommages des variables de sortie.|
CSTRFUCONCESTIM_vidStallTi|C|();|FCT1.2|CSTRFUCONCESTIM|0|PTS_DOC_5066966||||0|0|0|0|Fonction agissant sur le compteur Cpc_init_after_stall_count selon l'état de VS.|
