Name|Type|Requirement
AC_bACPresAcq_C|0|VEMS_R_10_03182_001.01
AirPres_bAcvBrkAsiAcq|0|VEMS_R_10_03182_001.01
CTRLCFG_vidBrkUCFrame1|1|VEMS_R_10_03182_003.01
CoPTStHw_bEngRun_C|0|VEMS_R_10_03182_001.01
CoT_btCoAcq_C|0|VEMS_R_10_03182_001.01
Ctrl_ABR_38D|0|VEMS_R_10_03182_001.01
Ctrl_ABR_44D|0|VEMS_R_10_03182_001.01
Ctrl_ABR_50D|0|VEMS_R_10_03182_001.01
Ctrl_BSI_412|0|VEMS_R_10_03182_001.01
Ctrl_BSI_432|0|VEMS_R_10_03182_001.01
Ctrl_BSI_4F2|0|VEMS_R_10_03182_001.01
Ctrl_BSI_552|0|VEMS_R_10_03182_001.01
Ctrl_BSI_572|0|VEMS_R_10_03182_001.01
Ctrl_BSI_592|0|VEMS_R_10_03182_001.01
Ctrl_BSI_612|0|VEMS_R_10_03182_001.01
Ctrl_BSI_792|0|VEMS_R_10_03182_001.01
Ctrl_BSI_CMM_0A8|0|VEMS_R_10_03182_001.01
Ctrl_BlowBy1Hw|0|VEMS_R_10_03182_001.01
Ctrl_Acq_bNeut|0|VEMS_R_10_03182_001.01
Ctrl_CDS_34D|0|VEMS_R_10_03182_001.01
CoT_bAcv_TrbCoWaPmp_C|0|VEMS_R_10_03182_001.01
Ctrl_BSI_412_C|0|VEMS_R_10_03182_001.01
Ctrl_BSI_432_C|0|VEMS_R_10_03182_001.01
Ctrl_BSI_4F2_C|0|VEMS_R_10_03182_001.01
Ctrl_BSI_592_C|0|VEMS_R_10_03182_001.01
Ctrl_BSI_612_C|0|VEMS_R_10_03182_001.01
Ctrl_BSI_CMM_0A8_C|0|VEMS_R_10_03182_001.01
Cf_EveRst_CtrlCfg|1|VEMS_R_10_03182_001.01
Cf_SdlFast_CtrlCfg|1|VEMS_R_10_03182_001.01
CTRLCFG_vidBrkUCFrame|1|VEMS_R_10_03182_003.04
CTRLCFG_vidBrkUCFrame2|1|VEMS_R_10_03182_003.04
CTRLCFG_vidCluFrames|1|VEMS_R_10_03182_007.02
CTRLCFG_vidCtrlCfg|1|VEMS_R_10_03182_002.07
CTRLCFG_vidCtrlCfg2|1|VEMS_R_10_03182_002.07
Ctrl_CLIM_50E|0|VEMS_R_10_03182_001.01
CTRLCFG_vidBSIFrame2|1|VEMS_R_10_03182_005.05
Ctrl_bAvc_BlowBy1_C|0|VEMS_R_10_03182_001.01
Ctrl_bTreatAdHeatRly_C|0|VEMS_R_10_03182_001.01
Ctrl_CMMPropSnsrOnly_PTT|0|VEMS_R_10_03182_001.01
Ctrl_CMM_108|0|VEMS_R_10_03182_001.01
Ctrl_CMM_1E8|0|VEMS_R_10_03182_001.01
Ctrl_CMM_208|0|VEMS_R_10_03182_001.01
Ctrl_CMM_228|0|VEMS_R_10_03182_001.01
Ctrl_CMM_348|0|VEMS_R_10_03182_001.01
Ctrl_CMM_388|0|VEMS_R_10_03182_001.01
Ctrl_CMM_3B8|0|VEMS_R_10_03182_001.01
Ctrl_CMM_438|0|VEMS_R_10_03182_001.01
Ctrl_CMM_468|0|VEMS_R_10_03182_001.01
Ctrl_CMM_488|0|VEMS_R_10_03182_001.01
Ctrl_CMM_588|0|VEMS_R_10_03182_001.01
Ctrl_CMM_5F8|0|VEMS_R_10_03182_001.01
Ctrl_CMM_608|0|VEMS_R_10_03182_001.01
Ctrl_CMM_788|0|VEMS_R_10_03182_001.01
Ctrl_CMM_BV_2E8|0|VEMS_R_10_03182_001.01
Ctrl_CONTEXTE_1_5B2|0|VEMS_R_10_03182_001.01
Ctrl_CONTEXTE_1_7F2|0|VEMS_R_10_03182_001.01
Ctrl_CRASH_4C8|0|VEMS_R_10_03182_001.01
Ctrl_CtRstCurVehTmr_C|0|VEMS_R_10_03182_001.01
Ctrl_CtRstCurVehTmr|0|VEMS_R_10_03182_001.01
Ctrl_DAT_BSI_532|0|VEMS_R_10_03182_001.01
Ctrl_DIAG_ON_CAN_688|0|VEMS_R_10_03182_001.01
Ctrl_DIAG_ON_CAN_6A8|0|VEMS_R_10_03182_001.01
Ctrl_DIRA_495|0|VEMS_R_10_03182_001.01
Ctrl_DMTR_57C|0|VEMS_R_10_03182_001.01
Ctrl_CLIM_50E_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_108_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_208_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_228_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_348_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_468_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_488_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_588_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_608_C|0|VEMS_R_10_03182_001.01
Ctrl_CMM_788_C|0|VEMS_R_10_03182_001.01
Ctrl_CRASH_4C8_C|0|VEMS_R_10_03182_001.01
Ctrl_DIAG_ON_CAN_688_C|0|VEMS_R_10_03182_001.01
Ctrl_DIAG_ON_CAN_6A8_C|0|VEMS_R_10_03182_001.01
Ctrl_DMTR_57C_C|0|VEMS_R_10_03182_001.01
Ctrl_EAC_CMM_BSI_072|0|VEMS_R_10_03182_001.01
Ctrl_EAC_CMM_UCC_0E8|0|VEMS_R_10_03182_001.01
Ctrl_EASY_MOVE_3AD|0|VEMS_R_10_03182_001.01
Ctrl_ELECTRON_BSI_092|0|VEMS_R_10_03182_001.01
Ctrl_EOBD_ON_CAN_7DF|0|VEMS_R_10_03182_001.01
Ctrl_EOBD_ON_CAN_7E0|0|VEMS_R_10_03182_001.01
Ctrl_EOBD_ON_CAN_7E8|0|VEMS_R_10_03182_001.01
Ctrl_EOBD_ON_CAN_7ED|0|VEMS_R_10_03182_001.01
Ctrl_ESPPropSnsr_CMMPropSnsr|0|VEMS_R_10_03182_001.01
Ctrl_ESPPropSnsr_CMMSwt|0|VEMS_R_10_03182_001.01
Ctrl_FRE_30D|0|VEMS_R_10_03182_001.01
Ctrl_FRE_3CD|0|VEMS_R_10_03182_001.01
Ctrl_IS_VIN_VDS_BSI_492|0|VEMS_R_10_03182_001.01
Ctrl_IS_VIN_VIS_BSI_4B2|0|VEMS_R_10_03182_001.01
Ctrl_IS_VIN_WMI_BSI_4D2|0|VEMS_R_10_03182_001.01
Ctrl_JDD_CAN_BSI_772_C|0|VEMS_R_10_03182_001.01
Ctrl_JDD_CAN_BSI_772|0|VEMS_R_10_03182_001.01
Ctrl_JDD_CAN_CMM_768_C|0|VEMS_R_10_03182_001.01
Ctrl_JDD_CAN_CMM_768|0|VEMS_R_10_03182_001.01
Ctrl_NEW_JDD_55F|0|VEMS_R_10_03182_001.01
Ctrl_NEW_JDD_CMM_768|0|VEMS_R_10_03182_001.01
Ctrl_OUTIL_PRTCLE_CCP_7CC|0|VEMS_R_10_03182_001.01
Ctrl_OUTIL_PRTCLE_CCP_7CD|0|VEMS_R_10_03182_001.01
Ctrl_EAC_CMM_BSI_072_C|0|VEMS_R_10_03182_001.01
Ctrl_EAC_CMM_UCC_0E8_C|0|VEMS_R_10_03182_001.01
Ctrl_ELECTRON_BSI_092_C|0|VEMS_R_10_03182_001.01
Ctrl_EOBD_ON_CAN_7DF_C|0|VEMS_R_10_03182_001.01
Ctrl_EOBD_ON_CAN_7E0_C|0|VEMS_R_10_03182_001.01
Ctrl_EOBD_ON_CAN_7E8_C|0|VEMS_R_10_03182_001.01
Ctrl_EOBD_ON_CAN_7ED_C|0|VEMS_R_10_03182_001.01
Ctrl_IS_VIN_VDS_BSI_492_C|0|VEMS_R_10_03182_001.01
Ctrl_IS_VIN_VIS_BSI_4B2_C|0|VEMS_R_10_03182_001.01
Ctrl_IS_VIN_WMI_BSI_4D2_C|0|VEMS_R_10_03182_001.01
Ctrl_OUTIL_PRTCLE_CCP_7CC_C|0|VEMS_R_10_03182_001.01
Ctrl_OUTIL_PRTCLE_CCP_7CD_C|0|VEMS_R_10_03182_001.01
Ctrl_OUTIL_PRTCLE_CCP_7CE_C|0|VEMS_R_10_03182_001.01
Ctrl_OUTIL_PRTCLE_CCP_7CE|0|VEMS_R_10_03182_001.01
Ctrl_OUTIL_PRTCLE_CCP_7CF|0|VEMS_R_10_03182_001.01
Ctrl_RQD_CMM_BSI_072|0|VEMS_R_10_03182_001.01
Ctrl_RQD_CMM_UCC_0E8|0|VEMS_R_10_03182_001.01
Ctrl_STT_BV_329|0|VEMS_R_10_03182_001.01
Ctrl_STT_CMM_3C8|0|VEMS_R_10_03182_001.01
Ctrl_SUPERV_SCDT_2C2_C|0|VEMS_R_10_03182_001.01
Ctrl_SUPERV_SCDT_2C2|0|VEMS_R_10_03182_001.01
Ctrl_SUSP_451_C|0|VEMS_R_10_03182_001.01
Ctrl_SUSP_451|0|VEMS_R_10_03182_001.01
Ctrl_SecBrkPedPrss|0|VEMS_R_10_03182_001.01
Ctrl_StRlyR3|0|VEMS_R_10_03182_001.01
Ctrl_UCC_CMM_0E0|0|VEMS_R_10_03182_001.01
Ctrl_UDS_ON_CAN_7FF|0|VEMS_R_10_03182_001.01
Ctrl_V2_BSI_552|0|VEMS_R_10_03182_001.01
Ctrl_V2_BVA_349|0|VEMS_R_10_03182_001.01
Ctrl_V2_BVMP_349|0|VEMS_R_10_03182_001.01
Ctrl_V2_BV_3C9|0|VEMS_R_10_03182_001.01
Ctrl_V2_BV_489|0|VEMS_R_10_03182_001.01
Ctrl_VDS_BSI_492|0|VEMS_R_10_03182_001.01
Ctrl_VIS_BSI_4B2|0|VEMS_R_10_03182_001.01
Ctrl_VOL_305|0|VEMS_R_10_03182_001.01
Ctrl_WMI_BSI_4D2|0|VEMS_R_10_03182_001.01
Ctrl_aLgtGearSen_C|0|VEMS_R_10_03182_001.01
Ctrl_aLgtGearSen|0|VEMS_R_10_03182_001.01
Ctrl_aVeh_C|0|VEMS_R_10_03182_001.01
Ctrl_aVeh|0|VEMS_R_10_03182_001.01
Ctrl_agStrWhl_C|0|VEMS_R_10_03182_001.01
Ctrl_agStrWhl|0|VEMS_R_10_03182_001.01
Ctrl_agvStrWhl_C|0|VEMS_R_10_03182_001.01
Ctrl_agvStrWhl|0|VEMS_R_10_03182_001.01
Ctrl_bABSReg_C|0|VEMS_R_10_03182_001.01
Ctrl_bABSReg|0|VEMS_R_10_03182_001.01
Ctrl_OUTIL_PRTCLE_CCP_7CF_C|0|VEMS_R_10_03182_001.01
Ctrl_RQD_CMM_BSI_072_C|0|VEMS_R_10_03182_001.01
Ctrl_RQD_CMM_UCC_0E8_C|0|VEMS_R_10_03182_001.01
Ctrl_SecBrkPedPrss_C|0|VEMS_R_10_03182_001.01
Ctrl_StRlyR3_C|0|VEMS_R_10_03182_001.01
Ctrl_UCC_CMM_0E0_C|0|VEMS_R_10_03182_001.01
Ctrl_bACClu|0|VEMS_R_10_03182_001.01
Ctrl_bACPresAcq|0|VEMS_R_10_03182_001.01
Ctrl_bAMTGearPubAuth_C|0|VEMS_R_10_03182_001.01
Ctrl_bAMTGearPubAuth|0|VEMS_R_10_03182_001.01
Ctrl_bASRReg_C|0|VEMS_R_10_03182_001.01
Ctrl_bASRReg|0|VEMS_R_10_03182_001.01
Ctrl_bAcvGlLi_C|0|VEMS_R_10_03182_001.01
Ctrl_bAcvGlLi|0|VEMS_R_10_03182_001.01
Ctrl_bAcvSftyWarn_C|0|VEMS_R_10_03182_001.01
Ctrl_bAcvSftyWarn|0|VEMS_R_10_03182_001.01
Ctrl_bAcvStaReq|0|VEMS_R_10_03182_001.01
Ctrl_bAcvSta|0|VEMS_R_10_03182_001.01
Ctrl_bAcv_EngMes|0|VEMS_R_10_03182_001.01
Ctrl_bAcv_FuTnkPmp|0|VEMS_R_10_03182_001.01
Ctrl_bAcv_HpPmp|0|VEMS_R_10_03182_001.01
Ctrl_bAcv_PFuAcq|0|VEMS_R_10_03182_001.01
Ctrl_bAcv_TrbCoWaPmp|0|VEMS_R_10_03182_001.01
Ctrl_bAcv_bModSptReq|0|VEMS_R_10_03182_001.01
