Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
DgoTest_bDgoAaStart_Bidon|boolean|DGOTEST|1|0|0|DgoTest_bDgoAaStart_Bidon|0|0|Phys|bool|2|0||DGOTEST|DGOTEST||DgoTest_bDgoAaStart_Bidon||1|||||||V02 NT 08 07048|0|1||||1|0|0||0|0|1|||0
DgoTest_bDgoAaStart_Bidon_C|boolean|DGOTEST|1|0|0|DgoTest_bDgoAaStart_Bidon_C|0|0|Phys|bool|2|0||DGOTEST|DGOTEST||DgoTest_bDgoAaStart_Bidon_C||2|||||||V02 NT 08 07048|1|1||||1|0|0||0|0|1|||0
DgoTest_bDgoZzEnd_Bidon|boolean|DGOTEST|1|0|0|DgoTest_bDgoZzEnd_Bidon|0|0|Phys|bool|2|0||DGOTEST|DGOTEST||DgoTest_bDgoZzEnd_Bidon||1|||||||V02 NT 08 07048|0|1||||1|0|0||0|0|1|||0
DgoTest_bDgoZzEnd_Bidon_C|boolean|DGOTEST|1|0|0|DgoTest_bDgoZzEnd_Bidon_C|0|0|Phys|bool|2|0||DGOTEST|DGOTEST||DgoTest_bDgoZzEnd_Bidon_C||2|||||||V02 NT 08 07048|1|1||||1|0|0||0|0|1|||0
DgoTest_bMonRunAaStart_Bidon|boolean|DGOTEST|1|0|0|DgoTest_bMonRunAaStart_Bidon|0|0|Phys|bool|2|0||DGOTEST|DGOTEST||DgoTest_bMonRunAaStart_Bidon||1|||||||V02 NT 08 07048|0|1||||1|0|0||0|0|1|||0
DgoTest_bMonRunAaStart_Bidon_C|boolean|DGOTEST|1|0|0|DgoTest_bMonRunAaStart_Bidon_C|0|0|Phys|bool|2|0||DGOTEST|DGOTEST||DgoTest_bMonRunAaStart_Bidon_C||2|||||||V02 NT 08 07048|1|1||||1|0|0||0|0|1|||0
DgoTest_bMonRunZzEnd_Bidon|boolean|DGOTEST|1|0|0|DgoTest_bMonRunZzEnd_Bidon|0|0|Phys|bool|2|0||DGOTEST|DGOTEST||DgoTest_bMonRunZzEnd_Bidon||1|||||||V02 NT 08 07048|0|1||||1|0|0||0|0|1|||0
DgoTest_bMonRunZzEnd_Bidon_C|boolean|DGOTEST|1|0|0|DgoTest_bMonRunZzEnd_Bidon_C|0|0|Phys|bool|2|0||DGOTEST|DGOTEST||DgoTest_bMonRunZzEnd_Bidon_C||2|||||||V02 NT 08 07048|1|1||||1|0|0||0|0|1|||0
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0
GD_DFT_NB|uint16|HEADER|1|0|0|GD_DFT_NB|0|0|Phys|-|||||||GD_DFT_NB||3||||||||0|1|||7|0|0|0||0|||||0
