Name|Type|Requirement
Brk_EveKOf_DiagBrkPed|1|VEMS_R_08_02741_499.01
DIAGBRKPED_vidAccelFailure|1|VEMS_R_08_02741_514.01
DIAGBRKPED_vidAccelFailure|1|VEMS_R_08_02741_515.01
DIAGBRKPED_vidAccelFailure|1|VEMS_R_08_02741_524.01
DIAGBRKPED_vidBrakeInfoTreatment|1|VEMS_R_08_02741_498.01
DIAGBRKPED_vidCoherenceControl|1|VEMS_R_08_02741_009.01
DIAGBRKPED_vidCoherenceControl|1|VEMS_R_08_02741_492.01
DIAGBRKPED_vidCoherenceControl|1|VEMS_R_08_02741_509.01
DIAGBRKPED_vidCoherenceControl|1|VEMS_R_08_02741_510.01
DIAGBRKPED_vidCoherenceControl|1|VEMS_R_08_02741_517.01
DIAGBRKPED_vidDecelFailure|1|VEMS_R_08_02741_513.01
DIAGBRKPED_vidDecelFailure|1|VEMS_R_08_02741_524.01
DIAGBRKPED_vidLogicAcquisition|1|VEMS_R_08_02741_500.01
DIAGBRKPED_vidLogicAcquisition|1|VEMS_R_08_02741_504.01
DIAGBRKPED_vidLogicAcquisition|1|VEMS_R_08_02741_507.01
DIAGBRKPED_vidReinitCohDef|1|VEMS_R_08_02741_512.01
DIAGBRKPED_vidResBpsBrakePedFilt|1|VEMS_R_08_02741_501.01
Bps_brake_pedal_input|0|VEMS_R_08_02741_498.01
Bps_brake_pedal_input|0|VEMS_R_08_02741_499.01
Bps_coh_diag_accel_delay|0|VEMS_R_08_02741_498.01
Bps_coh_diag_accel_delay|0|VEMS_R_08_02741_499.01
Bps_coh_diag_decel_delay|0|VEMS_R_08_02741_498.01
Bps_coh_diag_decel_delay|0|VEMS_R_08_02741_499.01
Bps_coh_diag_inval_delay|0|VEMS_R_08_02741_498.01
Bps_coh_diag_inval_delay|0|VEMS_R_08_02741_499.01
Bps_coh_seuil_accel|0|VEMS_R_08_02741_498.01
Bps_coh_seuil_accel|0|VEMS_R_08_02741_499.01
Bps_coh_seuil_decel|0|VEMS_R_08_02741_498.01
Bps_coh_seuil_decel|0|VEMS_R_08_02741_499.01
Bps_manu_inh_acqui_filaire|0|VEMS_R_08_02741_498.01
Bps_manu_inh_acqui_filaire|0|VEMS_R_08_02741_499.01
Bps_brake_inv_sensor|0|VEMS_R_08_04207_001.01
High_brake_thresh|0|VEMS_R_08_04207_001.01
Brk_EveRst_DiagBrkPed|1|VEMS_R_08_04207_001.01
Ext_bBrkPedPrss|0|VEMS_R_08_02741_498.01
Ext_bBrkPedPrss|0|VEMS_R_08_02741_499.01
Ext_bSecBrkPedPrssMes|0|VEMS_R_08_02741_498.01
Ext_bSecBrkPedPrssMes|0|VEMS_R_08_02741_499.01
DIAGBRKPED_vidDiagBrkPedMng|1|VEMS_R_08_02741_009.01
DIAGBRKPED_vidDiagBrkPedMng|1|VEMS_R_08_02741_492.01
DIAGBRKPED_vidDiagBrkPedMng|1|VEMS_R_08_02741_509.01
DIAGBRKPED_vidDiagBrkPedMng|1|VEMS_R_08_02741_510.01
DIAGBRKPED_vidDiagBrkPedMng|1|VEMS_R_08_02741_517.01
Bps_coh_diag_accel_delay|0|VEMS_R_08_04207_004.01
Bps_coh_diag_accel_delay|0|VEMS_R_08_04207_001.01
Bps_coh_diag_decel_delay|0|VEMS_R_08_04207_001.01
Bps_coh_diag_decel_delay|0|VEMS_R_08_04207_004.01
Bps_coh_diag_inval_delay|0|VEMS_R_08_04207_004.01
Bps_coh_diag_inval_delay|0|VEMS_R_08_04207_001.01
Bps_coh_seuil_decel|0|VEMS_R_08_04207_004.01
Bps_coh_seuil_decel|0|VEMS_R_08_04207_001.01
Bps_manu_inh_acqui_filaire|0|VEMS_R_08_04207_001.01
Bps_manu_inh_acqui_filaire|0|VEMS_R_08_04207_004.01
Bps_brake_pedal_input|0|VEMS_R_08_04207_004.01
Bps_coh_seuil_accel|0|VEMS_R_08_04207_001.01
Ext_bSecBrkPedPrssFilt|0|VEMS_R_08_04207_001.01
Ext_bSecBrkPedPrssRaw|0|VEMS_R_08_04207_001.01
Bps_coh_seuil_accel|0|VEMS_R_08_04207_004.01
Bps_brake_pedal_input|0|VEMS_R_08_04207_001.01
Ext_bBrkPedPrss|0|VEMS_R_08_04207_001.01
Ext_bBrkPedPrss|0|VEMS_R_08_04207_004.01
Ext_bSecBrkPedPrssMes|0|VEMS_R_08_04207_004.01
Ext_bSecBrkPedPrssMes|0|VEMS_R_08_04207_001.01
DIAGBRKPED_vidDiagBrkPedMng|1|VEMS_R_08_04207_007.01
Low_brake_thresh|0|VEMS_R_08_04207_001.01
Brk_SdlMid_DiagBrkPed|1|VEMS_R_08_04207_001.01
DIAGBRKPED_vidFilterAcqui|1|VEMS_R_08_04207_004.01
DIAGBRKPED_vidFilterAcqui|1|VEMS_R_08_04207_005.01
DIAGBRKPED_vidIni|1|VEMS_R_08_04207_002.01
DIAGBRKPED_vidLogicAcqui|1|VEMS_R_08_04207_003.01
