Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Acceleration_vehicule|uint8|HEADER|1|0|0|Acceleration_vehicule|0|0|Phys|m/s2|1|0.08|-14|Acquisitions|Acquisitions||Acceleration_vehicule||1||||||||0|1||||1|0|0||0|0|255|-14|6.4|0|
Bps_brake_pedal_can_hs|boolean|HEADER|1|0|0|Bps_brake_pedal_can_hs|0|0|Phys|bool|2|0||Communication|Communication||Bps_brake_pedal_can_hs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Bps_brake_pedal_can_input|boolean|HEADER|1|0|0|Bps_brake_pedal_can_input|0|0|Phys|bool|2|0||Communication|Communication||Bps_brake_pedal_can_input||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Bps_coh_seuil_accel|uint16|DIAGBRKPEDNOBVH2P|1|0|0|Bps_coh_seuil_accel|0|0|Phys|m/s2|1|1024/2097152|0|Acquisitions|Acquisitions||Bps_coh_seuil_accel||2|||||||V02 NT 10 02593|1|1||||1|0|0|Seuil de accélération en dessus duquel la cohérence est effectuée (clampée à 16 dans le soft)|0|0|65535|0|31.99951171875|0|
Bps_coh_seuil_decel|uint16|DIAGBRKPEDNOBVH2P|1|0|0|Bps_coh_seuil_decel|0|0|Phys|m/s2|1|1024/2097152|0|Acquisitions|Acquisitions||Bps_coh_seuil_decel||2|||||||V02 NT 10 02593|1|1||||1|0|0|Seuil de décélération en dessous duquel la cohérence est effectuée (valeur positive)|0|0|65535|0|31.99951171875|0|
BPS_DIAG_ACCEL|bool|DIAGBRKPEDNOBVH2P|0|0|0|Bps_diag_state|0|4|Phys|bool|2|4||Acquisitions|Acquisitions||BPS_DIAG_ACCEL||1||||||||0|1||||1|0|0||0|||||0|
BPS_DIAG_DECEL|bool|DIAGBRKPEDNOBVH2P|0|0|0|Bps_diag_state|0|8|Phys|bool|2|8||Acquisitions|Acquisitions||BPS_DIAG_DECEL||1||||||||0|1||||1|0|0||0|||||0|
BPS_DIAG_INIT|bool|DIAGBRKPEDNOBVH2P|0|0|0|Bps_diag_state|0|1|Phys|bool|2|1||Acquisitions|Acquisitions||BPS_DIAG_INIT||1||||||||0|1||||1|0|0||0|||||0|
BPS_DIAG_INVAL|bool|DIAGBRKPEDNOBVH2P|0|0|0|Bps_diag_state|0|2|Phys|bool|2|2||Acquisitions|Acquisitions||BPS_DIAG_INVAL||1||||||||0|1||||1|0|0||0|||||0|
Bps_diag_state|st05|DIAGBRKPEDNOBVH2P|0|0|0|Bps_diag_state|0|0|Phys|etat|4|||Acquisitions|Acquisitions||Bps_diag_state||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Brk_nDecCpt_AccelCoh_C|uint8|DIAGBRKPEDNOBVH2P|1|0|0|Brk_nDecCpt_AccelCoh_C|0|0|Phys|-|1|1|0|Diagnostic|Diagnostic||Brk_nDecCpt_AccelCoh_C||2|||||||V02 NT 10 02593|1|1||||1|0|0|Décrement du compteur de detection de défaut niveau 2 du diagnostic fonctionnel de la pédale de frein en cas d'accélération|0|0|255|0|255|0|
Brk_nDecCpt_DecelCoh_C|uint8|DIAGBRKPEDNOBVH2P|1|0|0|Brk_nDecCpt_DecelCoh_C|0|0|Phys|-|1|1|0|Diagnostic|Diagnostic||Brk_nDecCpt_DecelCoh_C||2|||||||V02 NT 10 02593|1|1||||1|0|0|Decrement du compteur de detection de défaut niveau 2 du diagnostic fonctionnel de la pédale de frein en cas de décélération|0|0|255|0|255|0|
Brk_nDecCpt_InvCoh_C|uint8|DIAGBRKPEDNOBVH2P|1|0|0|Brk_nDecCpt_InvCoh_C|0|0|Phys|-|1|1|0|Diagnostic|Diagnostic||Brk_nDecCpt_InvCoh_C||2|||||||V02 NT 10 02593|1|1||||1|0|0|Decrement du compteur de detection de défaut niveau 2 du diagnostic fonctionnel de la pédale de frein en cas d'accéleration invalide|0|0|255|0|255|0|
Brk_nDownTranThd_AccelCoh_C|uint8|DIAGBRKPEDNOBVH2P|1|0|0|Brk_nDownTranThd_AccelCoh_C|0|0|Phys|-|1|1|0|Diagnostic|Diagnostic||Brk_nDownTranThd_AccelCoh_C||2|||||||V02 NT 10 02593|1|1||||1|0|0|Seuil de détections successives du défaut unitaire incohérence en accélération à l’état bas|0|0|255|0|255|0|
Brk_nDownTranThd_DecelCoh_C|uint8|DIAGBRKPEDNOBVH2P|1|0|0|Brk_nDownTranThd_DecelCoh_C|0|0|Phys|-|1|1|0|Divers|Divers||Brk_nDownTranThd_DecelCoh_C||2|||||||V02 NT 10 02593|1|1||||1|0|0|Seuil de détections successives du défaut unitaire incohérence en décéleration à l’état bas   en décéleration à l’état bas|0|0|255|0|255|0|
Brk_nDownTranThd_InvCoh_C|uint8|DIAGBRKPEDNOBVH2P|1|0|0|Brk_nDownTranThd_InvCoh_C|0|0|Phys|-|1|1|0|Diagnostic|Diagnostic||Brk_nDownTranThd_InvCoh_C||2|||||||V02 NT 10 02593|1|1||||1|0|0|Seuil de détections successives du défaut unitaire accélération invalide à l’état bas|0|0|255|0|255|0|
