Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
Brk_EveRst_DiagBrkPedNoBVH2p|A|();|SCH.1|DIAGBRKPEDNOBVH2P|1|V02 NT 10 02593||||0|0|0|0|Evènement reset du calculateur|
Brk_SdlMid_DiagBrkPedNoBVH2p|A|();|SCH.2|DIAGBRKPEDNOBVH2P|1|V02 NT 10 02593||||0|0|0|0|Moniteur du diagnostic acquisition frein|
Brk_SdlSfty_BrkPed|A|();|SCH.3|DIAGBRKPEDNOBVH2P|1|V02 NT 10 02593||||0|0|0|0|Evenement de lancement de diagnostic de défaut niveau 2.|
DIAGBRKPEDNOBVH2P_vidDiagBrkPMng|B|();|FCT1.3|DIAGBRKPEDNOBVH2P|0|V02 NT 10 02593||||0|0|0|0|Le diagnostic de cohérence de l’information frein consiste en une interprétation de l’info CAN frein HS et un  test entre  l’information provenant du CAN et celle par le contrôle moteur.|
DIAGBRKPEDNOBVH2P_vidDiagManager|B|();|FCT1.4|DIAGBRKPEDNOBVH2P|0|V02 NT 10 02593||||0|0|0|0|Diagnostique du frein|
DIAGBRKPEDNOBVH2P_vidFnctionCall|A|();|FCT1.2|DIAGBRKPEDNOBVH2P|0|V02 NT 10 02593||||0|0|0|0|Le diagnostic de la cohérence de la pédale de frein est inhibé en mode intégration électronique.|
DIAGBRKPEDNOBVH2P_vidInitOutput|B|();|FCT1.1|DIAGBRKPEDNOBVH2P|0|V02 NT 10 02593||||0|0|0|0|Fontion d'initialisation des sorties au reset|
DIAGBRKPEDNOBVH2P_vidSftyNiv2|A|();|FCT1.5|DIAGBRKPEDNOBVH2P|0|V02 NT 10 02593||||0|0|0|0|Fonction de diagnostic niveau à partir d’un défaut detecté par le niveau 2|
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|HEADER.4|HEADER|1|NONE||||0|0|0|0||
GDGAR_vidGdu|A|(argin uint16 u16IdxDft,argin boolean bDgo,argin boolean bMonRun,argin boolean Ns_bMonWait);|HEADER.2|HEADER|1|NONE||||0|0|0|0||
SWFAIL_vidSoftwareErrorHook|A|();|HEADER.3|HEADER|1|NONE||||0|0|0|0||
