Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoFan_bDgoOc_ECTReq|boolean|ECTREQ|0|0|0|CoFan_bDgoOc_ECTReq|0|0|Phys|bool|2|0||Divers|Divers||CoFan_bDgoOc_ECTReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoFan_bDgoScg_ECTReq|boolean|ECTREQ|0|0|0|CoFan_bDgoScg_ECTReq|0|0|Phys|bool|2|0||Divers|Divers||CoFan_bDgoScg_ECTReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoFan_bDgoScp_ECTReq|boolean|ECTREQ|0|0|0|CoFan_bDgoScp_ECTReq|0|0|Phys|bool|2|0||Divers|Divers||CoFan_bDgoScp_ECTReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoFan_bMonRunOc_ECTReq|boolean|ECTREQ|0|0|0|CoFan_bMonRunOc_ECTReq|0|0|Phys|bool|2|0||Divers|Divers||CoFan_bMonRunOc_ECTReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoFan_bMonRunScg_ECTReq|boolean|ECTREQ|0|0|0|CoFan_bMonRunScg_ECTReq|0|0|Phys|bool|2|0||Divers|Divers||CoFan_bMonRunScg_ECTReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoFan_bMonRunScp_ECTReq|boolean|ECTREQ|0|0|0|CoFan_bMonRunScp_ECTReq|0|0|Phys|bool|2|0||Divers|Divers||CoFan_bMonRunScp_ECTReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoFan_uBattMes_Filtered|uint16|ECTREQ|0|0|0|CoFan_uBattMes_Filtered|0|0|Phys|V|1|0.01|0|Divers|Divers||CoFan_uBattMes_Filtered||1||||||||0|1||||1|0|0||0|0|3200|0|32|0|
Commande_ectdrv_pwm_rco|uint16|ECTREQ|1|0|0|Commande_ectdrv_pwm_rco|0|0|Phys|%|1|100/32768|0|Divers|Divers||Commande_ectdrv_pwm_rco||1||||||||0|1||||1|0|0||0|0|32768|0|100|0|
Ctrl_bAcv_ECTReq|boolean|HEADER|1|0|0|Ctrl_bAcv_ECTReq|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bAcv_ECTReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_ectcommand|boolean|ECTREQ|0|0|0|Dena_oc_ectcommand|0|0|Phys|bool|2|0||Divers|Divers||Dena_oc_ectcommand||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
