Name|Type|Requirement
PwrHw_rCtlECTReq_Drv|0|VEMS_E_11_06350_001.01
PwrHw_rCtlECTReq_Drv|0|VEMS_E_11_06350_002.01
PwrHw_rCtlECTReq_Drv|0|VEMS_E_11_06350_003.01
PwrHw_rCtlECTReq_Drv|0|VEMS_E_11_06350_004.01
ECTReq_ECTReqFreq_C|0|VEMS_E_11_06350_001.01
ECTReq_ECTReqFreq_C|0|VEMS_E_11_06350_002.01
ECTReq_ECTReqFreq_C|0|VEMS_E_11_06350_003.01
ECTReq_ECTReqFreq_C|0|VEMS_E_11_06350_004.01
Commande_ectdrv_pwm_rco|0|VEMS_E_11_06350_001.01
Commande_ectdrv_pwm_rco|0|VEMS_E_11_06350_002.01
Commande_ectdrv_pwm_rco|0|VEMS_E_11_06350_003.01
Commande_ectdrv_pwm_rco|0|VEMS_E_11_06350_004.01
Commande_ectdrv_pwm_rco|0|VEMS_E_11_06350_005.01
ECTReq_bInvDuCy_C|0|VEMS_E_11_06350_001.01
ECTReq_bInvDuCy_C|0|VEMS_E_11_06350_002.01
ECTReq_bInvDuCy_C|0|VEMS_E_11_06350_003.01
ECTReq_bInvDuCy_C|0|VEMS_E_11_06350_004.01
ECTReq_bInvDuCy_C|0|VEMS_E_11_06350_005.01
ECTReq_rMaxDuCy_C|0|VEMS_E_11_06350_001.01
ECTReq_rMaxDuCy_C|0|VEMS_E_11_06350_002.01
ECTReq_rMaxDuCy_C|0|VEMS_E_11_06350_003.01
ECTReq_rMaxDuCy_C|0|VEMS_E_11_06350_004.01
ECTReq_rMaxDuCy_C|0|VEMS_E_11_06350_005.01
ECTReq_rMinDuCy_C|0|VEMS_E_11_06350_001.01
ECTReq_rMinDuCy_C|0|VEMS_E_11_06350_002.01
CoFan_EveRst_ECTReq|1|VEMS_E_11_06350_001.01
CoFan_EveRst_ECTReq|1|VEMS_E_11_06350_002.01
CoFan_EveRst_ECTReq|1|VEMS_E_11_06350_003.01
CoFan_EveRst_ECTReq|1|VEMS_E_11_06350_004.01
CoFan_EveRst_ECTReq|1|VEMS_E_11_06350_005.01
CoFan_SdlSlow_ECTReq|1|VEMS_E_11_06350_001.01
CoFan_SdlSlow_ECTReq|1|VEMS_E_11_06350_002.01
CoFan_SdlSlow_ECTReq|1|VEMS_E_11_06350_003.01
CoFan_SdlSlow_ECTReq|1|VEMS_E_11_06350_004.01
CoFan_SdlSlow_ECTReq|1|VEMS_E_11_06350_005.01
ECTREQ_vidCmdRCO_Cor|1|VEMS_E_11_06350_006.01
ECTREQ_vidCmdRCO_Cor|1|VEMS_E_11_06350_007.01
PwrHw_rCtlECTReq_Drv|0|VEMS_E_11_06350_005.01
ECTReq_ECTReqFreq_C|0|VEMS_E_11_06350_005.01
ECTReq_rMinDuCy_C|0|VEMS_E_11_06350_003.01
ECTReq_rMinDuCy_C|0|VEMS_E_11_06350_004.01
ECTReq_rMinDuCy_C|0|VEMS_E_11_06350_005.01
ECTReq_rSatMax_C|0|VEMS_E_11_06350_001.01
ECTReq_rSatMax_C|0|VEMS_E_11_06350_002.01
ECTReq_rSatMax_C|0|VEMS_E_11_06350_003.01
ECTReq_rSatMax_C|0|VEMS_E_11_06350_004.01
ECTReq_rSatMax_C|0|VEMS_E_11_06350_005.01
ECTReq_rSatMin_C|0|VEMS_E_11_06350_001.01
ECTReq_rSatMin_C|0|VEMS_E_11_06350_002.01
ECTReq_rSatMin_C|0|VEMS_E_11_06350_003.01
ECTReq_rSatMin_C|0|VEMS_E_11_06350_004.01
ECTReq_rSatMin_C|0|VEMS_E_11_06350_005.01
ECTREQ_vidDiagnosis|1|VEMS_E_11_06350_009.01
ECTREQ_vidDiagnosis|1|VEMS_E_11_06350_010.01
ECTREQ_vidDiagnosis|1|VEMS_E_11_06350_011.01
ECTREQ_vidDrvCmd|1|VEMS_E_11_06350_008.01
