Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
CAN_SampleTi50ms_SC|uint8|HEADER|1|0|0|CAN_SampleTi50ms_SC|0|0|Phys|-|||||||CAN_SampleTi50ms_SC||3||||||||0|1|||50|0|0|0||0|||||0
DEM_DTC_KIND_ALL_DTCS|uint8|HEADER|1|0|0|DEM_DTC_KIND_ALL_DTCS|0|0|Phys|-|||||||DEM_DTC_KIND_ALL_DTCS||3||||||||0|1|||1|0|0|0||0|||||0
DEM_DTC_ORIGIN_PRIMARY_MEMORY|uint8|HEADER|1|0|0|DEM_DTC_ORIGIN_PRIMARY_MEMORY|0|0|Phys|-|||||||DEM_DTC_ORIGIN_PRIMARY_MEMORY||3||||||||0|1|||1|0|0|0||0|||||0
Diag_on|boolean|HEADER|1|0|0|Diag_on|0|0|Phys|bool|2|0||HEADER|HEADER||Diag_on||1||||||||0|1||||1|0|0|Indicateur d'autorisation de surveillance intersystème|0|0|1|0|1|0
DIAGCAN_bInhibition_defauts|boolean|ELECITGRMOD|0|0|0|DIAGCAN_bInhibition_defauts|0|0|Phys|bool|2|0||ELECITGRMOD|ELECITGRMOD||DIAGCAN_bInhibition_defauts||1||||||||0|1||||1|0|0||0|0|1|0|1|0
DIAGCAN_bIntegratioElectronique|boolean|ELECITGRMOD|1|0|0|DIAGCAN_bIntegratioElectronique|0|0|Phys|bool|2|0||ELECITGRMOD|ELECITGRMOD||DIAGCAN_bIntegratioElectronique||1||||||||0|1||||1|0|0||0|0|1|0|1|0
DIAGCAN_bTxMute|boolean|ELECITGRMOD|1|0|0|DIAGCAN_bTxMute|0|0|Phys|bool|2|0||ELECITGRMOD|ELECITGRMOD||DIAGCAN_bTxMute||1||||||||0|1||||1|0|0||0|0|1|0|1|0
DIAGCAN_tiF092Out_ClearDTC|uint8|ELECITGRMOD|0|0|0|DIAGCAN_tiF092Out_ClearDTC|0|0|Phys|ms|1|50|0|ELECITGRMOD|ELECITGRMOD||DIAGCAN_tiF092Out_ClearDTC||1||||||||0|1||||1|0|0||0|0|255|0|12750|0
DIAGCAN_tiF092Out_ClearDTC_C|uint8|ELECITGRMOD|1|0|0|DIAGCAN_tiF092Out_ClearDTC_C|0|0|Phys|ms|1|50|0|ELECITGRMOD|ELECITGRMOD||DIAGCAN_tiF092Out_ClearDTC_C||2|||||||PTS_DOC_6873723|1|1||||1|0|0|Valeur du time out pour la reception des demandes d'effacement des défauts.|0|0|255|0|12750|0
DIAGCAN_tiF092Out_InteElec|uint8|ELECITGRMOD|0|0|0|DIAGCAN_tiF092Out_InteElec|0|0|Phys|ms|1|50|0|ELECITGRMOD|ELECITGRMOD||DIAGCAN_tiF092Out_InteElec||1||||||||0|1||||1|0|0||0|0|255|0|12750|0
