Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
ADDONADVMIN_u8Inhib|uint8|ADDONADVMIN|0|0|0|ADDONADVMIN_u8Inhib|0|0|Hexa|-||||Chaine avance|Chaine avance||ADDONADVMIN_u8Inhib||2|||||||V02 NT 11 01472|1|1||||1|0|0|Calibration d'inhibition du module ADDONADVMIN.|0|0|255|0|255|0|
EngM_rAirLdCor|uint16|HEADER|1|0|0|EngM_rAirLdCor|0|0|Phys|-|1|1/16384|0|IFRTE|IFRTE||EngM_rAirLdCor||1||||||||0|1||||1|0|0||0|0|49152|0|3|0|
EOM_prm_facBasModCur|uint8|HEADER|1|1|16|EOM_prm_facBasModCur|0|0|Phys|-|1|0.0078125|0|Divers|Divers||EOM_prm_facBasModCur||1||*||*||*||0|1||||1|0|0||0|0|128|0|1|0|
EOM_prm_facBasModTar|uint8|HEADER|1|1|16|EOM_prm_facBasModTar|0|0|Phys|-|1|0.0078125|0|Divers|Divers||EOM_prm_facBasModTar||1||*||*||*||0|1||||1|0|0||0|0|128|0|1|0|
EOM_prm_facTranMod|uint8|HEADER|1|1|16|EOM_prm_facTranMod|0|0|Phys|-|1|0.0078125|0|Divers|Divers||EOM_prm_facTranMod||1||*||*||*||0|1||||1|0|0||0|0|128|0|1|0|
EOM_prm_idxBas1ModCur|uint8|HEADER|1|1|16|EOM_prm_idxBas1ModCur|0|0|Phys|-|1|1|0|Divers|Divers||EOM_prm_idxBas1ModCur||1||*||*||*||0|1||||1|0|0||0|1|32|1|32|0|
EOM_prm_idxBas1ModTar|uint8|HEADER|1|1|16|EOM_prm_idxBas1ModTar|0|0|Phys|-|1|1|0|Divers|Divers||EOM_prm_idxBas1ModTar||1||*||*||*||0|1||||1|0|0||0|1|32|1|32|0|
EOM_prm_idxBas2ModCur|uint8|HEADER|1|1|16|EOM_prm_idxBas2ModCur|0|0|Phys|-|1|1|0|Divers|Divers||EOM_prm_idxBas2ModCur||1||*||*||*||0|1||||1|0|0||0|1|32|1|32|0|
EOM_prm_idxBas2ModTar|uint8|HEADER|1|1|16|EOM_prm_idxBas2ModTar|0|0|Phys|-|1|1|0|Divers|Divers||EOM_prm_idxBas2ModTar||1||*||*||*||0|1||||1|0|0||0|1|32|1|32|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|RPM|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
IgSys_agIgCmbModOfsMinCmb|sint16|ADDONADVMIN|1|0|0|IgSys_agIgCmbModOfsMinCmb|0|0|Phys|°Ck|1|1/4|0|Chaine avance|Chaine avance||IgSys_agIgCmbModOfsMinCmb||1||||||||0|1||||1|0|0||0|-144|240|-36|60|0|
IgSys_agIgCmbModOfsMinCur_MP|sint16|ADDONADVMIN|0|0|0|IgSys_agIgCmbModOfsMinCur_MP|0|0|Phys|°Ck|1|3/8|0|Chaine avance|Chaine avance||IgSys_agIgCmbModOfsMinCur_MP||1||||||||0|1||||1|0|0||0|-96|159|-36|59.625|0|
IgSys_agIgCmbModOfsMinTar_MP|sint16|ADDONADVMIN|0|0|0|IgSys_agIgCmbModOfsMinTar_MP|0|0|Phys|°Ck|1|3/8|0|Chaine avance|Chaine avance||IgSys_agIgCmbModOfsMinTar_MP||1||||||||0|1||||1|0|0||0|-96|159|-36|59.625|0|
IgSys_bAcvOfsAgIgMinCal1|boolean|ADDONADVMIN|0|0|0|IgSys_bAcvOfsAgIgMinCal1|0|0|Phys|bool|2|0||Chaine avance|Chaine avance||IgSys_bAcvOfsAgIgMinCal1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
