Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
AirSys_EveIni_AirTqEff|B|();|SCH.1|AIRTQEFF|1|V02 NT 10 07791||||0|0|0|0|Evenement reset du calculateur|
AirSys_SdlFast_AirTqEff|B|();|SCH.2|AIRTQEFF|1|V02 NT 10 07791||||0|0|0|0|Scheduler rapide de la fonction AirTqEff|
AIRTQEFF_vidCalc_afr_efficiency|B|();|FCT2.7|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Le rendement de richesse est issu d’une cartographie fonction de la richesse.|
AIRTQEFF_vidCalc_egr_efficiency|D|();|FCT2.9|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Le rendement d’EGR est issu d’une cartographie fonction du taux d’EGR|
AIRTQEFF_vidCalc_rendement|B|();|FCT1.6|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|La fonction est constituée de 3 blocs où sont calculées les valeurs des différents rendements|
AIRTQEFF_vidCalc_rendement_Afr|B|();|FCT1.8|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de calculer la valeur du rendement de richesse|
AIRTQEFF_vidCalc_rendement_cyc|B|();|FCT1.7|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|La fonction est constituée de 6 blocs permettant de calculer le rendement de cycle|
AIRTQEFF_vidCalc_rendement_EGR|B|();|FCT1.9|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de calculer la valeur initiale du rendement d’EGR|
AIRTQEFF_vidCalibration_1|B|();|FCT3.2|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_10|B|();|FCT4.1|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_11|B|();|FCT4.2|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_12|B|();|FCT4.3|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_13|B|();|FCT4.4|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_14|B|();|FCT4.5|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_2|B|();|FCT3.3|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_3|B|();|FCT3.4|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_4|B|();|FCT3.5|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_5|B|();|FCT3.6|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_6|B|();|FCT3.7|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_7|B|();|FCT3.8|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_8|B|();|FCT3.9|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibration_9|B|();|FCT3.10|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
AIRTQEFF_vidCalibrations|B|();|FCT2.3|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc regroupe les différentes calibrations de la fonction|
AIRTQEFF_vidCoordination_1|E|();|FCT2.6|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|La fonction permet de prendre en compte le mélange entre un carburant classique et du « Flex Fuel » ou du gaz. La fonction permet entre autre la gestion des différents modes de combustion par application d’un décalage/recalage (offset).|
AIRTQEFF_vidCoordination_2|D|();|FCT2.8|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de coordonner les valeurs de rendement dans des cas de multi-carburation.|
AIRTQEFF_vidCoordination_3|E|();|FCT2.10|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de coordonner les valeurs de rendement dans les cas de multi-carburation.|
AIRTQEFF_vidInit_afr_efficicency|B|();|FCT1.4|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de calculer la valeur initiale du rendement de richesse|
AIRTQEFF_vidinit_egr_efficicency|C|();|FCT1.5|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de calculer la valeur initiale du rendement d’EGR|
AIRTQEFF_vidInit_rendement|B|();|FCT1.2|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|La fonction est constituée de 3 blocs où sont calculés les valeurs initiales des différents rendements|
AIRTQEFF_vidInit_rendement_cycle|C|();|FCT1.3|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de calculer la valeur initiale du rendement de cycle|
AIRTQEFF_vidInitOutput|D|();|FCT1.1|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Fonction d'initialisation des sorties des blocs dynamiques au reset|
AIRTQEFF_vidInterpolation|D|();|FCT2.5|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc calcul le rendement de cycle final à partir des 4 rendements de cycle correspondants à différents modes. Le calcul se fait à l’aide de 3 barycentres pilotés par des facteurs issus du gestionnaire de modes de combustion.|
AIRTQEFF_vidMode_Mask|B|();|FCT2.2|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de sélectionner le numéro des cartographies utiles|
AIRTQEFF_vidSelect_Modes|C|();|FCT2.4|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet d’imposer les rendements de cycle en indexant les vecteurs des rendements de cycle au mode de fonctionnement appliqué.|
AIRTQEFF_vidUnvectorize_Mode|B|();|FCT2.1|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de sélectionner les informations provenant du gestionnaire de modes de fonctionnements|
AIRTQEFF_vidUnvectorz_Activ_Bool|B|();|FCT3.1|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de démultiplexer le flux de sélection des cartographies utiles|
AIRTQEFF_vidVectorz_Calibrations|C|();|FCT4.6|AIRTQEFF|0|V02 NT 10 07791||||0|0|0|0|Ce bloc permet de calculer le rendement de cycle à partir du couple calculé.|
