Name|Type|Requirement
AIRTQEFF_vidVectorz_Calibrations|1|VEMS_R_10_07791_027.01
AirSys_tqIdcHPCal1_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal10_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal11_M|0|VEMS_R_10_07791_002.01
AirSys_effEGR|0|VEMS_R_10_07791_002.01
AirSys_bFlexEffAfr_C|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal12_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal13_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal14_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal2_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal3_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal4_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal5_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal6_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal7_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal8_M|0|VEMS_R_10_07791_002.01
AirSys_tqIdcHPCal9_M|0|VEMS_R_10_07791_002.01
EngM_mRef_C|0|VEMS_R_10_07791_002.01
AirSys_rClcLamEfc|0|VEMS_R_10_07791_002.01
AirSys_rFullLdLamEfc|0|VEMS_R_10_07791_002.01
AirSys_effCyc|0|VEMS_R_10_07791_002.01
AirSys_effAfr|0|VEMS_R_10_07791_001.01
AirSys_effAfr|0|VEMS_R_10_07791_002.01
AirSys_effCyc|0|VEMS_R_10_07791_001.01
AirSys_effEGR|0|VEMS_R_10_07791_001.01
AirSys_rClcLamEfc|0|VEMS_R_10_07791_001.01
AirSys_rFullLdLamEfc|0|VEMS_R_10_07791_001.01
AirSys_bFlexEffAfr_C|0|VEMS_R_10_07791_001.01
AirSys_tqIdcHPCal1_M|0|VEMS_R_10_07791_001.01
AirSys_tqIdcHPCal10_M|0|VEMS_R_10_07791_001.01
AirSys_tqIdcHPCal11_M|0|VEMS_R_10_07791_001.01
EngM_mRef_C|0|VEMS_R_10_07791_001.01
AirSys_EveIni_AirTqEff|1|VEMS_R_10_07791_001.01
AirSys_EveIni_AirTqEff|1|VEMS_R_10_07791_002.01
AirSys_SdlFast_AirTqEff|1|VEMS_R_10_07791_001.01
AirSys_SdlFast_AirTqEff|1|VEMS_R_10_07791_002.01
AIRTQEFF_vidCalc_afr_efficiency|1|VEMS_R_10_07791_032.01
AIRTQEFF_vidCalibration_1|1|VEMS_R_10_07791_013.01
AIRTQEFF_vidCalibration_10|1|VEMS_R_10_07791_022.01
AIRTQEFF_vidCalibration_11|1|VEMS_R_10_07791_023.01
AIRTQEFF_vidCalibration_12|1|VEMS_R_10_07791_024.01
AIRTQEFF_vidCalibration_13|1|VEMS_R_10_07791_025.01
AIRTQEFF_vidCalibration_14|1|VEMS_R_10_07791_026.01
AIRTQEFF_vidCalibration_2|1|VEMS_R_10_07791_014.01
AIRTQEFF_vidCalibration_3|1|VEMS_R_10_07791_015.01
AIRTQEFF_vidCalibration_4|1|VEMS_R_10_07791_016.01
AIRTQEFF_vidCalibration_5|1|VEMS_R_10_07791_017.01
AIRTQEFF_vidCalibration_6|1|VEMS_R_10_07791_018.01
AIRTQEFF_vidCalibration_7|1|VEMS_R_10_07791_019.01
AIRTQEFF_vidCalibration_8|1|VEMS_R_10_07791_020.01
AIRTQEFF_vidCalibration_9|1|VEMS_R_10_07791_021.01
AIRTQEFF_vidinit_egr_efficicency|1|VEMS_R_10_07791_006.01
AIRTQEFF_vidCalc_egr_efficiency|1|VEMS_R_10_07791_035.01
AIRTQEFF_vidCalc_rendement|1|VEMS_R_10_07791_007.01
AIRTQEFF_vidCalc_rendement_Afr|1|VEMS_R_10_07791_031.01
AIRTQEFF_vidCalc_rendement_cyc|1|VEMS_R_10_07791_008.01
AIRTQEFF_vidCalc_rendement_EGR|1|VEMS_R_10_07791_034.01
AIRTQEFF_vidCoordination_1|1|VEMS_R_10_07791_030.01
AIRTQEFF_vidCoordination_2|1|VEMS_R_10_07791_033.01
AIRTQEFF_vidCoordination_3|1|VEMS_R_10_07791_036.01
AIRTQEFF_vidInit_afr_efficicency|1|VEMS_R_10_07791_005.01
AIRTQEFF_vidInit_rendement|1|VEMS_R_10_07791_003.01
AIRTQEFF_vidInit_rendement_cycle|1|VEMS_R_10_07791_004.01
AIRTQEFF_vidSelect_Modes|1|VEMS_R_10_07791_028.01
AIRTQEFF_vidUnvectorize_Mode|1|VEMS_R_10_07791_009.01
AIRTQEFF_vidUnvectorz_Activ_Bool|1|VEMS_R_10_07791_012.01
AIRTQEFF_vidCalibrations|1|VEMS_R_10_07791_011.01
AIRTQEFF_vidInterpolation|1|VEMS_R_10_07791_029.01
AIRTQEFF_vidMode_Mask|1|VEMS_R_10_07791_010.01
