Name|Type|Requirement
BoostReq_bAcvBattVoltReq_C|0|VEMS_R_11_04668_001.01
BoostReq_bAcvFrzMod_C|0|VEMS_R_11_04668_001.01
BoostReq_bAcvStraBattVoltReq_C|0|VEMS_R_11_04668_001.01
BoostReq_bBattVoltReqIni_C|0|VEMS_R_11_04668_001.01
BoostReq_pAirExtHiThd_C|0|VEMS_R_11_04668_001.01
BoostReq_pAirExtLoThd_C|0|VEMS_R_11_04668_001.01
BoostReq_rDuCyMaxThd_C|0|VEMS_R_11_04668_001.01
BoostReq_tiDlyAcvMax_C|0|VEMS_R_11_04668_001.01
BoostReq_tiSampleFast_C|0|VEMS_R_11_04668_001.01
BoostReq_bBattVoltReq|0|VEMS_R_11_04668_001.01
BoostReq_bBattVoltReq|0|VEMS_R_11_04668_002.01
BoostReq_bAcvBattVoltReq_C|0|VEMS_R_11_04668_002.01
BoostReq_bAcvFrzMod_C|0|VEMS_R_11_04668_002.01
BoostReq_bAcvStraBattVoltReq_C|0|VEMS_R_11_04668_002.01
BoostReq_bBattVoltReqIni_C|0|VEMS_R_11_04668_002.01
BoostReq_pAirExtHiThd_C|0|VEMS_R_11_04668_002.01
BoostReq_pAirExtLoThd_C|0|VEMS_R_11_04668_002.01
BoostReq_rDuCyMaxThd_C|0|VEMS_R_11_04668_002.01
BoostReq_tiDlyAcvMax_C|0|VEMS_R_11_04668_002.01
BoostReq_pAirExt_A|0|VEMS_R_11_04668_001.01
BoostReq_pAirExt_A|0|VEMS_R_11_04668_002.01
BoostReq_rDuCyThd_T|0|VEMS_R_11_04668_001.01
BoostReq_rDuCyThd_T|0|VEMS_R_11_04668_002.01
BoostReq_SdlFast_BattVoltReq|1|VEMS_R_11_04668_001.01
BoostReq_SdlFast_BattVoltReq|1|VEMS_R_11_04668_002.01
BATTVOLTREQ_vidWasteMaxClsdCond|1|VEMS_R_11_04668_005.01
BATTVOLTREQ_vidInit|1|VEMS_R_11_04668_003.01
BATTVOLTREQ_vidBattVltRqstLowVlt|1|VEMS_R_11_04668_004.01
BATTVOLTREQ_vidBattVoltRqstCond|1|VEMS_R_11_04668_006.01
BoostReq_EveIni_BattVoltReq|1|VEMS_R_11_04668_001.01
BoostReq_EveIni_BattVoltReq|1|VEMS_R_11_04668_002.01
