Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AccP_rAccP|uint16|HEADER|1|0|0|AccP_rAccP|0|0|Phys|%|1|1/128|0|Divers|Divers||AccP_rAccP||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
BRKASIACT_bTmrOut|boolean|BRKASIACT|0|0|0|BRKASIACT_bTmrOut|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||BRKASIACT_bTmrOut||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
BRKASIACT_bTqSysbDeceAcvPrev|boolean|BRKASIACT|0|0|0|BRKASIACT_bTqSysbDeceAcvPrev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||BRKASIACT_bTqSysbDeceAcvPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
BRKASIACT_u16Cnt|uint16|BRKASIACT|0|0|0|BRKASIACT_u16Cnt|0|0|Phys|s|1|0.01|0|Structure Couple|Structure Couple||BRKASIACT_u16Cnt||1||||||||0|1||||1|0|0||0|0|500|0|5|0|
BRKASIACT_u16TqSumLossCmp|uint16|BRKASIACT|0|0|0|BRKASIACT_u16TqSumLossCmp|0|0|Phys|Nm|1|1/16|0|Structure Couple|Structure Couple||BRKASIACT_u16TqSumLossCmp||1||||||||0|1||||1|0|0||0|0|32767|0|2047.9375|0|
BRKASIACT_u8Inhib|uint8|BRKASIACT|0|0|0|BRKASIACT_u8Inhib|0|0|Hexa|-||||Structure Couple|Structure Couple||BRKASIACT_u8Inhib||2|||||||V02 NT 10 03258|1|1||||1|0|0|Calibration d'inhibition du module BRKASIACT|0|0|255|0|255|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
CoPTSt_stEng|uint8|HEADER|1|0|0|CoPTSt_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stEng||1||||||||0|1||||1|0|0||0|1|15|1|15|0|
EOM_tiEngCrankStrt|uint16|HEADER|1|0|0|EOM_tiEngCrankStrt|0|0|Phys|s|1|0.01|0|Structure Couple|Structure Couple||EOM_tiEngCrankStrt||1||||||||0|1||||1|0|0||0|0|65500|0|655|0|
Ext_pAirExtMes|uint16|HEADER|1|0|0|Ext_pAirExtMes|0|0|Phys|mbar|1|1|0|Structure couple|Structure couple||Ext_pAirExtMes||1||||||||0|1||||1|0|0||0|500|1500|500|1500|0|
