Name|Type|Requirement
BufNEs_nThdAcvFct_C|0|VEMS_R_11_01163_001.01
BufNEs_prm_tiCgtBuf|0|VEMS_R_11_01163_001.01
BufNEs_noNFillTi|0|VEMS_R_11_01163_001.01
BufNEs_idxLstBufWr|0|VEMS_R_11_01163_001.01
BufNEs_EveCgt_BufNEs|1|VEMS_R_11_01163_001.01
BUFNES_vidActivateCalcBufRecord|1|VEMS_R_11_01163_003.01
BufNEs_vidEntryInit|1|VEMS_R_11_01163_001.01
BUFNES_vidGlobal_View|1|VEMS_R_11_01163_002.01
BUFNES_vidRcrdCrankshafToothDrt|1|VEMS_R_11_01163_004.01
BUFNES_vidRplceOutptIfCalcDisabl|1|VEMS_R_11_01163_005.01
