Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Afts_bRstCntDiagCluP|boolean|HEADER|1|0|0|Afts_bRstCntDiagCluP|0|0|Phys|bool|2|0||Divers|Divers||Afts_bRstCntDiagCluP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CLUPEDPOSNDIAG_bBasculeRSOutInv|boolean|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_bBasculeRSOutInv|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CLUPEDPOSNDIAG_bBasculeRSOutInv||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CLUPEDPOSNDIAG_bBasculeRSOutput|boolean|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_bBasculeRSOutput|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CLUPEDPOSNDIAG_bBasculeRSOutput||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CLUPEDPOSNDIAG_bCluBasculeRSOut|boolean|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_bCluBasculeRSOut|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CLUPEDPOSNDIAG_bCluBasculeRSOut||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CLUPEDPOSNDIAG_bCondIncDecCnt|boolean|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_bCondIncDecCnt|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CLUPEDPOSNDIAG_bCondIncDecCnt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CLUPEDPOSNDIAG_bDrvCycDiagCluPrv|boolean|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_bDrvCycDiagCluPrv|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CLUPEDPOSNDIAG_bDrvCycDiagCluPrv||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CLUPEDPOSNDIAG_bEnaCounter_Prev|boolean|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_bEnaCounter_Prev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CLUPEDPOSNDIAG_bEnaCounter_Prev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CLUPEDPOSNDIAG_bRstCntDiaCluPrev|boolean|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_bRstCntDiaCluPrev|0|0|Phys|bool|2|0||Divers|Divers||CLUPEDPOSNDIAG_bRstCntDiaCluPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CLUPEDPOSNDIAG_s16ExtCoMes|sint16|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_s16ExtCoMes|0|0|Phys|°C|1|1|0|Structure Couple|Structure Couple||CLUPEDPOSNDIAG_s16ExtCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
CLUPEDPOSNDIAG_u16CounterOutput|uint16|CLUPEDPOSNDIAG|0|0|0|CLUPEDPOSNDIAG_u16CounterOutput|0|0|Phys|s|1|0.1|0|Structure Couple|Structure Couple||CLUPEDPOSNDIAG_u16CounterOutput||1||||||||0|1||||1|0|0||0|0|600|0|60|0|
