Name|Type|Requirement
StaCtl_bDgoFctCluP|0|VEMS_R_10_08522_001.01
StaCtl_bDgoFctCluP|0|VEMS_R_10_08522_002.01
StaCtl_bMonRunFctCluP|0|VEMS_R_10_08522_001.01
StaCtl_bMonRunFctCluP|0|VEMS_R_10_08522_002.01
StaCtl_ctDiagCluP|0|VEMS_R_10_08522_001.01
StaCtl_ctDiagCluP|0|VEMS_R_10_08522_002.01
StaCtl_bDgoFctCluP|0|VEMS_R_10_08522_011.01
StaCtl_bMonRunFctCluP|0|VEMS_R_10_08522_011.01
StaCtl_ctDiagCluP|0|VEMS_R_10_08522_011.01
StaCtl_bMonRunFctCluP_SC|0|VEMS_R_10_08522_001.01
StaCtl_bMonRunFctCluP_SC|0|VEMS_R_10_08522_002.01
StaCtl_nEngDiagCluP_C|0|VEMS_R_10_08522_001.01
StaCtl_nEngDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_noDecDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_noDecDiagCluP_C|0|VEMS_R_10_08522_001.01
StaCtl_noHiThdDiagCluP_C|0|VEMS_R_10_08522_001.01
StaCtl_noHiThdDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_noIncDrvCycDiagCluP_C|0|VEMS_R_10_08522_001.01
StaCtl_noIncDrvCycDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_noIncMainDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_bMonRunFctCluP_SC|0|VEMS_R_10_08522_011.01
StaCtl_nEngDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_noDecDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_noHiThdDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_tiDlyNotGc_C|0|VEMS_R_10_08522_001.01
StaCtl_tiDlyNotGc_C|0|VEMS_R_10_08522_002.01
StaCtl_noIncMainDiagCluP_C|0|VEMS_R_10_08522_001.01
StaCtl_noLoThdDiagCluP_C|0|VEMS_R_10_08522_001.01
CLUPEDPOSNDIAG_vidActiv_diag|1|VEMS_R_10_08522_004.01
CLUPEDPOSNDIAG_vidCompteur|1|VEMS_R_10_08522_007.01
CLUPEDPOSNDIAG_vidCompteur|1|VEMS_R_10_08522_008.01
CLUPEDPOSNDIAG_vidCompteur|1|VEMS_R_10_08522_009.01
CLUPEDPOSNDIAG_vidCompteur|1|VEMS_R_10_08522_014.01
CLUPEDPOSNDIAG_vidCycle_de_tests|1|VEMS_R_10_08522_012.01
StaCtl_noLoThdDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_noMaxDiagCluP_C|0|VEMS_R_10_08522_001.01
StaCtl_noMaxDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_rCluPThdCalHi_C|0|VEMS_R_10_08522_002.01
StaCtl_rCluPThdCalHi_C|0|VEMS_R_10_08522_001.01
StaCtl_rCluPThdCalLo_C|0|VEMS_R_10_08522_001.01
StaCtl_rCluPThdCalLo_C|0|VEMS_R_10_08522_002.01
StaCtl_rCluPThdChg_C|0|VEMS_R_10_08522_002.01
StaCtl_rCluPThdChg_C|0|VEMS_R_10_08522_001.01
StaCtl_spdVehDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_spdVehDiagCluP_C|0|VEMS_R_10_08522_001.01
StaCtl_tCoMesDiagCluP_C|0|VEMS_R_10_08522_001.01
StaCtl_tCoMesDiagCluP_C|0|VEMS_R_10_08522_002.01
StaCtl_tDeltaCoMes_C|0|VEMS_R_10_08522_002.01
StaCtl_tDeltaCoMes_C|0|VEMS_R_10_08522_001.01
StaCtl_noIncDrvCycDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_noIncMainDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_noLoThdDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_noMaxDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_rCluPThdCalHi_C|0|VEMS_R_10_08522_011.01
StaCtl_rCluPThdCalLo_C|0|VEMS_R_10_08522_011.01
StaCtl_rCluPThdChg_C|0|VEMS_R_10_08522_011.01
StaCtl_spdVehDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_tCoMesDiagCluP_C|0|VEMS_R_10_08522_011.01
StaCtl_tDeltaCoMes_C|0|VEMS_R_10_08522_011.01
StaCtl_tiDlyNotGc_C|0|VEMS_R_10_08522_011.01
CLUPEDPOSNDIAG_vidDetect_dysfcts|1|VEMS_R_10_08522_013.01
CLUPEDPOSNDIAG_vidEntry_100ms|1|VEMS_R_10_08522_001.01
CLUPEDPOSNDIAG_vidEntry_100ms|1|VEMS_R_10_08522_002.01
CLUPEDPOSNDIAG_vidEntry_100ms|1|VEMS_R_10_08522_011.01
